,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12429943,21391462,29256832,36435723,43134744,49462873,55502531,61298660,66889054,72309311,77574321,82693492,87679653,92540029,97286821,101927736,106459995,110889134,115219499,119437542
Trial 1,888260,12429317,21389998,29255740,36439566,43131880,49463775,55505618,61301338,66889471,72307967,77574451,82691886,87681085,92538606,97284820,101930442,106459533,110890079,115220912,119438849
Trial 2,889363,12430771,21390709,29258060,36440092,43133506,49465762,55502942,61300496,66890040,72308322,77572323,82695530,87678771,92543015,97284811,101930936,106461582,110887758,115219647,119438126
Trial 3,889695,12426912,21386553,29257776,36436500,43136296,49464838,55505121,61301655,66892444,72306632,77571535,82691878,87679629,92540935,97286183,101928417,106462384,110888191,115222046,119438037
Trial 4,888597,12429553,21389745,29255425,36436893,43133035,49465014,55504524,61301202,66889653,72306905,77572669,82691121,87679605,92540307,97288992,101928478,106461027,110887514,115218357,119436862
Trial 5,889439,12429292,21387261,29253696,36440345,43129299,49465890,55502845,61299985,66889095,72308035,77573511,82696856,87680491,92539478,97288561,101926553,106460192,110888135,115215803,119436633
Trial 6,885252,12430149,21386704,29254344,36438499,43133114,49463049,55503718,61302262,66891462,72309802,77572370,82694394,87678873,92538482,97288570,101930725,106460401,110887315,115218304,119435916
Trial 7,889562,12431638,21390440,29258751,36437193,43136073,49465545,55502190,61299825,66890591,72308292,77573262,82693210,87678800,92539570,97287177,101929813,106460669,110886836,115219105,119434757
Trial 8,887401,12426915,21388413,29258226,36435968,43133607,49461936,55502104,61298820,66887962,72308994,77573691,82693722,87681571,92539843,97285221,101931498,106461401,110887594,115221018,119436070
Trial 9,887857,12430091,21389286,29257908,36437666,43133325,49465180,55504550,61300288,66887578,72307153,77573334,82693697,87681442,92539086,97287197,101928207,106463662,110888383,115218769,119436930
Trial 10,888525,12428501,21389608,29259335,36436601,43132626,49459616,55501212,61298544,66889584,72308321,77572737,82695433,87679872,92543434,97285614,101929826,106461117,110889781,115218925,119436808
Trial 11,888213,12431172,21388074,29258661,36439188,43134457,49464680,55502302,61301417,66890113,72310206,77572557,82692166,87680089,92539357,97289290,101927156,106461184,110888306,115220851,119438055
Trial 12,886462,12429552,21388880,29256480,36440935,43136709,49464003,55502864,61298337,66888468,72309110,77572230,82694096,87680779,92538118,97288343,101930441,106462986,110888480,115219200,119438214
Trial 13,889979,12431286,21387236,29258517,36436811,43134615,49464213,55502230,61299223,66892192,72309641,77572230,82693006,87681694,92540883,97287450,101928276,106461784,110888706,115220185,119437392
Trial 14,892274,12433876,21388140,29258583,36438461,43133708,49463303,55505026,61298460,66887703,72309493,77573538,82692097,87678964,92543206,97288411,101930806,106458276,110891696,115218392,119436554
Trial 15,886094,12428022,21387754,29260079,36437678,43129931,49464601,55502437,61298395,66890017,72307736,77571336,82694045,87680413,92537832,97287109,101931299,106462805,110888556,115218913,119436731
Trial 16,888461,12429814,21389335,29257390,36438222,43130679,49462933,55503467,61298927,66889702,72310425,77573040,82694094,87678536,92538344,97287998,101929391,106461565,110888767,115215761,119437900
Trial 17,888263,12429923,21389477,29255708,36440285,43132640,49465293,55503498,61301466,66891367,72308564,77573462,82694539,87679990,92540865,97288081,101928955,106459478,110890009,115217480,119440381
Overall,11876552,20916988,28832388,36045081,42763601,49112516,55166754,60976029,66576243,72004298,77277230,82405860,87399578,92266253,97019569,101668061,106205778,110638696,114975601,119199695,123321561
