,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,156160,971557,1427523,1791657,2103732,2382387,2638135,2873990,3093556,3299878,3493658,3677295,3850390,4014213,4170902,4320713,4465068,4601793,4733786,4861047,4982627
Trial 1,156337,971850,1427563,1791132,2103984,2381971,2637882,2874230,3093678,3299513,3493634,3677261,3850296,4014458,4171008,4320571,4465178,4601590,4733578,4861168,4982641
Trial 2,157209,971885,1427325,1791386,2104007,2382060,2638427,2874322,3093717,3299723,3493745,3677212,3850422,4014061,4171451,4320493,4465214,4601560,4733805,4860787,4982542
Trial 3,156624,972234,1427223,1791598,2104337,2382556,2637827,2874108,3093643,3299777,3493541,3677197,3850508,4014160,4171259,4320590,4465348,4601425,4733668,4861093,4982814
Trial 4,157013,971635,1426863,1791352,2103965,2382060,2638010,2873850,3093644,3299530,3493684,3677196,3850263,4014291,4170890,4320683,4465058,4601602,4733674,4860848,4982774
Trial 5,157395,971727,1427321,1791055,2103770,2381856,2638071,2874004,3093946,3300019,3493831,3677312,3850789,4014191,4170916,4320790,4464966,4601535,4733618,4860821,4982728
Trial 6,155271,972245,1427301,1791044,2103985,2382257,2637654,2874135,3093852,3299750,3493672,3677332,3850565,4014127,4170974,4320329,4465033,4601715,4733738,4860701,4982728
Trial 7,157028,972027,1427269,1791423,2103689,2382048,2638280,2874251,3093918,3299821,3493915,3677454,3850309,4014171,4170810,4320616,4465262,4601923,4733496,4860848,4982486
Trial 8,156338,971695,1426969,1791360,2103984,2381940,2637927,2874322,3093356,3299535,3493637,3677499,3850309,4014189,4171358,4320842,4465331,4601609,4733577,4860821,4982691
Trial 9,156514,972261,1427148,1791069,2103967,2382600,2637989,2874019,3093484,3299634,3493890,3677098,3850408,4014002,4171007,4320588,4465130,4601622,4733764,4860837,4982848
Trial 10,156730,971179,1427153,1791606,2103647,2382330,2637713,2874013,3093682,3299568,3493984,3677489,3850191,4014490,4171454,4320481,4465042,4601787,4733663,4860904,4982654
Trial 11,157571,971783,1427082,1791257,2104005,2382521,2637988,2874125,3093746,3299735,3494160,3677426,3850306,4013966,4171223,4321018,4464860,4601659,4733796,4861067,4982567
Trial 12,156459,971539,1427251,1790983,2104154,2382844,2638040,2874007,3093598,3299892,3493869,3677436,3850240,4013985,4171178,4320670,4465157,4601513,4733772,4860792,4982646
Trial 13,156667,972010,1427085,1791188,2103975,2382315,2637960,2874179,3093618,3299971,3493768,3677265,3850203,4014148,4171300,4320449,4465118,4601704,4733556,4860938,4982484
Trial 14,157551,972091,1427308,1791261,2104302,2382459,2637857,2874212,3093496,3299823,3493892,3677425,3850264,4014146,4171312,4320577,4464991,4601241,4733737,4860924,4982785
Trial 15,156763,971782,1427320,1791295,2104360,2382055,2637822,2873954,3093705,3300003,3493616,3677317,3850327,4014105,4170924,4320792,4465013,4601584,4733193,4860732,4982452
Trial 16,156492,971874,1427143,1791531,2104444,2381968,2637905,2874282,3093666,3299965,3494218,3677512,3850245,4014441,4170964,4320700,4465171,4601712,4733715,4860948,4982536
Trial 17,156582,971205,1427397,1791128,2103945,2382208,2638008,2874266,3093974,3299712,3493817,3677262,3850162,4014365,4170974,4320552,4464798,4601454,4733394,4860772,4982741
Overall,940858,1404125,1772017,2087139,2366887,2623874,2861083,3081491,3288310,3482973,3667144,3840716,4004976,4162341,4312136,4457098,4593861,4726166,4853733,4975755,5093180
