Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
164905.28,166837.56,160725.66,166297.72,169205.06,169917.31,168387.47,171370.16,172348.17,172804.1,176537.53,175769.02,179296.31,180472.34,183207.14,180813.9,183545.33,192028.31,199390.6,201946.17
162971.27,163874.52,167183.38,168838.39,169096.66,169074.9,169841.23,173503.1,169203.28,169773.92,173013.89,171337.53,173084.25,179805.62,179982.62,186400.19,183566.95,195878.25,202401.36,203767.03
165931.56,162711.52,165714.1,166649.81,165541.02,170451.02,170757.22,165743.16,173511.6,172761.69,175093.88,175213.25,175909.94,180730.06,181848.11,182528.97,186915.16,196393.22,202113.55,202528.78
160523.78,165099.19,163948.19,168352.23,169492.94,170489.12,169736.5,171686.03,170384.1,171067.97,173308.12,176157.0,180563.78,176635.22,183705.4,180755.67,182573.19,197447.81,196483.52,201064.5
163087.05,167683.62,169124.14,167254.25,167961.53,165947.28,170734.66,167872.61,171872.0,171654.22,171740.94,172539.83,178513.9,180669.27,181321.64,180800.16,183600.88,196192.78,201694.11,199723.88
164687.53,165310.88,167934.5,167338.97,167652.55,169217.8,167915.19,170209.75,166979.9,170913.84,176077.77,174978.1,178379.42,180167.8,178824.53,183024.88,185598.25,194377.94,200551.72,204572.08
165313.44,167819.2,161704.97,164976.8,162719.47,169484.31,169417.4,170655.6,172391.61,175222.66,174261.84,174731.84,178989.16,176791.12,183351.12,185816.69,186338.31,197935.55,203905.88,201082.75
168411.64,168355.75,167209.02,167647.16,166486.92,164085.9,168809.72,172013.72,171097.62,167983.34,177741.73,178027.81,177494.6,180763.31,178511.23,182975.72,186107.03,192857.69,203921.28,203283.34
167073.28,163636.72,161250.73,169918.56,167199.45,169823.06,166826.52,171871.34,174713.69,173361.19,172905.45,173605.67,177098.55,178366.94,180797.55,184111.77,186344.98,193866.78,199672.58,201660.88
162426.02,162662.75,171989.83,165098.53,167712.94,169174.28,171232.97,172927.81,169458.31,173664.02,172168.03,176316.61,175437.52,176582.53,180304.25,183408.1,186456.1,193546.03,196928.53,206834.6
163924.84,164999.23,165019.62,166777.83,168464.78,169859.4,169339.6,171501.88,168667.6,171169.17,171197.03,178480.81,175883.9,177932.94,183237.78,179004.72,185518.16,194328.38,204531.03,203520.11
162049.03,168271.36,167379.0,170727.83,168915.64,169562.4,172710.33,169670.02,170004.66,173156.38,177083.45,178733.03,178228.78,178572.58,184079.03,181030.39,187456.27,196436.81,196262.22,203756.77
168105.17,163712.6,163058.1,165759.97,172345.44,170050.17,167734.45,173883.66,169135.06,173916.88,172222.88,173895.23,180588.02,178217.3,177927.72,182746.4,184812.5,191223.62,196082.38,201575.53
162972.02,167750.38,165045.31,167854.31,173502.88,170125.77,173795.72,171836.22,172660.1,168032.92,174849.58,177892.39,175864.08,175781.42,179389.4,182034.25,186587.4,195168.56,199927.94,200406.78
162675.53,161116.48,167616.75,166011.44,164363.45,165702.5,169955.44,173083.53,169488.16,172238.28,177029.81,175663.53,178202.1,180882.0,176412.8,182372.6,188253.5,196429.95,199213.5,204090.75
164474.34,165624.78,168583.47,164055.03,170351.25,168269.53,169070.66,168201.73,171424.25,174575.47,175646.06,175518.25,176048.31,183007.34,181794.72,183775.03,187096.6,194387.34,205049.22,203662.38
161447.7,163052.4,166138.47,166348.16,169732.47,167553.17,167362.84,171827.53,176403.25,171768.86,171666.58,173179.31,172779.81,180685.67,175606.23,178445.19,186835.6,194263.31,200437.28,207485.78
162785.84,163728.94,165199.66,166880.72,165688.25,170690.12,167211.12,169680.92,172164.95,170141.61,175602.25,177000.31,176392.84,181160.08,181378.0,180232.16,184167.62,194439.38,199705.47,204449.4
162182.53,165888.28,163877.84,170786.52,166913.31,168293.3,164368.03,174795.5,171260.25,170309.05,171781.84,177279.31,176610.78,179393.62,181048.66,181838.03,185864.7,194775.58,202930.67,204435.81
168467.22,162840.23,166705.66,168220.3,171026.72,169462.1,173549.22,170403.64,171279.6,174415.38,176525.34,174726.19,174771.86,177054.72,185015.53,184415.58,185382.23,197585.27,198405.67,203363.5
162408.44,169902.6,164062.36,168035.53,170111.88,172319.94,172476.78,173812.89,172252.22,172680.94,175598.06,173183.86,177097.69,179408.36,177982.1,183461.44,182230.95,197536.56,202077.34,204021.16
165692.36,164288.19,168075.67,167290.92,170084.03,169456.86,165075.19,168968.98,171027.4,171776.27,173298.4,174278.0,175686.17,177390.88,177914.19,180527.28,189072.62,193373.66,198573.4,202849.95
165509.19,165826.42,170005.44,165853.28,166068.19,170350.44,163590.72,173702.3,172892.61,172147.02,169740.16,179417.66,177198.1,180726.56,181676.88,184061.78,184685.3,193523.12,201777.78,202590.58
160712.28,164245.98,166245.34,168693.78,168741.81,169280.42,172181.38,168423.22,169892.25,176676.81,174373.22,179387.75,177561.28,179326.4,185056.0,180097.45,185078.75,193069.78,203982.44,203123.94
164241.61,162812.4,167972.89,164928.56,166978.62,167299.16,170291.66,168493.56,173125.06,174843.62,174776.25,174013.56,173409.97,176531.17,179779.4,185139.33,187412.0,195340.78,201924.98,203025.81
163227.28,163533.39,164913.78,163319.23,170067.34,166725.25,171533.1,174298.4,171179.62,172659.38,173440.03,175011.69,178656.75,179538.95,179627.47,180095.17,185410.69,197550.12,201111.17,203012.25
164160.6,167629.89,170734.95,167762.62,168337.97,167493.56,169181.47,175850.84,172471.8,171822.34,176287.88,174328.69,175674.6,179816.73,179624.75,182668.72,185766.61,197846.5,199050.66,203281.2
161259.84,166471.42,164068.31,170660.81,168849.03,169008.56,167437.61,169335.5,168278.62,174200.22,177971.17,175934.81,174257.19,177959.5,180482.4,182095.97,183979.9,195947.05,203243.44,203814.06
160887.73,165747.61,166817.5,167147.31,166582.45,163756.5,169725.47,175441.0,174720.92,173577.95,171246.62,173996.56,179360.44,180608.69,180882.95,183636.58,183646.48,194552.9,200525.16,202008.36
166183.97,160827.69,163782.78,165675.47,168210.12,167248.88,173030.05,176067.03,172653.03,175474.31,169995.31,175883.72,176435.69,178554.03,177027.28,182774.2,186264.34,197641.19,202768.02,203871.33
162765.66,164774.97,165785.75,163521.3,166212.9,168641.97,168015.78,170320.05,172102.1,175184.19,170103.14,173041.19,176462.33,176624.53,180942.28,181969.42,187921.94,195465.77,202535.25,202494.19
163233.47,163109.81,166499.69,163185.28,172361.56,168854.06,169435.4,170953.33,168478.67,173116.06,174111.6,175410.86,176229.19,177631.94,177466.44,183094.47,187798.19,195476.88,201872.98,204273.33
166021.1,169481.95,164664.97,167778.0,168085.38,169648.06,169535.38,170378.78,175815.78,174967.66,172067.31,172730.97,175862.03,177547.73,179258.11,182625.48,182847.39,194286.23,202569.69,201734.8
163362.48,165578.7,165162.81,166209.02,166945.0,166957.31,169312.16,170152.78,173002.31,173154.6,175388.66,177785.31,180848.84,176596.9,181741.86,179373.22,183874.61,196634.66,197641.75,200299.33
163611.03,161101.66,166416.27,165694.6,166580.17,170420.4,172147.78,172994.19,172543.19,176166.66,173885.69,173607.88,181474.12,176999.06,185413.81,183759.72,182487.0,197145.44,201075.08,203898.95
161264.48,166994.55,165500.86,166159.69,167834.34,168491.25,170436.56,171147.69,169590.47,170531.34,170977.34,174677.12,180897.83,178744.56,182737.47,184287.16,186328.34,197031.66,199674.25,203345.36
161961.25,162816.75,164973.89,168166.75,167064.72,168192.47,173203.03,171366.11,176304.47,170399.88,169841.22,175438.81,177584.27,179740.03,182353.0,181856.5,184546.1,193953.56,198072.39,202826.62
166206.03,165370.88,166829.95,163351.36,165234.62,171247.56,168991.1,168556.48,168749.06,174651.9,174794.72,178228.1,177640.42,181857.88,183051.47,181352.84,187369.06,196213.6,201535.39,205201.4
160993.8,164434.97,165800.38,167402.86,168287.31,170537.88,167378.69,173641.19,169986.84,175364.64,176286.25,174004.64,179917.3,180696.45,180522.94,182182.94,186272.69,195704.6,199430.69,205677.52
164074.84,164895.16,161591.9,164854.53,167759.81,172233.12,171619.2,172256.0,175073.9,170631.0,171691.9,173450.8,178158.19,176996.34,178613.19,181560.42,183583.44,192762.25,199511.17,203623.12
165782.44,166104.66,164893.36,165246.23,168611.47,167685.97,171567.1,169433.66,172466.92,171996.05,172174.12,178022.0,173823.5,178342.03,181335.1,180728.66,184075.34,192015.45,199131.36,207663.25
166037.38,167197.81,167992.3,166501.83,168380.23,169877.0,166792.72,170098.94,174563.66,174706.72,172747.34,176170.72,178678.61,178546.5,178628.44,180134.02,183686.73,192995.28,200011.22,203621.25
161935.83,163043.66,166867.5,164047.78,167030.97,171228.44,175288.6,169153.84,169594.64,176071.17,174875.25,175155.28,176856.75,174905.5,180605.67,178661.94,182823.66,197828.47,199172.58,198069.19
167416.11,162712.78,163038.28,165857.5,169821.16,174235.97,174663.31,171522.88,171899.4,173214.72,169780.72,173942.03,179211.97,177402.1,182744.4,178359.47,183727.0,196849.0,197386.33,199985.28
165641.02,161842.56,164741.97,164698.16,171729.78,166971.22,171569.03,171106.75,169550.78,172399.12,174157.9,173797.34,177817.1,178980.36,181390.75,183463.8,186182.81,194467.81,203635.86,201595.16
