Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
202310.7,180654.81,180758.16,178979.5,175037.38,174993.8,179209.4,178246.78,175186.47,180472.11,174392.94,180751.31,182786.86,182990.83,180368.81,181168.56,185174.56,180625.62,180606.81,182573.1,183886.86,181323.62
202302.6,184867.9,180267.62,178103.81,174961.12,174366.62,173952.78,178485.47,180846.66,174623.9,179747.19,178304.84,179826.03,183364.66,182260.8,180573.69,182325.67,181562.53,184054.9,185702.58,180011.38,178073.64
203363.52,186316.47,181178.84,178524.06,179490.47,180782.25,181128.05,179513.69,176704.42,178283.06,182588.23,180735.4,177047.61,184483.0,178559.12,181073.9,181414.4,181586.25,184321.88,180562.28,183346.19,177529.06
200255.94,179156.39,181379.3,180254.03,173482.12,174102.12,175908.47,178046.98,179521.84,175925.55,179186.03,181231.97,180560.11,182991.69,181140.0,177859.81,183247.06,182186.4,183752.92,183433.2,182491.62,179091.19
201619.58,184353.34,182331.31,178104.53,177437.28,177741.22,177739.12,176999.9,177842.58,176713.4,181007.03,178675.47,176236.66,180110.53,180877.66,185260.62,181298.4,182597.6,178562.47,183119.4,185479.9,180593.69
200451.6,185468.72,181232.66,178079.1,177402.31,175854.78,175777.69,175776.05,179150.44,177005.64,177546.56,179122.5,180625.88,182131.7,182503.31,183496.25,182201.0,178353.08,181435.16,181621.31,182104.5,180345.1
205270.27,179686.88,182631.45,175587.75,174965.88,175956.34,178064.97,177298.1,179887.86,181635.47,180696.38,177851.9,179807.98,178627.53,180082.61,181851.22,177087.19,182700.66,182281.56,181197.17,184296.31,181472.16
199770.25,185537.94,181958.64,177519.1,178465.78,173567.16,176087.17,177539.72,177558.84,177940.67,178096.31,174697.9,183578.55,179979.19,180548.64,179135.12,183494.94,183091.03,179155.45,184824.88,180945.16,177945.08
202751.56,186392.97,184857.53,179157.25,175418.53,175323.25,179547.3,177581.6,179933.22,177737.12,178084.9,181350.81,180277.16,182051.03,180703.84,179517.03,181030.22,180383.98,179455.47,180490.48,182127.8,178875.55
201280.47,181963.12,178292.4,176401.75,175825.94,176822.47,180056.1,176441.11,178720.84,178747.55,178313.81,181327.53,179404.7,182282.19,181431.3,178527.66,181121.75,182295.28,183102.34,181015.56,179356.7,179974.05
204510.66,183451.45,182607.34,180453.83,177572.06,174653.88,178577.92,175852.39,178543.25,176384.75,179561.03,179389.12,182688.56,179062.27,178938.94,179095.75,184403.88,183246.22,180070.4,180773.55,179065.62,178781.34
204466.55,185830.92,182306.98,176576.28,175099.3,175567.34,178919.0,175416.88,181618.4,178762.31,179230.53,182794.81,178399.94,183867.48,180289.62,186263.4,183905.31,182021.0,180678.36,181748.6,178458.8,177884.44
205739.0,184424.0,182065.73,179296.88,176031.72,173298.75,175561.62,178323.56,178500.42,177142.31,179502.94,182389.12,180527.16,180438.14,179079.81,182388.16,181261.56,182742.69,182143.88,182788.4,182920.03,181078.36
199942.22,184085.69,182730.31,180457.84,180009.0,177476.66,176478.44,178535.9,179504.31,180587.31,181589.28,181223.73,179280.08,176723.16,179552.34,180964.47,181294.22,182974.73,180902.03,183265.08,183515.27,180127.94
200644.03,185472.69,186852.95,176847.69,172559.02,177605.3,175095.16,179693.16,181245.55,177761.84,180998.62,177761.58,177505.0,180637.5,179291.88,182174.72,182314.6,182536.22,181942.16,181269.38,180827.78,182943.14
202166.98,183429.97,182200.55,175962.47,179628.58,172846.97,177037.31,178981.39,180352.06,176226.38,180246.45,179333.2,178625.62,186218.81,180257.97,180145.53,182791.89,182848.44,180415.92,185889.0,178874.06,179881.97
205907.9,185776.83,180972.03,176663.66,174800.45,175008.7,179771.27,177108.7,182952.38,178403.23,178805.22,180765.03,182009.0,181687.16,182173.4,182905.61,180763.28,180557.48,180797.72,180950.94,183153.81,180406.38
204601.44,186171.7,181516.75,178655.44,176175.06,177271.12,179612.62,176798.89,180293.2,177126.34,180245.4,177826.64,183296.61,182170.11,183784.12,181905.03,179561.72,183657.2,182108.56,182939.53,180915.75,179167.19
197331.12,186507.67,180939.94,177210.56,176582.28,177935.4,180471.47,175809.25,179320.75,179955.19,179998.62,181118.88,180507.02,182226.0,178358.48,183929.61,182443.47,185120.0,183400.94,176609.97,178628.14,177430.9
