,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,740263,8315722,13668329,18225800,22317508,26093024,29622176,32969843,36160921,39223811,42172294,45022397,47774933,50441788,53027175,55545239,57996832,60380279,62697106,64962006,67164745
Trial 1,741562,8316617,13666254,18224957,22320490,26090015,29623394,32971767,36163496,39224798,42172291,45022190,47773724,50443865,53025853,55544387,57998982,60378934,62698140,64962741,67165000
Trial 2,742174,8317260,13667380,18226799,22320215,26090511,29625664,32970485,36162817,39224570,42171596,45020148,47775680,50441881,53029189,55543590,57999173,60380361,62697764,64961843,67164063
Trial 3,743287,8315390,13664060,18225685,22319281,26093650,29623663,32971121,36162760,39226344,42170847,45020343,47773941,50441535,53028285,55545497,57997626,60379908,62696901,64963688,67163758
Trial 4,741928,8317464,13666138,18225269,22318756,26090096,29623789,32972084,36161792,39224720,42171493,45021375,47774144,50441887,53027385,55546572,57997337,60379941,62696081,64961821,67163123
Trial 5,742760,8316154,13663982,18223146,22319609,26087878,29624813,32970262,36161762,39224925,42171679,45021114,47776953,50442285,53027093,55545997,57996674,60379231,62697326,64959724,67164163
Trial 6,738004,8317298,13664212,18222649,22319454,26091025,29621682,32971006,36162982,39225933,42173891,45020894,47775691,50441060,53025873,55545407,57999752,60379352,62696120,64960996,67163801
Trial 7,742966,8318624,13666207,18226194,22318735,26092658,29624445,32970424,36162957,39225272,42173255,45021779,47774453,50442045,53026188,55545270,57998017,60379806,62697500,64961272,67161991
Trial 8,740350,8315818,13665311,18226277,22317364,26090041,29622520,32969736,36161210,39223175,42172976,45022414,47774087,50443138,53026797,55544992,57999953,60380153,62697187,64963098,67162693
Trial 9,740105,8317259,13665268,18225178,22318883,26092098,29624478,32971586,36161452,39222620,42171384,45021851,47775777,50442149,53026497,55546075,57997808,60381469,62696734,64961171,67163553
Trial 10,741479,8316001,13666876,18226905,22318417,26090545,29620023,32970030,36160044,39224175,42172627,45022249,47776296,50442819,53029444,55544269,57999207,60380903,62698306,64961433,67163133
Trial 11,741380,8317672,13665638,18226020,22319881,26091747,29622804,32969933,36162737,39225214,42174314,45021689,47774206,50442055,53026674,55547964,57995910,60379696,62697512,64962681,67164089
Trial 12,739262,8316841,13665824,18225237,22321063,26093138,29622809,32971144,36160472,39224703,42172749,45021477,47774320,50442199,53025491,55546024,57998657,60380813,62696795,64961754,67163844
Trial 13,743681,8317632,13664678,18226132,22318424,26091343,29623796,32970594,36161557,39225947,42172945,45020658,47775002,50443583,53027219,55545764,57997461,60379880,62698178,64962294,67163429
Trial 14,744974,8320559,13664368,18227546,22319711,26090899,29623123,32971730,36160914,39222929,42172689,45022783,47773634,50441737,53028788,55545997,57998716,60378031,62698353,64961238,67163634
Trial 15,739336,8316186,13666179,18228363,22319448,26088612,29623011,32970015,36160223,39225093,42172141,45020378,47776003,50442705,53025030,55545901,57999199,60380346,62697056,64961456,67162859
Trial 16,742388,8317677,13665261,18225173,22320389,26089051,29622793,32971666,36161339,39224661,42174182,45021763,47775053,50440881,53026652,55545998,57998806,60379692,62698406,64959498,67163264
Trial 17,741497,8316879,13666001,18225387,22320267,26091096,29624753,32971162,36163062,39225627,42172576,45021837,47775207,50441690,53027586,55546467,57997394,60378231,62698868,64960111,67165325
Overall,7977021,13387782,17980786,22096008,25883208,29427317,32784609,35983517,39053386,42007221,44861862,47620412,50292554,52881356,55403739,57860428,60245800,62566506,64834249,67039481,69190736
