,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,1435619,29893479,52193538,71564183,89048645,105167657,120266899,134516963,148081845,161047928,173494551,185474211,197057928,208277766,219138063,229679323,239921132,249879806,259588413,269030791,278247202
Trial 1,1436128,29893036,52198703,71560273,89049317,105165643,120264711,134512675,148082629,161048627,173500564,185475228,197056540,208275417,219139316,229675408,239922882,249876717,259589502,269031399,278245812
Trial 2,1435780,29894065,52200115,71565584,89049182,105169096,120262034,134513865,148082686,161047496,173500453,185470745,197064143,208275952,219137010,229679645,239925339,249879473,259586098,269035719,278247339
Trial 3,1435595,29893830,52195737,71562972,89050638,105163649,120265275,134516637,148080100,161050535,173499921,185469121,197059155,208272390,219139198,229674215,239924850,249880302,259586163,269032814,278246132
Trial 4,1436094,29894358,52194999,71561293,89046573,105168449,120265776,134513996,148081879,161046064,173497967,185472373,197056709,208275850,219137718,229676269,239925234,249880555,259586301,269033206,278250847
Trial 5,1436034,29894965,52194132,71562101,89044731,105167067,120266033,134514414,148080418,161049377,173499860,185469098,197057117,208277618,219135819,229675103,239925719,249879086,259585759,269036959,278244921
Trial 6,1433328,29896555,52198481,71564381,89047285,105166854,120266223,134512177,148083267,161047048,173500985,185467603,197060616,208271354,219140721,229678274,239925819,249879651,259585062,269032730,278244866
Trial 7,1435387,29893072,52196555,71562023,89047504,105164349,120265587,134515032,148081887,161048824,173496547,185474194,197059308,208276278,219134950,229675631,239923119,249883099,259589326,269031357,278247088
Trial 8,1436597,29893046,52195250,71563201,89046486,105166201,120266433,134514339,148079850,161048327,173498007,185471069,197059894,208278666,219136908,229678792,239923789,249881235,259589309,269034243,278244891
Trial 9,1435526,29893504,52194940,71567015,89051759,105166817,120263826,134513326,148078859,161048248,173498643,185475780,197063660,208280051,219136271,229677609,239921807,249878207,259585898,269036010,278246101
Trial 10,1436486,29890662,52194833,71563247,89049758,105165235,120264812,134514030,148080091,161046688,173499167,185471073,197059264,208271847,219134576,229674722,239926453,249877371,259586908,269029162,278250281
Trial 11,1435224,29892949,52194585,71562418,89047571,105165587,120268148,134512355,148082964,161045291,173495426,185471423,197060095,208277015,219135036,229674902,239925078,249880722,259585985,269034280,278248773
Trial 12,1434255,29891267,52198696,71563206,89049461,105165378,120264829,134514228,148082836,161049578,173499536,185471337,197056836,208276429,219140489,229678822,239924561,249879423,259587765,269031930,278245160
Trial 13,1438047,29895045,52200209,71564379,89049669,105166421,120268812,134511956,148082321,161048579,173498064,185469974,197057759,208276160,219138025,229676200,239923718,249882334,259588089,269035525,278248298
Trial 14,1438987,29892586,52194819,71564946,89048226,105163924,120268590,134510753,148081574,161047702,173498088,185471686,197059063,208276674,219137472,229678457,239925637,249877928,259585703,269030772,278247345
Trial 15,1434303,29892659,52199846,71562134,89048850,105166500,120270106,134515432,148079239,161043315,173497821,185474043,197062132,208274894,219133343,229676880,239924478,249880258,259586535,269030396,278248250
Trial 16,1436644,29893574,52197615,71563658,89045443,105162689,120265418,134517106,148078891,161045636,173501065,185470684,197061048,208276193,219137796,229678282,239925071,249878085,259586167,269030809,278247508
Trial 17,1435333,29894529,52198409,71563787,89048744,105163605,120264263,134516279,148078414,161050626,173497119,185470518,197058235,208273383,219134895,229677764,239929348,249880073,259590019,269033412,278248786
Trial 18,1436767,29895410,52199022,71563215,89045063,105162457,120268706,134518806,148080215,161049560,173498697,185464273,197058383,208276695,219132578,229676957,239923584,249877093,259587766,269032243,278248742
Trial 19,1436003,29892825,52199659,71565614,89051661,105166240,120265243,134516702,148079771,161046258,173501206,185469410,197061546,208276276,219135726,229677804,239924191,249882018,259586732,269032484,278247215
Trial 20,1436442,29896074,52200332,71560399,89047869,105164936,120267847,134511154,148082110,161047497,173499880,185471662,197060695,208278320,219138551,229677951,239925387,249880695,259584855,269030900,278249987
Trial 21,1434301,29893272,52196561,71564602,89046721,105168255,120267005,134517207,148082518,161047801,173499626,185473626,197062390,208275319,219139120,229679155,239927471,249876934,259589179,269029510,278246876
Trial 22,1434644,29892895,52196912,71565655,89046427,105167787,120266438,134510643,148082254,161047897,173497486,185471764,197058351,208274910,219141252,229673489,239922951,249879949,259586178,269033991,278250214
Trial 23,1436471,29893639,52198545,71563322,89047483,105168388,120267686,134513498,148080818,161047985,173494773,185468531,197057614,208273107,219138203,229675955,239926937,249879612,259586324,269035762,278245613
Trial 24,1433477,29893617,52197361,71562864,89045756,105164651,120266383,134513517,148081086,161048563,173500917,185472620,197062197,208276926,219132223,229674290,239927693,249882315,259587900,269031036,278244361
Overall,28901449,51357847,70815066,88363271,104527630,119666133,133944448,147537631,160526726,172998245,184987568,196591707,207823093,218697919,229250124,239510584,249475783,259194197,268649353,277874063,286855403
