,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,914574,15372059,27750936,38964427,49375948,59175971,68484965,77386888,85947855,94194485,102203538,109965023,117526599,124887629,132069830,139084280,145953388,152674609,159282048,165745649,172114172
Trial 1,914457,15370089,27749411,38963362,49377902,59177933,68486842,77386659,85945140,94198226,102201253,109965073,117526175,124885711,132069072,139082364,145952972,152675297,159279261,165745822,172113727
Trial 2,915272,15368600,27752961,38963068,49375292,59176818,68487008,77385514,85947370,94199410,102203164,109966528,117525412,124883981,132067720,139080526,145956169,152674613,159277021,165746974,172119384
Trial 3,914381,15370288,27750123,38963156,49374184,59177158,68485294,77388629,85945733,94201320,102203498,109967622,117521702,124884751,132068498,139079466,145953941,152679849,159275483,165748305,172117730
Trial 4,913999,15369517,27751440,38963397,49373922,59179481,68488002,77386799,85947198,94198605,102204100,109965769,117523405,124886111,132066391,139084764,145956070,152676866,159275928,165748378,172114606
Trial 5,914599,15369346,27748810,38963945,49377720,59174446,68487645,77385744,85945683,94197916,102203898,109964670,117527408,124884154,132068414,139082901,145950789,152675707,159278214,165745726,172112750
Trial 6,912822,15370573,27750845,38961479,49373637,59176799,68487143,77386299,85947761,94197234,102203603,109964350,117526784,124884411,132067105,139088166,145952692,152672662,159279653,165745773,172115420
Trial 7,915259,15369785,27749558,38961670,49375814,59179341,68487958,77386261,85943123,94197838,102201799,109962880,117527299,124884523,132068287,139083564,145954602,152673108,159275937,165747986,172115016
Trial 8,914187,15369019,27749902,38964507,49372985,59177529,68481991,77388295,85941409,94198657,102201296,109965374,117524565,124885920,132067023,139081324,145954350,152675482,159277376,165747698,172112455
Trial 9,913944,15370647,27753602,38965269,49372488,59178360,68486622,77385669,85947055,94199399,102202338,109965594,117526426,124888510,132065686,139082981,145953554,152678102,159278957,165746603,172113713
Trial 10,915132,15369347,27751105,38962926,49374434,59176637,68484030,77385022,85946947,94198837,102202427,109963099,117528611,124882929,132069371,139080203,145953769,152677909,159279927,165748123,172117443
Trial 11,914681,15369918,27750624,38964545,49374205,59176572,68488590,77385162,85945616,94201084,102205386,109961239,117523993,124886615,132066203,139081522,145953484,152675912,159276303,165747815,172118628
Trial 12,913660,15370717,27750518,38965114,49376024,59177944,68485209,77385335,85944735,94195484,102204696,109962913,117528189,124890044,132066923,139084102,145953174,152675723,159278835,165747248,172117819
Trial 13,916539,15372948,27749446,38966635,49375952,59177529,68485179,77386389,85943183,94198178,102205642,109966853,117523141,124884847,132069944,139084197,145952859,152676844,159278514,165746397,172119538
Trial 14,916582,15370011,27750582,38964482,49372102,59176327,68485840,77387567,85946204,94196065,102204885,109962852,117528468,124885282,132070105,139087540,145959402,152674532,159282653,165748562,172111759
Trial 15,913384,15369852,27749081,38966346,49373802,59173891,68487368,77384215,85945556,94196470,102200848,109964850,117525787,124886009,132067158,139085234,145954288,152676794,159279294,165745471,172114724
Trial 16,915091,15370024,27753303,38965964,49373914,59175334,68484772,77384047,85945120,94198944,102203784,109965185,117527565,124883775,132067102,139084956,145954782,152676124,159275510,165744135,172116707
Trial 17,913696,15369355,27749669,38961631,49376141,59175112,68488929,77382302,85947819,94198059,102201419,109963451,117526803,124885960,132070478,139083509,145950553,152675600,159278201,165744909,172115704
Overall,14630659,27091218,38356433,48805570,58637990,67972372,76892524,85470769,93737882,101757482,109530616,117103957,124474022,131666234,138690077,145569152,152298105,158908293,165382467,171758120,178015520
