,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,896990,15517078,26374974,35770193,44260975,52121604,59506033,66499018,73175673,79605147,85804578,91804184,97629994,103307442,108847923,114256786,119562459,124762890,129864392,134865559,139774826
Trial 1,896128,15516193,26373890,35769054,44260809,52118854,59505913,66497609,73175682,79602180,85808493,91806426,97626257,103309641,108845596,114259475,119560359,124762051,129863980,134866004,139771916
Trial 2,897647,15517103,26376720,35772245,44258431,52118477,59501623,66496215,73176054,79604935,85805114,91802761,97633420,103307585,108847611,114259610,119561247,124762934,129859502,134867855,139772803
Trial 3,894393,15518676,26373281,35766427,44259446,52121110,59506787,66498508,73174636,79604035,85807997,91804007,97628572,103304833,108847554,114256582,119561106,124761642,129860973,134865887,139770966
Trial 4,895589,15517950,26376554,35772727,44261316,52121182,59506217,66499000,73174971,79601467,85802050,91804201,97629412,103307340,108847342,114259601,119562264,124763686,129863157,134865621,139774280
Trial 5,896165,15518728,26374194,35767472,44260127,52119276,59503971,66495175,73173465,79607385,85804377,91805823,97626993,103308973,108842979,114256618,119563639,124761350,129862643,134869382,139771271
Trial 6,897299,15518888,26377652,35769596,44259146,52118461,59505044,66495165,73172875,79603831,85803473,91800039,97630334,103307069,108846875,114259940,119564154,124763550,129861282,134862093,139772401
Trial 7,900333,15514664,26375996,35770707,44261091,52121818,59503961,66496956,73173186,79603747,85804165,91804024,97630391,103306431,108843652,114257152,119563585,124764745,129862670,134865676,139772954
Trial 8,897645,15520283,26374528,35769962,44259126,52119305,59508778,66497107,73173604,79605032,85806118,91803426,97630778,103308652,108844809,114259166,119561324,124764033,129863726,134867099,139771973
Trial 9,896988,15517788,26378140,35772590,44261181,52117331,59506644,66495299,73170202,79604837,85804443,91803881,97631968,103309012,108845225,114258014,119558474,124762534,129862372,134867514,139772664
Trial 10,896589,15515401,26374275,35770348,44260089,52120297,59505007,66495867,73173187,79603424,85806271,91803449,97628002,103305444,108845523,114257819,119561238,124762140,129862662,134867005,139772227
Trial 11,897269,15516173,26374445,35763932,44257215,52117285,59507268,66497659,73175810,79601426,85801635,91805482,97631294,103308245,108842436,114259803,119560837,124764390,129864179,134866519,139770159
Trial 12,895501,15516296,26377084,35767194,44258918,52117765,59502870,66495860,73175469,79606620,85805960,91800700,97629799,103307095,108849465,114257322,119561208,124763929,129860628,134864331,139772305
Trial 13,898433,15518484,26378602,35769767,44261671,52122186,59506568,66494571,73175365,79603542,85806180,91802896,97632347,103304903,108848380,114257534,119561956,124764708,129862790,134865194,139774612
Trial 14,896251,15518105,26374015,35771833,44262603,52119449,59508099,66495776,73173548,79600297,85804753,91802504,97630377,103310779,108847421,114257866,119561936,124761126,129862011,134865971,139771175
Trial 15,898586,15514637,26376121,35767263,44261803,52121741,59505575,66496818,73171033,79601148,85804052,91804388,97629303,103306237,108844501,114258818,119561439,124762247,129861836,134866779,139774157
Trial 16,895125,15518350,26376341,35769478,44256899,52116889,59505189,66496140,73171282,79602782,85805774,91805072,97633403,103306148,108846601,114256155,119562735,124764039,129859961,134865437,139773492
Trial 17,894096,15519315,26377703,35766236,44258741,52116306,59504252,66497884,73173099,79602057,85806249,91802866,97630293,103306332,108846326,114257668,119565308,124763443,129864801,134865772,139770773
Trial 18,896181,15517405,26375523,35766395,44260763,52115238,59505224,66497498,73171333,79606690,85803712,91802429,97629175,103308269,108843184,114259469,119561468,124763057,129862022,134865324,139774409
Trial 19,896221,15520113,26377425,35771374,44262150,52118908,59505300,66494295,73174460,79600865,85807256,91803189,97629983,103308197,108844361,114256289,119560759,124763275,129861747,134865975,139771595
Trial 20,895914,15519187,26378112,35769948,44259861,52118368,59506422,66494273,73173706,79603852,85806099,91805547,97628865,103307826,108847130,114256602,119562222,124763992,129860797,134863627,139772035
Trial 21,899151,15516822,26374359,35771943,44261875,52119853,59505456,66494988,73172386,79607361,85804945,91803877,97630320,103310335,108848283,114260211,119561798,124760702,129862957,134864499,139770928
Trial 22,897707,15518667,26378059,35772335,44259590,52121641,59506695,66492540,73172062,79606872,85806984,91805908,97630461,103307133,108845804,114256040,119559612,124762458,129862946,134866317,139773703
Trial 23,896730,15516013,26377852,35767305,44263770,52120693,59511017,66496507,73173836,79603094,85803971,91802924,97629970,103309760,108846381,114257968,119562550,124762078,129860803,134868116,139770540
Trial 24,897564,15517483,26374452,35769486,44259621,52117736,59504961,66496322,73172095,79606101,85805100,91805744,97634089,103309862,108843976,114259064,119561750,124765179,129863347,134868293,139771891
Overall,15033306,25972157,35410066,43930681,51811185,59215430,66219804,72907818,79348156,85558181,91564128,97396925,103080322,108623929,114040584,119348658,124554135,129657412,134665235,139574716,144409371
