Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21,Stage 22,Stage 23,Stage 24,Stage 25,Stage 26,Stage 27,Stage 28,Stage 29,Stage 30,Stage 31
204452.5,198775.34,207806.34,215369.58,216886.95,215044.28,211546.06,212155.4,211795.53,207834.39,198473.16,197868.52,197302.12,194884.72,192987.19,192263.88,191345.05,188653.56,181737.05,185742.45,179547.53,181246.84,180821.62,178720.42,178942.48,174839.53,169428.7,171245.62,165454.42,163614.19,156391.12,159623.5
203348.39,198702.84,203766.06,214318.5,214963.17,214783.97,216530.1,212532.22,211051.6,205003.28,203369.64,198933.97,192445.78,194559.22,196115.9,192145.75,189486.97,189347.61,188537.9,181103.7,186359.16,181840.23,178262.61,177536.9,174077.4,172313.48,170593.38,168973.12,168303.6,166825.53,158442.72,158803.03
201246.62,196344.66,205098.38,213817.1,213341.7,220715.72,214123.69,210786.77,210089.0,202465.1,200887.88,197686.5,193706.08,194699.4,193231.61,190539.44,191101.94,186454.53,183728.69,185694.25,179079.34,185301.75,178356.88,178134.2,177007.75,172277.27,172014.47,171189.06,167153.97,161164.44,165432.78,156769.94
204582.5,196083.25,203053.69,212926.86,218577.03,213556.88,217008.78,212522.72,207376.44,207259.12,202154.5,196689.84,194734.84,198079.45,189673.94,191165.62,186007.23,188213.72,187343.67,185467.88,178249.47,183827.84,179080.38,179673.47,177909.62,169968.0,168628.38,167401.88,164359.45,162725.75,158053.5,156418.47
202672.62,197513.12,203476.86,213465.28,214459.03,216050.62,213693.16,212874.19,209136.5,209749.12,200492.73,201233.9,199140.88,196530.9,193953.89,192709.97,189826.69,188014.19,191174.55,185678.31,180770.56,180627.42,176180.22,177543.03,175504.47,174244.8,168753.34,174386.25,167887.86,161252.31,161503.6,162299.94
204330.19,196099.72,201168.84,213541.72,214291.6,218703.53,213708.45,214160.83,212186.12,203918.7,202515.38,196338.19,197904.86,196065.53,195191.9,193008.62,187498.45,189458.98,185647.5,185792.45,183565.6,181778.03,178801.77,175243.81,174819.69,173033.5,166526.97,170934.16,165255.66,165043.75,158653.9,158770.69
202825.28,196803.84,207168.12,214897.53,214885.97,213487.73,215183.34,208997.47,209333.47,204797.03,202721.81,198840.17,195169.23,194218.53,190117.31,192611.88,190867.55,187126.73,187059.19,186628.95,185642.02,180430.9,179832.11,179281.53,177888.02,172446.72,171018.2,168556.84,163310.52,164727.36,156710.94,157362.88
201684.52,197033.16,202912.19,212388.16,214506.27,216265.94,215961.81,208677.16,208511.9,205006.47,200954.45,198361.69,195426.6,196791.67,189063.7,189694.16,192141.72,184342.8,186062.5,183434.48,180783.27,180621.11,175121.62,175577.6,174331.44,172043.1,168426.14,169013.56,167361.25,162598.06,159381.75,156838.34
204431.56,196712.9,204011.1,213911.83,215013.72,215920.16,216574.78,213373.38,208644.31,209664.17,203466.48,198199.3,196085.81,197893.2,192504.11,191392.27,187861.69,186074.94,186403.86,186555.5,184053.78,178447.19,180183.44,178622.73,175394.23,169161.11,172886.33,172674.14,166976.8,165960.75,162430.12,162414.47
202023.0,203620.02,205309.6,214434.44,216338.16,214662.0,213670.0,213547.3,208769.97,203676.92,203089.97,198808.47,195648.62,194268.69,193041.64,190877.5,189272.94,188889.94,187969.55,185671.31,183757.1,181780.6,181210.73,182663.86,170986.31,175634.6,173524.39,170992.62,167165.72,163289.5,158280.06,159502.56
201964.72,199875.08,201185.69,213514.81,218688.98,213367.19,216440.69,213668.75,208824.97,206705.16,201499.98,203752.84,194325.22,197896.38,191108.1,188467.08,186970.75,186406.98,189454.94,183737.56,182181.42,178538.16,177461.31,181903.34,173545.16,173833.31,168199.97,169376.48,168710.58,161482.5,162965.36,159118.16
203601.6,195137.81,206180.25,214107.31,214223.89,218424.83,216635.66,214528.02,207170.62,203580.47,204128.47,197210.81,197032.23,194820.94,192290.48,190855.03,186201.78,184517.56,185821.5,182932.66,180249.97,176837.98,175983.58,178412.78,177864.97,174686.53,169651.86,170650.73,166123.03,166005.5,162046.25,157923.27
201353.67,201269.78,205747.86,214796.84,216280.69,216712.88,213524.44,213389.72,211610.02,203379.81,203493.1,196239.53,194909.25,193801.88,186795.75,192567.9,184498.75,187870.1,184976.42,185917.56,182428.06,181918.27,177881.28,178522.83,173501.81,171835.97,172745.17,170484.98,165539.66,164626.98,160996.0,160503.38
204649.5,194384.36,208335.64,216634.33,216713.77,215681.36,215932.22,215509.34,209813.94,203148.62,200988.95,196676.9,195806.42,195818.36,193761.19,189450.16,190810.9,186336.16,184223.25,180872.81,185721.22,179499.53,180608.88,176860.78,174841.12,177190.77,168497.84,170288.6,168492.1,162998.22,162948.78,160289.75
202919.86,199916.25,205767.39,215137.12,214830.25,218340.58,215192.25,212955.72,210123.31,205097.75,201810.39,199228.19,194001.67,195597.0,193548.0,192089.06,191070.88,185864.28,187355.53,187072.58,184810.88,181461.5,178999.75,177608.48,174032.56,172024.16,170592.38,168908.42,168004.38,163271.23,160936.75,156710.66
202795.88,194815.22,203795.38,212966.11,217999.22,213693.94,212299.25,213878.34,208137.22,205579.75,202401.81,195470.1,196242.56,193631.17,190243.67,192676.31,189213.05,187379.7,185022.16,183881.47,185532.8,181799.17,177918.97,179058.77,176502.27,176781.34,172512.5,168726.95,169086.94,162758.08,159954.5,159195.75
201807.38,199485.34,202331.66,211043.58,215070.28,216116.0,216796.12,214706.08,209548.8,205641.9,201074.38,198279.47,195731.39,195866.64,195111.84,191905.84,186986.66,188866.44,188763.44,185864.69,179653.6,180090.0,177997.62,178046.98,178755.47,174521.22,169361.5,165177.81,166056.66,166210.1,160510.5,154806.81
204989.81,196164.31,205615.31,214982.06,215465.1,213913.69,214562.7,210577.03,211280.0,204491.1,202411.47,196431.66,194781.75,197511.4,185994.66,188903.69,185466.16,187357.73,184601.88,185654.6,182046.75,182443.06,183046.72,174104.2,176863.8,173234.88,173118.67,170578.55,163371.33,161559.22,160670.22,159172.97
205360.78,196714.44,207490.31,212874.38,213397.08,214386.69,213457.06,214498.44,210466.23,205747.58,202850.02,198639.89,196617.25,192915.98,193526.84,188491.45,188133.9,190073.45,187132.11,185223.03,183617.47,181840.03,179192.78,178670.78,173087.03,176425.75,167814.34,170285.48,169451.66,161981.78,163579.03,157360.66
201036.84,193672.03,204065.4,213824.06,214554.6,216272.36,215604.94,215756.19,210843.97,207095.17,202255.3,198122.06,195293.03,196872.34,191352.31,189343.52,189392.88,187399.47,189565.56,185911.05,180830.95,180498.62,177877.9,179079.97,175966.66,168876.28,173144.62,166534.62,166824.53,163312.0,159237.9,160303.88
203179.38,198786.39,206390.16,213137.25,217819.64,217194.8,213789.72,214579.94,211457.33,202551.06,198968.56,199613.45,195818.02,193371.08,190441.9,192805.47,191321.7,185830.17,186654.44,189474.75,180787.81,185098.67,179550.58,180494.06,174867.38,172910.08,170340.72,167823.75,168094.78,166246.4,157601.64,156233.89
203818.5,200164.4,203355.6,215294.34,216331.53,215665.31,217118.53,215889.34,212499.62,207940.5,203815.84,196774.19,198958.58,198010.08,191412.2,191969.94,188573.66,186983.52,183796.4,186825.4,185190.84,182261.22,180567.23,179219.6,176371.22,176359.25,170514.34,173168.5,164895.56,163124.03,159391.94,158921.81
200918.56,197867.81,208155.25,214513.16,213272.44,216778.78,213061.75,214223.62,211731.6,203717.5,202292.78,199029.56,192988.78,197144.33,192840.61,190729.34,190211.42,185460.72,187649.16,182097.25,181860.25,179548.72,177135.38,176726.7,172014.7,177470.75,169091.52,168819.72,166479.5,166056.19,161627.4,158353.77
205410.03,197237.44,205227.97,213470.8,216195.34,215953.78,215072.28,216245.61,210494.19,207090.69,204701.23,197364.14,194681.38,200556.53,191216.58,191445.55,187899.53,188176.75,184861.0,184021.27,180931.6,182756.84,177043.06,178176.25,177329.84,174400.6,169068.31,167499.81,167091.8,167433.92,159917.34,158835.05
202269.62,198325.78,205803.56,213131.17,219300.56,214970.31,214568.86,212238.84,212227.22,203908.19,202016.08,201660.69,192075.9,197066.53,193082.73,187302.75,186105.38,188880.6,186973.9,183261.22,180895.6,181436.38,179717.98,177750.39,176942.11,174986.17,169844.19,169059.3,165194.19,164635.81,157875.11,160462.7
207008.12,199832.06,206023.45,217384.16,213315.52,216026.17,219482.7,212665.56,208744.19,204051.3,203437.81,199307.78,195938.52,194143.31,192214.0,192060.75,186909.28,185280.66,189333.66,182715.83,184970.1,183059.81,178447.17,177190.75,174195.83,173994.75,170011.22,172335.56,164607.88,161334.06,160735.45,158571.66
204858.25,197978.6,204620.27,211309.38,217489.94,214437.42,214373.44,210754.16,210222.6,204241.75,201301.69,195127.92,193751.8,193014.16,189830.72,190650.14,188776.25,187339.31,191533.9,186671.66,181846.22,179881.19,182048.69,180742.4,172382.27,171640.66,167844.66,166340.78,165767.75,165206.23,161765.9,159366.64
206864.6,197926.4,205277.33,213598.33,213347.69,215912.28,214559.0,211645.86,210846.34,204673.97,200452.42,195497.31,194831.31,193532.66,189458.86,191751.95,190475.44,186642.84,183874.45,187657.47,181152.16,181323.64,178686.64,177790.38,174820.19,172282.08,170199.72,169687.28,163587.9,164015.36,159413.4,157491.78
203750.31,196069.44,208013.1,213428.83,217062.62,216934.56,216377.75,217742.1,211002.81,206078.77,200683.98,201562.97,196229.19,198348.97,192627.0,191694.42,190344.78,184593.34,186984.06,185681.72,181155.25,181582.2,178737.34,176571.42,175419.53,177164.11,171628.81,168712.9,163673.0,166777.88,159807.27,158903.38
203921.28,194265.55,207801.67,214335.72,217952.78,213286.12,214134.98,213144.1,211700.81,205183.22,202690.64,198609.9,192986.88,194096.69,193458.47,191481.81,187415.4,188997.73,187105.12,185905.38,183953.97,183645.84,176164.53,178436.9,175644.73,175008.69,167924.97,167009.47,167236.77,166313.25,160634.81,158859.27
203882.34,197951.06,204696.66,212590.81,212588.69,217372.4,216210.23,214729.06,212188.72,206771.31,203070.73,199044.73,196260.89,198449.66,193063.66,193183.19,190007.8,185625.55,184459.56,187423.55,182388.84,179725.48,178924.75,176706.69,175140.84,174657.16,169546.27,169824.14,164877.92,168503.66,161601.73,159463.0
207064.78,198786.53,203610.9,214922.12,215912.81,214320.7,211391.0,213897.88,208277.72,207716.25,200946.4,199740.2,194693.7,194360.61,193928.19,192550.19,189454.22,184899.98,186887.62,187073.39,184332.47,178145.4,176920.97,180761.14,179445.1,173171.75,166329.11,169640.88,165508.02,160092.34,161007.56,163892.2
204217.47,196732.48,204319.0,214332.8,216975.78,214055.28,215741.75,210607.83,211371.44,204345.16,203205.97,201590.02,198243.89,194173.2,191245.4,190421.89,190685.88,188227.69,188405.23,181958.4,182639.44,181326.19,181222.97,180074.47,175180.88,176646.9,171002.97,168051.02,167802.31,163812.36,160977.84,157988.1
199804.9,200508.92,202577.47,211373.22,218475.1,215992.73,214590.27,211182.22,211348.6,204138.0,204922.31,199229.84,195654.62,193074.25,194115.12,189944.38,188108.1,188819.72,189477.61,187696.08,182511.25,183542.19,178722.14,178870.78,178486.62,171939.88,170750.4,169308.66,165544.23,164544.84,161206.78,154833.61
203078.56,201846.6,202842.78,213721.88,215721.92,212046.1,217664.75,211782.16,212050.97,202847.16,202429.33,197358.64,193534.16,194861.88,190871.28,190373.25,189142.1,183898.34,186167.53,188229.73,183422.16,179274.03,180653.81,176808.56,174397.5,172819.03,169479.81,170998.97,166863.44,171009.34,158317.5,160370.44
202545.1,198508.56,206211.97,212437.38,213830.48,217501.83,216099.28,211922.03,211475.31,207054.44,206221.34,196530.0,195901.22,194553.22,194300.69,191803.22,187926.88,190395.53,183693.3,183768.84,181291.34,181849.88,176823.4,177477.22,178846.34,175803.45,172932.02,171034.94,169110.0,162695.83,163354.3,157043.06
202739.81,199117.77,206382.6,209956.66,215093.33,212743.38,217559.34,210707.9,208869.42,205879.47,203921.78,194559.25,193763.66,194351.1,193154.78,193781.9,188756.34,189036.9,186167.23,184037.22,187004.72,184277.66,178529.78,176267.08,178247.44,174170.75,167803.84,170171.64,166520.06,164700.72,161008.06,159377.16
203893.8,197138.81,203472.94,216187.53,211458.34,212795.84,213680.7,210352.1,211277.78,208359.45,203058.84,200238.48,196751.94,196819.95,192685.88,192035.52,191452.53,188722.16,187487.61,182906.06,182543.98,182814.64,176796.47,178655.3,178048.28,175093.22,171450.44,171085.72,168126.5,167425.81,160187.02,161565.16
201100.08,198317.34,206251.78,214442.0,216257.64,216166.03,213135.66,211892.19,211039.06,204568.31,202253.8,198572.19,191604.66,197380.92,191837.19,190817.67,186819.94,186335.78,190426.66,186037.48,184075.47,183951.56,178180.44,179209.94,177236.97,173216.03,172031.44,169339.7,164854.78,164838.39,160768.95,161110.97
204734.69,196437.53,202590.53,212920.03,215529.62,213424.92,214663.64,215453.8,209472.14,205646.05,206037.44,195055.66,197003.28,194602.19,193746.5,188929.75,190903.6,182442.1,186491.84,186216.39,181777.06,182039.64,181370.34,177867.75,178360.39,169783.34,170969.08,168457.17,171237.69,164292.45,159748.7,159971.72
202758.1,198396.84,206586.52,215050.27,216602.56,214380.53,213601.62,214766.56,209449.66,203666.8,201179.75,200087.3,196777.14,195557.58,192681.69,194603.39,189737.03,184262.56,190781.66,187607.31,180536.81,179912.7,178396.38,180621.77,173282.19,174050.97,167571.6,171103.48,165975.31,162278.06,160144.44,158737.97
202743.34,196087.47,206654.98,210995.03,215340.78,214728.94,216377.12,212683.58,209391.67,206884.69,201274.94,194812.0,197368.98,195489.27,191897.12,191395.69,190671.4,186186.72,186046.34,187023.75,182410.44,183167.44,177195.47,175644.61,176938.53,175620.0,170971.6,170600.19,164364.19,163364.1,159565.86,158321.28
202183.66,201017.66,204736.83,212899.6,217230.03,215868.06,214949.22,213851.06,213233.75,206274.25,204189.72,199829.72,194485.02,195252.5,192568.75,192021.88,190438.06,185475.88,184515.97,183349.62,181936.38,181227.53,179452.6,178625.52,177810.58,175675.88,172063.38,169430.38,165639.88,162943.2,159610.31,159992.42
204537.6,199247.38,208148.03,215732.84,216295.36,213342.81,215309.31,216807.84,209297.78,210437.94,201530.94,197092.19,193870.31,193749.69,190769.69,192173.81,190613.28,185614.62,181922.75,185825.38,181474.16,180458.9,175617.38,180080.53,176065.89,172197.6,170935.58,168928.36,165773.16,164113.05,160258.78,156822.98
201405.62,198785.1,204689.53,214950.56,213941.72,217394.78,216061.56,209751.92,207336.28,204834.23,200280.89,196631.38,198464.05,195612.08,190685.28,190749.9,187935.16,186769.69,189228.64,185807.6,183135.6,179646.53,180281.44,180317.53,173837.28,170639.4,167900.45,165115.36,165982.94,169079.34,159117.11,157567.72
204538.31,196315.1,206074.9,215600.52,217645.31,216419.69,216213.88,208783.88,211263.55,203587.0,202188.58,198387.47,193637.44,191984.45,190094.42,188859.25,186862.94,184710.28,182960.22,183843.08,184285.25,182913.97,180233.28,176239.72,178809.97,173978.16,170159.34,170045.44,165217.72,166397.6,161169.88,158019.5
205736.97,196007.69,204413.44,210169.44,215784.1,217666.72,210233.6,211387.81,209297.27,205557.78,205535.31,199471.78,196422.58,197138.88,194638.75,191956.25,194799.6,185522.62,184895.81,184657.14,184880.39,178685.42,178286.62,178995.02,177557.62,173348.0,167220.81,167945.72,166086.05,160652.78,160549.16,158879.03
201671.78,198483.88,204488.78,216253.9,213855.72,216606.52,215194.69,212297.69,212415.23,208857.9,200166.12,195863.88,196324.6,197459.88,190463.9,191138.38,187906.56,186100.88,188388.8,184928.27,182663.78,185852.61,179901.66,174477.94,178082.56,171799.81,169049.06,168834.16,166776.58,165575.38,161060.06,157787.11
205475.19,197893.03,205764.34,213968.2,218165.34,219883.98,218527.67,214772.84,209564.28,205462.31,206755.47,199648.81,193916.12,195248.64,193026.64,192963.53,193012.28,185508.33,189850.06,184604.78,181940.38,178312.31,178635.11,179359.12,173868.4,170756.66,171767.4,166657.6,166984.58,165030.78,160448.77,156380.97
202147.5,196193.94,203871.84,213993.52,217398.81,214003.84,215730.72,214933.22,209197.4,206026.34,201931.5,196527.6,192438.73,194309.2,194108.22,192480.34,184984.75,184118.81,184918.3,186388.17,187428.9,178461.33,183266.17,180878.36,178919.44,173159.64,171119.34,170227.38,165662.83,160500.4,163283.52,163153.05
207154.55,198654.62,206382.0,213629.66,216759.03,216844.05,215279.69,213807.12,211565.06,204315.66,203205.12,198501.72,195055.45,193866.38,193110.38,194980.52,187259.44,186621.69,186011.28,183929.5,183981.84,180110.12,178235.31,179076.31,176034.44,176178.86,169590.84,171478.81,168889.34,164313.86,162236.6,160980.47
204571.88,197668.62,205578.38,213104.86,213784.12,212602.7,216371.61,212130.38,206538.22,205003.7,202429.88,198850.12,196771.16,196105.78,194987.16,192816.9,191016.2,191260.47,185309.72,184892.5,185084.03,178355.9,178803.31,175449.47,178926.38,173430.1,171921.38,171121.78,164360.66,163873.44,160964.3,158485.5
204364.7,197974.88,203808.0,212908.97,214264.16,218329.36,215657.5,211025.5,208701.5,207862.0,199051.77,196844.56,197144.27,194382.27,191417.25,192614.78,188692.3,187348.6,190287.31,186444.97,182475.02,181821.94,178147.97,176367.56,176621.94,171892.47,176649.33,168861.02,164175.1,164768.78,158572.98,159353.62
202225.36,196695.6,204419.03,211885.28,213978.42,217023.4,215908.25,212329.9,210550.31,207187.56,201543.5,198049.53,196360.78,193668.97,191483.23,191878.94,188363.19,185292.48,189541.61,186224.36,182799.1,181476.22,177587.03,178498.9,178297.55,172216.4,171444.1,166758.34,169234.08,164141.69,161309.69,156365.66
203470.28,193309.5,202799.44,212118.6,210440.22,215563.14,215521.25,212225.06,209263.81,202988.16,199563.92,196120.92,193761.67,194096.75,192240.34,193741.12,186783.97,184463.6,183700.34,182980.34,183678.23,179806.98,177868.62,181745.66,177268.84,170663.25,166265.19,171140.36,166655.28,166346.75,166007.97,159098.9
200446.75,199833.88,207156.98,215761.88,216490.31,216836.5,216703.92,211291.66,205217.27,206337.6,203902.1,195237.38,197604.2,198547.44,195380.19,190211.38,188757.94,185319.19,182634.31,185972.78,180247.3,178707.16,179421.03,172879.92,175998.69,172971.3,172306.42,170288.83,166074.81,159554.23,164810.38,156687.94
202727.11,194158.5,202019.6,212378.6,215825.05,218164.03,217683.88,212585.84,210499.84,204414.4,203958.97,200469.03,195434.6,192471.36,193220.48,190226.62,190812.5,188757.17,183064.78,189393.31,184162.28,180297.31,180522.28,179636.48,176683.95,172999.94,171290.88,169442.81,165659.94,166281.08,163262.66,159071.81
202978.84,198402.45,203705.34,213986.6,219252.94,216187.44,218689.73,212506.55,209445.62,206259.28,202781.19,197840.06,197521.06,191593.97,192279.47,190153.48,189873.03,184394.84,183821.81,185637.34,182673.4,178621.4,177892.9,175692.34,177792.4,172344.39,167994.6,165712.78,169038.19,163539.1,162116.1,159964.1
205861.25,196484.92,206232.84,213429.81,214771.03,214534.48,216856.62,212875.5,211711.1,208606.61,201233.69,196143.42,193728.61,194754.94,193680.39,193478.12,187353.72,189295.62,185698.77,188642.33,179317.34,181143.31,177212.03,180714.66,175579.53,170446.84,175360.69,171237.28,165884.88,168416.44,164753.47,155525.84
202318.34,200429.34,203997.06,216088.6,216279.22,214714.84,214772.92,214416.75,210049.62,203311.42,203667.88,201409.53,195886.84,197691.12,192069.5,188820.55,190166.88,185488.34,190090.06,184441.0,182400.78,181160.0,175526.38,174893.14,177040.03,176316.4,169904.34,168445.72,162580.81,163647.34,161970.4,156770.47
205587.5,199203.38,206180.64,214192.38,219931.62,218578.42,216548.98,214930.5,209113.17,204216.64,199871.2,199797.94,193604.02,197554.77,192453.88,191998.97,189984.67,188915.17,183714.67,185882.58,186996.31,181417.4,178545.92,177466.9,178136.06,171267.4,172051.36,166672.31,163524.31,162887.34,160934.81,157854.78
201216.97,197058.4,205962.16,214292.03,213930.3,212998.0,212971.69,212270.75,208865.52,206270.78,203819.88,198089.22,195473.31,197557.81,188961.23,187909.84,191115.83,189037.61,186288.31,184289.23,182654.94,182541.39,177864.81,179259.62,176369.34,174369.88,169788.34,168269.44,164479.03,164402.03,162032.89,159705.11
203386.56,198638.75,204221.81,215241.36,216511.06,215633.66,213718.89,211966.47,209293.8,203375.42,205516.89,199750.62,196639.81,194065.06,190759.12,192882.72,191059.05,185207.69,186261.44,186604.45,180196.97,179999.44,178076.0,178666.78,177702.39,175233.12,169846.97,172427.84,164460.5,165136.64,162095.11,158531.42
205888.62,194059.08,204441.11,212668.78,215538.34,221529.47,216272.19,214153.73,211497.53,207802.33,199893.5,200358.6,194102.42,192782.7,192542.1,191804.38,187395.56,185983.03,185013.25,183484.16,182307.8,177195.0,178352.38,179000.12,173678.25,177192.05,169334.86,170847.97,163167.88,163086.95,162543.44,159455.97
204230.78,200400.84,204662.5,214170.25,214502.05,216022.72,215764.47,212496.53,210037.48,206334.28,199075.53,201415.56,197905.19,196308.75,190686.06,191586.1,188551.44,185968.19,185001.66,186659.78,179888.0,180288.53,175823.34,181700.11,176052.56,178057.03,170553.78,172685.94,164835.66,167599.78,160060.31,158821.4
