,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12430362,21394854,29267895,36455406,43161272,49487699,55517069,61295189,66855816,72234411,77443253,82497076,87401585,92168975,96812396,101343479,105749450,110049129,114243924,118321066
Trial 1,888260,12429392,21392749,29266988,36459762,43159004,49488479,55519417,61298073,66857715,72234154,77443804,82496016,87402218,92167726,96810403,101345546,105749129,110049942,114245808,118321887
Trial 2,889363,12431271,21394090,29269494,36459102,43159921,49491007,55517668,61296753,66857271,72233449,77442206,82499337,87400255,92171226,96810620,101346917,105751455,110047969,114244930,118321244
Trial 3,889695,12428034,21390228,29268044,36456476,43162013,49489907,55519715,61297189,66859275,72232345,77440060,82494961,87401679,92170053,96812227,101344663,105751769,110048361,114246958,118321597
Trial 4,888597,12430837,21392871,29267488,36456312,43159784,49489959,55519982,61297351,66857176,72232410,77441782,82495222,87401729,92169752,96814176,101344190,105750685,110047795,114243892,118320408
Trial 5,889439,12428201,21390163,29264987,36459992,43155283,49490697,55517536,61295603,66856030,72233534,77442351,82500259,87401627,92168729,96815074,101341889,105749887,110049135,114240744,118319792
Trial 6,885252,12430085,21390164,29265266,36457400,43159557,49488582,55518256,61299075,66857818,72235159,77441609,82498006,87399849,92167491,96814472,101346194,105750185,110048157,114243944,118319557
Trial 7,889562,12432204,21393660,29269889,36456859,43162945,49491113,55517159,61295601,66857386,72234200,77442669,82497539,87400190,92169365,96813690,101345177,105750172,110047059,114243438,118318639
Trial 8,887401,12427882,21391429,29269241,36455235,43160014,49487505,55516200,61295454,66854843,72233623,77443970,82496472,87403020,92168900,96811720,101347570,105751631,110047791,114246312,118320338
Trial 9,887857,12430492,21392457,29269183,36456541,43160267,49490251,55518318,61295579,66854923,72233395,77443019,82498078,87402320,92167966,96813110,101343314,105754173,110048812,114243585,118320504
Trial 10,888525,12428170,21392251,29269631,36455973,43158716,49484373,55516562,61294542,66856577,72234009,77442491,82498890,87400573,92172624,96812630,101345682,105751375,110049977,114243565,118320871
Trial 11,888213,12431080,21392655,29269497,36457989,43160573,49489486,55517187,61297529,66857516,72235718,77441500,82496050,87401273,92168876,96814748,101342694,105750615,110048420,114246131,118322349
Trial 12,886462,12430926,21392284,29267952,36460730,43162682,49488991,55518134,61294026,66855449,72234961,77441928,82497310,87402559,92167128,96814497,101346255,105752086,110048915,114243928,118321203
Trial 13,889979,12430932,21390879,29270389,36456517,43161146,49489067,55517380,61295341,66859346,72236164,77441963,82496352,87403365,92170061,96812525,101344625,105751407,110049077,114244563,118320334
Trial 14,892274,12433491,21390966,29269665,36457884,43159353,49487931,55520155,61295556,66854614,72234928,77442939,82495126,87400816,92171702,96814512,101346973,105747878,110051727,114243901,118319558
Trial 15,886094,12428717,21392220,29271263,36458052,43155531,49488916,55517300,61294287,66857315,72233250,77440576,82497660,87402822,92166818,96813388,101346185,105752747,110047854,114244397,118321090
Trial 16,888461,12429157,21392362,29269201,36458224,43157207,49486987,55517372,61295392,66856878,72236108,77442711,82498144,87399780,92167703,96814070,101345274,105751599,110049114,114240704,118321341
Trial 17,888263,12429677,21392897,29267611,36460018,43159276,49490039,55517968,61297408,66857641,72233982,77443537,82498105,87400981,92170089,96814274,101343851,105748583,110049970,114242939,118323760
Overall,11876552,20919801,28843017,36064147,42789912,49137956,55182464,60973790,66545603,71933081,77150326,82214125,87126373,91901346,96551875,101090924,105503003,109806825,114008837,118091698,122068247
