,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,780993,9212926,15293613,20509681,25215011,29574860,33672217,37569798,41297657,44883553,48345345,51698544,54944783,58088469,61135691,64101134,66981619,69771439,72473705,75106222,77652040
Trial 1,781574,9212583,15291586,20508455,25218671,29573021,33673156,37572628,41300646,44885028,48345453,51698889,54943421,58090747,61134651,64099719,66983256,69770881,72474673,75107551,77652720
Trial 2,782903,9213488,15292724,20510069,25218508,29572854,33674979,37570465,41299438,44885000,48344770,51696590,54945970,58088487,61137781,64099196,66983866,69772603,72473703,75106792,77651212
Trial 3,783509,9211106,15289748,20510051,25216768,29575978,33673366,37571520,41299917,44886633,48343957,51695728,54944307,58088552,61137711,64101143,66981878,69771756,72473249,75108093,77651472
Trial 4,782114,9214464,15291274,20509764,25216473,29572469,33673307,37572068,41299247,44885071,48343596,51697348,54944526,58087885,61136340,64102522,66981814,69771851,72473489,75105660,77650924
Trial 5,783195,9212175,15289698,20506413,25218089,29569518,33674602,37570577,41298978,44884718,48344350,51697788,54947151,58088565,61135751,64102557,66981016,69771623,72473679,75103525,77652018
Trial 6,778609,9213799,15289827,20506521,25218025,29572650,33672026,37571133,41300438,44886614,48346646,51697195,54945615,58088111,61134436,64100724,66984195,69771488,72472981,75105304,77650899
Trial 7,783661,9215404,15291765,20510284,25216105,29575550,33674750,37570471,41299965,44885760,48346642,51698143,54944498,58088123,61135671,64101350,66982280,69772207,72473790,75105797,77649298
Trial 8,780760,9212455,15290861,20510182,25215961,29572294,33672301,37569182,41298485,44883330,48345064,51698630,54944553,58090487,61135666,64100180,66985019,69772378,72473438,75107920,77650552
Trial 9,780652,9213924,15291359,20509053,25216131,29573770,33674959,37571888,41298909,44883512,48344859,51698119,54945873,58089271,61135587,64102288,66981983,69773591,72473495,75104846,77650949
Trial 10,782634,9211994,15291815,20510142,25216198,29572578,33669231,37570402,41296517,44884174,48345556,51698226,54946357,58088904,61138489,64100277,66983913,69772982,72474285,75105943,77650581
Trial 11,782227,9213860,15290752,20509693,25217925,29574697,33672994,37570505,41299994,44884655,48347603,51697709,54944338,58088149,61135834,64104073,66980166,69771478,72474155,75107306,77651654
Trial 12,779567,9214001,15291819,20509048,25219656,29576295,33672423,37571798,41298183,44884993,48346093,51697344,54943995,58088771,61134633,64102308,66983282,69772985,72473544,75105676,77651463
Trial 13,783858,9214121,15290275,20510496,25215940,29574676,33673345,37570382,41297582,44886347,48346480,51696486,54944416,58090254,61136567,64101304,66981481,69772350,72474748,75106490,77650270
Trial 14,785947,9218169,15290076,20510634,25218315,29573575,33672279,37572142,41298476,44882566,48345940,51698667,54944062,58088307,61138327,64102068,66983644,69770181,72474821,75105644,77651002
Trial 15,779919,9212245,15291710,20511925,25216495,29570894,33673127,37570139,41297515,44885112,48345398,51696488,54946125,58089299,61133617,64101648,66984102,69772231,72473623,75105958,77650711
Trial 16,783110,9213348,15291702,20509017,25218091,29571201,33672749,37571404,41298091,44884976,48347419,51697729,54945324,58087552,61135647,64101783,66983275,69772189,72474706,75103714,77650935
Trial 17,781802,9213226,15291561,20508566,25218405,29573425,33674289,37571429,41300051,44886241,48345549,51697989,54945691,58088786,61136904,64102584,66982265,69769626,72475367,75105079,77653217
Overall,8829404,14974382,20228424,24959839,29332504,33445154,37353578,41090183,44683835,48151110,51509289,54762881,57912320,60964375,63934700,66821227,69615517,72321581,74958620,77508342,79979521
