,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,461665,3953267,6167307,7998279,9609947,11077053,12438290,13715146,14923404,16071904,17161888,18204690,19202882,20160323,21078238,21965802,22823592,23648501,24443927,25217410,25965199
Trial 1,462269,3953441,6166892,7996804,9611191,11076059,12437854,13715753,14924142,16070895,17162134,18204869,19202165,20161455,21078208,21964998,22824640,23648438,24443771,25217390,25965113
Trial 2,463742,3954227,6166334,7998767,9610756,11076288,12440183,13716100,14924432,16071986,17161365,18203851,19203336,20159980,21079691,21965322,22824862,23648753,24444015,25217386,25964546
Trial 3,464109,3953611,6165284,7997471,9610577,11078397,12438400,13715691,14924290,16071841,17160804,18203956,19202837,20160140,21079327,21965984,22824159,23648382,24443344,25217848,25964752
Trial 4,464090,3953171,6165091,7997806,9610632,11076695,12438709,13715784,14923881,16071431,17161086,18204216,19202321,20160431,21078362,21965798,22823787,23648151,24443209,25216822,25965018
Trial 5,464635,3952787,6165634,7996541,9610972,11075267,12439257,13715828,14924366,16072208,17161244,18204479,19203995,20160498,21078756,21965619,22823604,23647987,24443717,25216371,25964544
Trial 6,460889,3954918,6165723,7995764,9610868,11077117,12437334,13715349,14924989,16072223,17162480,18204312,19203487,20159662,21078480,21965576,22823876,23648080,24443465,25216864,25964907
Trial 7,464581,3955292,6166206,7997167,9609377,11077400,12439555,13715860,14924728,16071732,17161805,18204737,19202468,20161048,21077469,21965391,22823748,23648785,24443981,25216929,25964144
Trial 8,462328,3953426,6166021,7998036,9610350,11075658,12438387,13715428,14924002,16071081,17161618,18205052,19202419,20161101,21079176,21965819,22824669,23648537,24443771,25217834,25964310
Trial 9,461481,3953395,6166000,7997265,9611015,11077082,12439378,13716233,14923695,16071197,17161088,18204504,19202814,20160072,21078262,21966652,22824642,23648828,24443358,25216747,25964765
Trial 10,463522,3953330,6166512,7998323,9610121,11076486,12437112,13714668,14922905,16070598,17162010,18205144,19203361,20161288,21079722,21965356,22824499,23648712,24443879,25216969,25964945
Trial 11,463183,3954003,6165748,7997766,9611037,11077379,12438191,13714992,14924229,16071571,17162327,18204665,19202282,20159923,21078844,21967367,22823573,23648312,24443838,25217237,25964404
Trial 12,462649,3954042,6165690,7996235,9611784,11078122,12438540,13716155,14923646,16072359,17161870,18204451,19202367,20160363,21078173,21966053,22824552,23648910,24443652,25216816,25964503
Trial 13,464446,3954357,6164882,7997312,9609728,11077236,12439011,13715716,14923346,16071750,17161985,18204395,19202214,20160826,21079238,21965759,22823919,23648707,24443856,25217235,25964490
Trial 14,465607,3955641,6165476,7998590,9611269,11076846,12438136,13716204,14923679,16071159,17162405,18204759,19202584,20160052,21079672,21966137,22824138,23647622,24444191,25217156,25964703
Trial 15,461653,3953921,6166449,7998297,9611491,11076180,12438720,13715274,14923780,16072055,17161887,18204460,19203021,20160838,21077422,21966348,22824153,23648209,24443470,25217249,25963894
Trial 16,463011,3954232,6165474,7997513,9611212,11075463,12438318,13715883,14924540,16071864,17163228,18204149,19202403,20160681,21078507,21965988,22824600,23647769,24444128,25216441,25964530
Trial 17,463235,3952741,6166060,7997245,9610667,11076714,12439159,13716190,14924151,16072173,17161917,18204564,19202838,20160774,21079127,21965714,22824111,23648045,24444906,25216614,25965153
Overall,3808747,6052253,7899711,9522953,10995843,12363165,13644575,14856659,16007831,17100896,18146238,19146934,20107063,21027023,21915897,22776213,23602121,24398777,25173565,25922307,26651123
