,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,1334462,27768944,48840508,67327056,84108736,99665916,114279985,128117165,141316964,153984295,166177587,177952369,189368739,200455786,211219876,221712130,231949196,241955849,251726021,261268454,270626685
Trial 1,1334378,27767814,48841812,67323013,84107153,99662228,114277660,128114355,141319610,153980930,166185337,177955057,189364628,200457246,211219905,221713464,231953019,241955102,251726536,261270727,270624681
Trial 2,1334820,27766998,48847192,67326741,84107179,99664443,114270624,128111482,141317441,153981685,166182802,177950891,189373224,200456375,211219216,221714686,231953171,241955771,251723198,261273231,270625024
Trial 3,1332858,27767245,48840969,67322117,84109036,99660101,114277592,128116447,141315165,153986247,166184760,177948127,189367418,200453253,211223135,221709127,231953504,241956271,251723627,261269857,270624772
Trial 4,1334608,27768710,48842144,67327304,84106501,99663989,114278171,128114085,141315051,153981497,166179477,177950686,189366495,200457294,211220613,221710626,231954197,241957074,251724420,261270725,270628961
Trial 5,1333173,27769557,48840287,67322085,84106327,99661252,114276472,128111912,141313505,153987011,166181604,177951193,189366246,200458575,211215067,221710389,231955296,241953892,251724119,261275910,270622617
Trial 6,1332195,27772153,48844977,67324693,84108065,99662202,114275954,128114386,141314320,153983037,166183288,177948303,189370441,200452985,211220993,221713859,231955681,241955786,251724239,261268504,270624260
Trial 7,1334321,27766476,48844924,67325570,84107183,99663560,114275205,128116186,141314016,153984159,166180817,177952993,189368988,200456077,211216049,221712404,231954149,241960660,251725685,261269710,270626905
Trial 8,1334604,27768986,48841490,67325244,84106096,99664644,114281306,128114886,141314153,153984280,166181205,177948209,189369406,200458359,211217475,221714690,231950993,241958209,251725431,261272267,270625628
Trial 9,1333391,27768398,48844367,67328213,84109060,99661819,114277175,128113630,141312833,153982317,166181541,177956089,189374089,200459570,211218400,221712591,231949077,241957806,251723145,261273637,270625328
Trial 10,1333891,27766022,48841885,67329151,84109930,99662383,114274623,128112845,141314505,153983204,166184627,177950501,189367737,200453752,211216906,221710770,231952001,241955830,251723767,261269093,270626964
Trial 11,1334898,27769065,48840172,67320935,84105462,99659829,114278137,128112776,141316118,153981565,166177678,177950252,189370003,200457951,211214131,221713596,231951631,241958658,251724024,261272388,270625451
Trial 12,1332992,27766386,48845390,67323487,84108305,99659887,114276147,128113388,141314814,153984454,166181595,177949631,189365983,200457298,211221820,221711973,231952582,241958186,251726056,261268512,270625314
Trial 13,1336873,27770526,48846193,67326020,84109136,99661478,114279089,128113135,141315020,153983166,166182200,177947742,189369148,200458313,211222398,221713663,231953602,241960401,251726601,261272000,270628954
Trial 14,1335421,27768118,48840739,67327720,84107421,99662038,114281054,128110682,141315018,153981761,166182562,177950572,189367986,200460668,211219721,221713578,231954735,241956616,251723634,261271478,270625299
Trial 15,1333751,27768108,48844173,67324531,84108813,99664657,114281228,128115601,141311429,153979618,166182499,177953196,189368663,200454254,211215709,221713764,231951926,241956365,251724183,261269057,270628088
Trial 16,1333859,27769362,48843446,67324305,84103181,99657038,114276120,128112918,141309575,153982623,166183737,177953118,189372493,200456874,211220262,221711703,231954163,241956010,251721951,261269288,270626195
Trial 17,1331752,27772316,48843809,67327529,84105895,99658386,114276502,128117064,141311220,153983111,166184171,177952172,189368828,200455626,211220146,221713507,231956926,241957276,251728168,261271563,270625396
Trial 18,1334564,27770247,48842483,67323356,84108430,99656308,114278225,128116768,141314194,153983657,166182744,177945390,189367147,200458188,211212991,221714960,231952567,241954643,251724053,261268156,270627464
Trial 19,1334642,27769521,48847509,67330808,84109994,99664745,114278519,128115248,141312964,153978716,166184937,177948971,189370498,200458098,211216939,221712400,231953917,241958469,251722874,261270082,270625131
Trial 20,1333813,27770443,48847580,67323915,84106665,99660161,114279974,128109667,141316220,153983521,166182641,177950940,189368337,200457173,211220820,221713275,231955338,241958233,251723367,261268706,270627760
Trial 21,1334209,27768724,48843987,67327011,84107871,99664058,114280153,128112836,141315667,153987371,166183834,177950587,189371254,200458894,211222256,221717169,231955455,241953447,251727619,261266412,270624857
Trial 22,1332950,27769045,48843586,67327472,84105398,99661825,114276766,128110272,141314471,153983941,166179109,177951242,189368638,200457697,211220965,221709845,231951995,241956893,251723710,261271706,270625437
Trial 23,1335017,27768963,48846330,67323588,84109736,99663539,114283347,128114689,141315081,153982513,166180944,177948960,189369093,200456261,211220246,221712306,231953804,241956201,251723580,261273283,270622883
Trial 24,1332989,27767442,48841943,67325875,84107302,99661219,114277021,128114300,141313567,153984957,166182989,177952339,189370697,200458898,211214629,221712337,231955705,241958839,251725876,261270760,270623828
Overall,26840377,48049164,66612488,83451187,99047929,113698557,127562506,140786412,153475313,165692926,177476565,188908835,200010734,210783890,221288525,231539105,241552537,251329613,260883539,270246633,279419159
