,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12429590,21392183,29264727,36454788,43159813,49481740,55509850,61278373,66836181,72210495,77414421,82459632,87353752,92114434,96748678,101269600,105671098,109960605,114152396,118226540
Trial 1,888260,12430092,21390429,29263670,36458967,43157544,49483221,55512786,61282218,66837810,72208610,77414675,82457279,87355067,92112344,96746136,101272585,105669994,109961949,114152650,118228023
Trial 2,889363,12429894,21390986,29265839,36459077,43158566,49485765,55510701,61281229,66837909,72208374,77412365,82460883,87352903,92116376,96746102,101273236,105671775,109959535,114152376,118226926
Trial 3,889695,12427478,21387433,29265662,36455809,43160701,49483820,55513186,61282307,66840305,72207562,77410156,82457535,87354194,92115347,96747495,101269828,105672550,109960007,114154437,118226903
Trial 4,888597,12430761,21390508,29264204,36456445,43157870,49483995,55512978,61282597,66838138,72207693,77412591,82458028,87354222,92114639,96750536,101270231,105671413,109959866,114151679,118226395
Trial 5,889439,12428798,21387782,29261065,36459058,43153249,49485176,55509732,61280438,66836308,72208727,77412850,82462002,87354918,92113595,96749843,101268529,105671089,109959876,114148831,118225934
Trial 6,885252,12429981,21387523,29261824,36457629,43156825,49482032,55510966,61283027,66839285,72210849,77412250,82460535,87352658,92112395,96750710,101272343,105671175,109960148,114150748,118225330
Trial 7,889562,12432172,21389966,29265951,36456343,43160921,49484711,55509564,61280711,66837672,72208981,77412781,82459587,87352546,92113630,96748189,101271314,105671197,109959183,114151635,118224094
Trial 8,887401,12427629,21388949,29265586,36455033,43157918,49481677,55509234,61278768,66835245,72209091,77413881,82459401,87355472,92113651,96747212,101273728,105671815,109959747,114153282,118225778
Trial 9,887857,12430043,21389981,29264986,36456397,43158371,49484789,55511844,61279757,66836015,72208843,77412526,82460262,87354818,92113163,96749573,101270223,105674246,109960654,114150725,118226649
Trial 10,888525,12428710,21390805,29266611,36455591,43157161,49478891,55509308,61278954,66836734,72209783,77412385,82460292,87353763,92117552,96747271,101272206,105672170,109961914,114150805,118225718
Trial 11,888213,12430721,21389262,29265773,36457312,43159361,49483575,55510343,61281976,66837724,72211448,77411610,82458711,87354209,92113490,96751449,101268328,105671588,109960136,114153197,118227194
Trial 12,886462,12430032,21390102,29265096,36460642,43162123,49482762,55511034,61278847,66836440,72209889,77411865,82459301,87354430,92112840,96749925,101272120,105672532,109960639,114151690,118226859
Trial 13,889979,12430916,21388912,29266447,36456480,43160040,49483059,55509886,61279216,66839314,72211176,77411771,82458467,87355541,92115866,96749002,101270913,105671385,109961006,114152407,118226883
Trial 14,892274,12433865,21388611,29266175,36457109,43158715,49482401,55513220,61279071,66835191,72211195,77413141,82458456,87353561,92116877,96749635,101272907,105668613,109963513,114151311,118225870
Trial 15,886094,12428544,21389240,29268151,36457049,43154519,49483184,55510246,61279537,66837447,72208852,77411604,82459978,87354346,92111432,96749047,101274093,105673743,109959731,114151729,118226125
Trial 16,888461,12429166,21389891,29265759,36458020,43155937,49481693,55510710,61279564,66838528,72211925,77413097,82461151,87352707,92112863,96750123,101272194,105672386,109960720,114148415,118227091
Trial 17,888263,12430077,21390344,29263957,36459306,43157419,49483691,55510779,61280850,66838865,72209211,77413636,82459415,87353709,92115814,96749916,101270279,105669215,109962152,114149707,118229805
Overall,11876552,20917302,28839366,36063759,42788621,49132205,55175880,60958341,66526614,71908792,77121119,82176921,87079385,91846957,96488172,101017591,105424220,109718876,113916471,117997508,121973368
