,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12429993,21392082,29261058,36445745,43150284,49481224,55523155,61317657,66900117,72307531,77551218,82644518,87591219,92406210,97100514,101679126,106140914,110495281,114745393,118879508
Trial 1,888260,12429459,21389600,29259878,36449019,43148741,49482626,55525781,61321306,66901925,72306000,77551235,82642953,87592571,92404804,97097791,101681501,106140275,110497104,114746393,118880077
Trial 2,889363,12430280,21390093,29262064,36450008,43150128,49485204,55523445,61320567,66901487,72306553,77549596,82645842,87590270,92408590,97098508,101682297,106142366,110494510,114745812,118879802
Trial 3,889695,12427205,21386807,29261791,36446485,43151946,49484100,55525493,61321187,66904499,72305974,77547554,82642033,87591203,92407770,97099762,101680052,106142623,110494812,114748550,118880366
Trial 4,888597,12429848,21389487,29260311,36447006,43148598,49484977,55525369,61320808,66901944,72305481,77549180,82642993,87590866,92407201,97102234,101680410,106142205,110494768,114744491,118878614
Trial 5,889439,12428345,21387093,29257751,36450345,43144481,49484141,55522982,61319364,66900940,72306217,77550637,82646963,87591687,92406919,97102230,101678218,106142028,110494972,114742128,118878415
Trial 6,885252,12430350,21386276,29258963,36447889,43149227,49482648,55524531,61321817,66903692,72307933,77549060,82645259,87590173,92404460,97102027,101681924,106141200,110494624,114743887,118877207
Trial 7,889562,12431967,21389308,29262198,36447443,43150974,49484585,55522659,61318803,66902347,72307204,77549013,82643689,87589789,92406104,97100715,101680252,106141622,110493763,114744903,118876210
Trial 8,887401,12427643,21389107,29261799,36446254,43149602,49481546,55521834,61317516,66899552,72306921,77551474,82643921,87593262,92406593,97098794,101683198,106143212,110493712,114746926,118877329
Trial 9,887857,12430405,21388934,29261771,36445974,43149589,49483948,55524919,61318994,66899682,72305916,77550402,82645245,87592384,92405612,97101170,101679599,106145335,110494299,114744717,118879305
Trial 10,888525,12428895,21389233,29262707,36445920,43148575,49478626,55522223,61317311,66901038,72306895,77550369,82645758,87591062,92408878,97099563,101681393,106143154,110496401,114744954,118878309
Trial 11,888213,12430763,21388890,29261957,36448379,43150046,49483876,55523112,61320586,66902049,72309778,77549248,82644143,87591904,92406003,97102981,101677367,106142533,110495013,114746825,118880322
Trial 12,886462,12430668,21388697,29261646,36451453,43153292,49482408,55524028,61318188,66901042,72307675,77549415,82644710,87592217,92403856,97102186,101682059,106143894,110495365,114744666,118879707
Trial 13,889979,12430207,21388164,29263304,36446520,43150823,49483334,55522832,61318311,66904337,72308926,77549908,82643401,87593077,92408392,97100266,101679417,106143242,110495559,114746475,118878883
Trial 14,892274,12433807,21388519,29262895,36448033,43150000,49482178,55525439,61318614,66899257,72308626,77550603,82642763,87591434,92409530,97102214,101681668,106139996,110498532,114744389,118877698
Trial 15,886094,12428063,21388613,29264705,36447492,43146212,49483148,55522328,61317744,66901978,72306067,77548833,82645324,87591730,92404460,97101667,101683307,106144553,110495130,114745002,118877817
Trial 16,888461,12429172,21388331,29261904,36448808,43146910,49481551,55523729,61318660,66902045,72309405,77550538,82645321,87590062,92405222,97101728,101681540,106142129,110495165,114741674,118879126
Trial 17,888263,12429777,21388407,29259314,36449442,43148815,49484100,55523166,61320962,66902764,72307056,77551000,82645314,87591081,92407306,97101647,101680017,106139673,110497114,114743496,118882309
Overall,11876552,20916664,28836046,36054430,42779362,49131353,55187217,60995804,66588874,72004070,77255593,82358880,87313543,92135731,96836690,101423415,105891183,110250080,114506471,118646718,122676096
