Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
199315.58,182779.97,185865.34,187359.64,183573.72,181365.78,173174.19,177199.23,176151.16,178439.12,175937.6,177915.33,178694.42,180411.97,182555.84,179457.69,174319.38,179886.23,181879.5,180197.42,182922.0,178917.95
198062.38,182901.81,187200.75,185453.38,180968.67,177651.31,174845.38,176042.84,178931.23,175771.95,175890.75,177729.52,179230.34,177995.44,181292.77,178733.3,181269.1,182948.72,181850.72,182707.31,182507.38,178525.62
197543.67,185134.72,185285.8,185782.48,184376.16,180674.94,178590.4,177999.81,174378.69,178100.11,176763.23,175128.75,181740.47,179120.19,178672.5,182676.98,179766.53,185222.81,178477.14,184359.16,182445.12,178437.12
197028.25,183379.02,186154.66,184118.1,180259.95,177342.53,176541.66,175477.5,178304.2,177764.16,178708.97,174923.78,178952.12,177663.11,179314.95,182181.34,178246.66,182165.22,178044.06,180241.56,183561.64,178422.72
199223.8,184876.02,182881.66,186407.7,184117.66,179041.28,176327.38,179558.67,178402.25,174558.0,177180.75,176496.44,178675.45,179329.34,180641.56,182337.6,178311.58,183405.77,180070.23,182401.12,184847.62,177739.4
196062.88,183259.47,187582.31,185320.48,182113.33,180527.19,176140.97,179470.47,177297.56,175037.16,175775.14,178072.16,175878.69,179110.14,181948.75,182198.25,177175.0,182009.84,180909.97,185452.9,183868.22,178839.84
196467.02,183747.19,185530.7,184680.4,178984.48,178245.75,175827.61,177381.34,178485.38,176610.6,177404.89,176410.34,179320.19,179065.16,177516.4,180454.97,180223.28,182093.42,182503.22,181246.75,182470.38,181725.88
196934.34,183493.2,181357.8,182672.06,178484.64,181569.31,177487.88,176334.5,173818.5,177447.66,178561.98,175562.55,179413.28,180319.06,176457.78,180411.05,183074.78,181107.33,182101.06,180745.86,186314.47,182301.88
199559.84,181875.25,184472.89,186233.94,181990.38,182578.22,175777.03,172296.31,173408.22,176811.75,178719.34,176194.88,182504.98,178570.78,177814.22,178484.06,177136.62,183153.0,180091.69,179809.69,182915.89,179174.16
198692.75,184149.7,184893.16,184985.75,182318.6,180284.39,174953.25,177719.03,176098.86,177350.97,177812.56,175422.77,178798.6,178506.78,180341.45,181778.25,182801.97,184160.88,184769.23,179987.73,182593.28,178199.0
195626.38,181534.73,187858.75,185964.19,181503.06,177671.34,179441.22,176985.19,177892.1,178505.08,180726.53,177869.75,181844.28,179814.47,182278.8,182224.12,182344.47,182961.4,178514.03,179434.61,179642.5,180452.58
198292.39,183462.84,183737.56,185990.56,182601.12,179601.47,175231.5,175695.95,177462.1,178506.28,177614.5,177770.03,179238.97,179055.9,178597.75,180689.28,180929.4,182495.47,176324.81,182805.6,181107.84,179537.81
198693.14,185414.73,183693.83,183838.52,183669.22,177426.84,177827.5,177216.0,175643.12,173733.97,175340.19,173180.83,179404.48,180035.94,179602.48,180645.19,178237.58,183248.6,181509.9,181146.78,186877.44,180290.1
