,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12429682,21390079,29253986,36428834,43125639,49443689,55469961,61257359,66840402,72253419,77511355,82631603,87615349,92481791,97243461,101903262,106459295,110917168,115285210,119546888
Trial 1,888260,12429517,21388327,29252927,36432782,43123490,49445513,55473356,61260443,66841722,72251971,77511526,82629454,87616531,92480285,97241266,101905044,106458571,110918591,115286355,119547741
Trial 2,889363,12429597,21390776,29255399,36433301,43125036,49447532,55470848,61259050,66843130,72252297,77509351,82632563,87614332,92484345,97241555,101907089,106460508,110916403,115285043,119547332
Trial 3,889695,12427415,21386157,29255020,36430379,43126576,49445581,55472577,61261198,66844245,72251439,77507377,82628677,87615053,92482947,97242930,101904459,106460789,110916262,115287420,119548016
Trial 4,888597,12430519,21388823,29254359,36430575,43124158,49446552,55472651,61260087,66843027,72250433,77509003,82629513,87614467,92482811,97245622,101903726,106460629,110915494,115285375,119546552
Trial 5,889439,12428971,21387103,29250573,36433205,43120237,49447893,55471502,61258742,66841379,72251133,77510309,82633929,87616213,92481572,97245814,101901864,106459908,110916464,115282374,119546486
Trial 6,885252,12430188,21386745,29251832,36430655,43123648,49445179,55470770,61261314,66843389,72253912,77509393,82632170,87614457,92480150,97245710,101905757,106459480,110916822,115284121,119545882
Trial 7,889562,12431435,21389080,29255716,36431013,43126749,49447433,55469776,61260110,66842675,72252466,77508469,82630581,87613664,92482346,97243574,101904452,106459599,110915362,115284454,119543998
Trial 8,887401,12428176,21387508,29255234,36429663,43124200,49444514,55469725,61257546,66839464,72252542,77510762,82630898,87616846,92481855,97242214,101907043,106460769,110916214,115286921,119545392
Trial 9,887857,12430399,21388935,29255181,36429858,43124511,49446641,55472228,61259490,66840372,72251058,77510164,82632242,87616724,92480679,97244377,101903264,106463429,110916703,115284189,119546264
Trial 10,888525,12428213,21389038,29255920,36429614,43123987,49440598,55469814,61257887,66841878,72252899,77509407,82632877,87614924,92484275,97243178,101905476,106460872,110918293,115284737,119547073
Trial 11,888213,12430805,21388185,29255741,36431496,43125621,49445884,55471239,61259872,66842435,72254110,77508866,82629817,87615923,92480990,97246674,101901742,106459604,110917206,115286820,119548233
Trial 12,886462,12429942,21388101,29254521,36434691,43127731,49445627,55471050,61257126,66841113,72253005,77508566,82630994,87616011,92479961,97245423,101905168,106462229,110917569,115285379,119547408
Trial 13,889979,12430820,21387718,29256215,36430743,43125952,49446718,55470210,61258483,66844627,72253517,77508837,82630208,87617298,92482729,97243682,101903590,106461143,110917800,115285736,119547131
Trial 14,892274,12434118,21388029,29255422,36431331,43124111,49444553,55473055,61258292,66839401,72254085,77510574,82629105,87614674,92485471,97245247,101905843,106457319,110919253,115285003,119545736
Trial 15,886094,12427475,21387727,29257344,36431034,43120505,49445772,55470804,61258001,66841937,72251635,77508234,82632311,87615606,92479745,97243825,101906287,106462275,110916286,115285356,119546262
Trial 16,888461,12428800,21387945,29255074,36431978,43122210,49444129,55471435,61258061,66842716,72254587,77510668,82632003,87613570,92480499,97245466,101905634,106460323,110917758,115282091,119547088
Trial 17,888263,12429700,21388676,29253639,36433244,43123981,49446648,55471679,61260975,66843536,72252556,77510927,82632116,87614798,92482744,97245113,101903972,106458322,110917997,115283425,119550099
Overall,11876552,20916517,28830027,36038471,42755194,49095004,55135311,60935663,66529112,71948870,77213925,82343643,87334702,92207423,96975519,101641963,106203318,110665092,115039121,119306339,123478899
