,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12429526,21386989,29247662,36425128,43116786,49432572,55460676,61243050,66821518,72228637,77479669,82591112,87565416,92422710,97172420,101823777,106369148,110818661,115181191,119441608
Trial 1,888260,12429826,21385002,29246810,36428710,43114360,49434521,55463096,61246053,66822738,72227208,77480316,82590082,87566674,92421140,97169947,101826217,106368267,110819453,115182089,119442727
Trial 2,889363,12429456,21385882,29249168,36428823,43116045,49435798,55460570,61245634,66822399,72227017,77478537,82592572,87564572,92425145,97170427,101827007,106370079,110817487,115181461,119441804
Trial 3,889695,12427159,21382683,29248307,36425534,43117846,49434355,55463581,61245458,66823843,72226881,77476543,82589553,87565929,92424010,97170701,101824037,106370434,110817878,115182633,119442090
Trial 4,888597,12430469,21384533,29247600,36425697,43114999,49434334,55463456,61245243,66822188,72225996,77478685,82589397,87565495,92423759,97173754,101824396,106369596,110817043,115180162,119441042
Trial 5,889439,12428071,21382288,29244870,36429112,43111075,49435921,55460406,61243340,66821347,72227215,77479241,82592820,87565907,92422523,97173396,101821923,106368582,110817934,115177449,119440902
Trial 6,885252,12429413,21382200,29245056,36426839,43114844,49433393,55461421,61245900,66823436,72229247,77478491,82592015,87564190,92421358,97173530,101826433,106368671,110817306,115180000,119440629
Trial 7,889562,12431746,21384006,29249086,36426282,43117775,49435278,55460197,61244511,66822280,72227939,77478380,82590900,87564918,92421836,97171926,101824983,106369050,110817155,115180097,119438798
Trial 8,887401,12427386,21383443,29249093,36424907,43114833,49432511,55459721,61242771,66819788,72227942,77479816,82590635,87567401,92422327,97170514,101828286,106370283,110817431,115182433,119440041
Trial 9,887857,12429535,21384645,29248339,36425674,43116302,49435232,55461578,61243470,66820195,72226922,77479502,82592181,87565778,92422147,97172515,101824113,106372896,110817467,115180262,119441023
Trial 10,888525,12428402,21384943,29249164,36425294,43115107,49429525,55459441,61242912,66822110,72227584,77478791,82593831,87565428,92425617,97171608,101825934,106370320,110819934,115180427,119440565
Trial 11,888213,12430254,21383418,29248413,36427766,43116889,49433636,55460950,61245321,66822526,72230159,77478197,82590428,87565654,92421509,97174094,101822427,106369471,110817510,115182413,119442675
Trial 12,886462,12429743,21384553,29247964,36429992,43118588,49433135,55460828,61242735,66821413,72228196,77478393,82591344,87566705,92421363,97173527,101825492,106371266,110818776,115181043,119441677
Trial 13,889979,12430487,21383706,29250429,36425865,43117392,49433738,55460355,61243692,66824672,72229749,77477926,82589814,87566910,92424130,97172433,101823839,106370319,110819434,115181564,119441036
Trial 14,892274,12434088,21383204,29249325,36427264,43116017,49433444,55462860,61243708,66820438,72229429,77479649,82589199,87565597,92425393,97173591,101826857,106366685,110820652,115180399,119440398
Trial 15,886094,12427958,21383410,29251372,36426972,43112425,49434378,55460323,61242851,66822746,72227137,77477279,82592407,87565765,92421137,97171916,101826931,106371182,110817846,115180788,119440708
Trial 16,888461,12428670,21384891,29248133,36427446,43113327,49432276,55461754,61243205,66822698,72229485,77479576,82591222,87563767,92421666,97173549,101825204,106369823,110818449,115177374,119441753
Trial 17,888263,12428651,21384766,29247151,36429712,43115318,49434877,55461084,61245227,66823366,72228165,77480614,82591757,87565468,92423835,97173494,101824736,106367872,110819703,115178543,119444393
Overall,11876552,20912629,28823429,36034345,42746564,49083097,55125558,60920959,66509525,71924626,77183705,82304201,87285585,92149128,96904209,101563220,106113225,110566805,114934859,119200819,123374443
