,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,445896,5863561,9955587,13511953,16744742,19744618,22566503,25245313,27813266,30278815,32667912,34975756,37230357,39433179,41576882,43669380,45722527,47729412,49712098,51649328,53570125
Trial 1,446667,5863609,9956473,13512835,16745989,19746752,22570212,25245867,27814191,30282658,32666306,34976758,37231262,39433916,41574974,43667220,45720941,47731833,49709937,51648743,53568278
Trial 2,444532,5864762,9958015,13511659,16742980,19743970,22568145,25245310,27814984,30280309,32667737,34977642,37230819,39433157,41573875,43665419,45722984,47729413,49710692,51649699,53573291
Trial 3,443537,5862991,9957112,13513539,16743523,19744871,22565591,25246244,27813159,30280562,32665737,34979886,37230058,39432217,41574815,43665852,45722160,47732074,49709338,51650336,53571390
Trial 4,445029,5863900,9957285,13511935,16742693,19747679,22569230,25244719,27812933,30280760,32667925,34979303,37230148,39431984,41574860,43666790,45722415,47729256,49710171,51651402,53569755
Trial 5,445990,5862694,9956943,13512921,16745688,19744808,22567533,25246091,27811771,30281068,32668083,34976429,37231018,39432095,41575760,43667336,45719962,47729348,49711990,51650725,53569001
Trial 6,446123,5862998,9956284,13512194,16741375,19746444,22570008,25246044,27812762,30279978,32666281,34976511,37230547,39431043,41575479,43669345,45720299,47729915,49710735,51651742,53570907
Trial 7,445967,5865195,9954783,13511363,16741455,19744658,22570137,25245240,27812032,30278889,32664408,34976107,37231151,39432354,41574008,43667682,45722978,47729199,49709703,51652000,53570224
Trial 8,446445,5862982,9957412,13512332,16741130,19744693,22565724,25247734,27812764,30282783,32665784,34975701,37231299,39430372,41575018,43669180,45721817,47731373,49710421,51651234,53568168
Trial 9,446580,5862506,9957679,13513607,16743106,19744661,22566872,25246157,27814994,30282294,32666440,34976094,37232552,39433213,41573529,43669367,45721594,47730229,49712187,51651751,53568616
Trial 10,446936,5863881,9956062,13511473,16743875,19744107,22568639,25244720,27814380,30280189,32666378,34975368,37232276,39430707,41574657,43666470,45721539,47729972,49710132,51651954,53569859
Trial 11,446982,5862722,9956195,13514063,16742644,19745021,22569890,25244300,27814026,30282948,32667199,34975088,37230928,39432531,41575388,43667407,45721307,47730103,49708281,51652477,53570531
Trial 12,445678,5864043,9955911,13513476,16744441,19745355,22569180,25245143,27813470,30279154,32667293,34976356,37230923,39436215,41575829,43668849,45722585,47729073,49710917,51651235,53570712
Trial 13,445931,5864669,9955136,13513091,16746778,19745142,22567686,25244956,27810127,30279601,32666542,34977787,37231273,39432803,41575000,43666486,45721794,47730262,49711072,51648221,53571550
Trial 14,445255,5861960,9953504,13512954,16740780,19744374,22568552,25245502,27814190,30279460,32667455,34976316,37232732,39432344,41575881,43669929,45724341,47728780,49710968,51649096,53568091
Trial 15,446949,5863845,9957944,13512624,16741171,19743730,22569031,25243450,27811646,30280890,32666057,34978192,37231401,39432607,41574975,43668788,45722688,47730136,49711560,51650225,53569967
Trial 16,444501,5864354,9957889,13515182,16741377,19745783,22568725,25242098,27813533,30280932,32665169,34976604,37230494,39432232,41574942,43668328,45720792,47731489,49708477,51650844,53570185
Trial 17,444211,5860330,9954254,13512796,16744274,19745252,22569292,25241638,27814155,30280714,32665859,34974227,37231887,39433953,41577650,43668317,45719940,47730051,49709367,51649639,53569280
Overall,5611052,9745061,13323907,16569189,19582365,22414795,25098069,27672411,30144718,32535182,34848583,37106205,39311084,41456627,43551550,45608175,47618041,49600781,51542091,53463266,55353618
