,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,463002,4061576,6123221,7781514,9209450,10488673,11662704,12743737,13752134,14699797,15589830,16435682,17237968,17996182,18716766,19396105,20040172,20650774,21225654,21764025,22267020
Trial 1,461284,4061134,6124842,7781946,9210616,10489131,11661827,12743516,13752128,14699363,15589440,16435061,17238246,17995832,18716786,19396136,20040448,20650164,21225134,21763897,22266510
Trial 2,462354,4062315,6124178,7781647,9210887,10490575,11661198,12743174,13752381,14699153,15589884,16435526,17238182,17996305,18717463,19396804,20039936,20651128,21225244,21763795,22266680
Trial 3,463063,4061436,6124472,7781933,9210271,10489569,11660961,12743611,13752093,14699261,15589910,16435780,17238452,17995716,18717258,19396360,20041190,20650673,21224703,21763925,22266617
Trial 4,462825,4061340,6124368,7779850,9209575,10489400,11661313,12743266,13752432,14699559,15590393,16436062,17237598,17995797,18716710,19397099,20040226,20650542,21224805,21764006,22266599
Trial 5,462914,4061347,6123676,7781620,9209226,10489088,11661710,12742945,13752953,14699650,15590366,16435310,17237959,17995515,18716955,19396573,20041009,20650592,21224959,21763882,22266923
Trial 6,461106,4061958,6124701,7781463,9209448,10490133,11660938,12743121,13752302,14699459,15589714,16436539,17238343,17995894,18716860,19396806,20040101,20650229,21225118,21763961,22266794
Trial 7,461823,4062636,6124226,7780806,9209208,10489219,11660939,12743160,13751811,14698742,15589600,16436006,17238278,17996240,18716955,19396731,20039902,20650521,21225061,21763678,22266629
Trial 8,462440,4061324,6124217,7782135,9209569,10489724,11661577,12742567,13752499,14698966,15590077,16435193,17238023,17995781,18716720,19396643,20040167,20651546,21225168,21763968,22267006
Trial 9,461502,4061711,6123162,7781770,9210022,10489629,11661957,12743003,13752930,14698571,15589282,16436044,17237750,17995901,18716849,19396231,20040799,20650668,21224595,21764452,22266540
Trial 10,462029,4060080,6123289,7780717,9210615,10489272,11661696,12742940,13752610,14699672,15589910,16435637,17237738,17996317,18716867,19396059,20040351,20650772,21225134,21763669,22266692
Trial 11,461868,4062517,6124174,7782615,9210037,10488887,11661912,12743494,13752738,14698582,15589844,16435820,17238177,17996257,18717494,19396436,20040578,20650488,21224889,21764339,22267233
Trial 12,460851,4062863,6124165,7782310,9209649,10489568,11661201,12743414,13753094,14699390,15590258,16435536,17237503,17995981,18716538,19396775,20040185,20650219,21224671,21763978,22265950
Trial 13,463783,4061251,6123453,7781755,9210366,10489320,11660605,12743488,13752163,14699613,15589703,16435635,17238187,17995895,18716762,19396443,20040085,20650930,21224428,21764008,22266852
Trial 14,463927,4061824,6124793,7781441,9208928,10489226,11661365,12743325,13752157,14699223,15589847,16435808,17237916,17995273,18717428,19396519,20041277,20651110,21224856,21764111,22266552
Trial 15,460256,4061629,6124053,7781627,9210751,10489557,11661857,12743804,13752534,14698792,15590495,16435726,17237977,17996277,18716958,19396369,20040458,20651056,21224965,21764024,22267087
Trial 16,461300,4061872,6123683,7781674,9209148,10489132,11661508,12743791,13752742,14699624,15590109,16435551,17238406,17996300,18716901,19397032,20040448,20650602,21224800,21764072,22266331
Trial 17,461694,4061311,6123650,7781559,9209462,10489326,11662063,12743860,13752299,14699377,15589356,16435649,17238436,17995977,18716317,19396999,20040551,20650702,21224869,21763821,22266563
Trial 18,461314,4062192,6124594,7782083,9209717,10489965,11661932,12743366,13752788,14698828,15589430,16435036,17237969,17995915,18716850,19395972,20040411,20650650,21224476,21763773,22266443
Trial 19,462938,4061485,6124080,7781741,9210174,10489266,11661092,12743433,13752442,14699663,15590058,16435137,17238249,17995998,18716241,19397166,20040390,20650440,21225122,21764053,22266621
Trial 20,461810,4062181,6123587,7780407,9209883,10489408,11661117,12743652,13752316,14698717,15589412,16435203,17237747,17996069,18716664,19396480,20040328,20651053,21225005,21763787,22266264
Trial 21,460328,4061913,6123374,7781847,9210491,10489792,11661778,12744159,13752761,14699268,15589590,16436161,17237923,17996162,18716561,19396084,20040895,20650935,21224987,21763870,22266639
Trial 22,462221,4060941,6123198,7781735,9210181,10489169,11660800,12743439,13752957,14699426,15590027,16436003,17237926,17995164,18716801,19396581,20040715,20651136,21225479,21764182,22266593
Trial 23,461716,4061092,6124476,7781335,9209762,10489638,11661035,12743167,13752084,14699240,15589377,16435174,17237920,17995572,18716404,19397023,20040652,20650585,21225279,21763919,22266395
Trial 24,461141,4061500,6123510,7781729,9209764,10490092,11661747,12743220,13752379,14699388,15589914,16435216,17238466,17995508,18717042,19396215,20040616,20650792,21225377,21763659,22266666
Overall,3961796,6048785,7718546,9154214,10438954,11615141,12700353,13712211,14661483,15554059,16401685,17206021,17965437,18688143,19369324,20014642,20626403,21202119,21742552,22246743,22713028
