,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12430370,21386815,29247997,36418605,43102171,49407959,55417834,61180707,66738982,72125792,77351784,82436181,87388763,92224957,96957072,101595660,106140377,110594723,114973021,119261306
Trial 1,888260,12429375,21385205,29246322,36421111,43100093,49409761,55420391,61183338,66739453,72123545,77352601,82434881,87388968,92222299,96955202,101598281,106139348,110595458,114974283,119262771
Trial 2,889363,12430671,21386227,29248618,36422732,43100142,49410528,55418817,61182955,66740155,72123366,77350966,82437587,87387237,92227258,96955465,101599150,106141503,110593074,114973519,119262196
Trial 3,889695,12427280,21383068,29247860,36419326,43102683,49409555,55420568,61183181,66741594,72123431,77348945,82434780,87387848,92225329,96956201,101596580,106141683,110594259,114975638,119263258
Trial 4,888597,12429950,21384861,29247142,36419169,43100096,49409975,55420557,61183261,66739933,72122533,77350637,82435147,87388255,92225118,96959579,101595622,106141648,110593256,114972541,119261654
Trial 5,889439,12428351,21382218,29245102,36422363,43096093,49410186,55418256,61181304,66739257,72123534,77350314,82438313,87389027,92224451,96958623,101594703,106140317,110593909,114969865,119261037
Trial 6,885252,12430177,21382124,29244373,36420525,43101096,49408057,55418384,61183602,66740655,72125553,77350786,82438067,87387283,92222559,96959182,101598603,106139849,110593296,114972370,119260582
Trial 7,889562,12431418,21385086,29249174,36420965,43102967,49410596,55418131,61182628,66739903,72124867,77350172,82435560,87387288,92224937,96957286,101597310,106140732,110592836,114972409,119259214
Trial 8,887401,12427387,21383773,29248370,36418111,43100219,49407628,55416950,61180706,66737009,72124367,77351824,82436656,87389637,92224293,96955104,101599638,106141637,110593793,114975130,119260545
Trial 9,887857,12430199,21384941,29248096,36419012,43100461,49409874,55419577,61181328,66737060,72124028,77350975,82437000,87388789,92223176,96957582,101595923,106143298,110593729,114972540,119261076
Trial 10,888525,12428828,21385327,29248896,36419018,43100297,49404718,55416306,61179926,66738949,72124137,77351134,82437674,87387630,92227571,96956243,101597638,106141685,110595973,114972668,119260973
Trial 11,888213,12430179,21384176,29248627,36420466,43102464,49410137,55418338,61182426,66739654,72126414,77350221,82435264,87388200,92224513,96958856,101594148,106141493,110593857,114974416,119262939
Trial 12,886462,12429735,21384903,29248185,36422741,43104211,49408562,55419714,61180868,66738036,72125143,77349614,82436549,87388944,92222400,96958795,101598551,106142336,110594123,114973379,119262648
Trial 13,889979,12430364,21383605,29249878,36419033,43102382,49408424,55418316,61181095,66742154,72125586,77350645,82435087,87388866,92225971,96957276,101597259,106142077,110594255,114974332,119261862
Trial 14,892274,12433771,21383821,29248381,36420687,43100091,49408787,55419855,61180709,66737347,72125497,77351878,82434738,87388153,92227998,96959228,101598983,106138497,110596787,114972176,119260783
Trial 15,886094,12428138,21384207,29250380,36420170,43097005,49409162,55417597,61180762,66740035,72123657,77349163,82436995,87388545,92222136,96957765,101598578,106143296,110593006,114973184,119261291
Trial 16,888461,12429267,21385105,29248137,36420810,43098223,49407526,55419116,61180986,66739297,72126668,77350484,82436825,87387197,92222861,96958145,101597867,106140920,110593922,114970335,119262921
Trial 17,888263,12430035,21384408,29246367,36422522,43099941,49410083,55419620,61183228,66741318,72123710,77352334,82437420,87388454,92225175,96958308,101596502,106138876,110595474,114971549,119265300
Overall,11876552,20912972,28823334,36028255,42732183,49059331,55084381,60859987,66428075,71822715,77057373,82150933,87109640,91952070,96690405,101335614,105884649,110341901,114725787,119019372,123226637
