,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,144109,948058,1361954,1685197,1957269,2199168,2417531,2616300,2800197,2971085,3129674,3279576,3420186,3552581,3677502,3792977,3901622,4003000,4097832,4184569,4264565
Trial 1,143638,948019,1362572,1685450,1957354,2199209,2417520,2616240,2800419,2971050,3129894,3279360,3420167,3552696,3677766,3792798,3901569,4002928,4097512,4184565,4264379
Trial 2,144249,948229,1361992,1684923,1957438,2199560,2417532,2616295,2800403,2970884,3129626,3279332,3420228,3552673,3677728,3793082,3901607,4003041,4097728,4184518,4264481
Trial 3,144131,947699,1362416,1685145,1957171,2199310,2417392,2616198,2800352,2970972,3129627,3279579,3420392,3552580,3677871,3793025,3901805,4003066,4097666,4184600,4264716
Trial 4,144192,947884,1362511,1684644,1957006,2199350,2417436,2616377,2800446,2971059,3129898,3279466,3420089,3552630,3677630,3793036,3901604,4003090,4097556,4184553,4264483
Trial 5,144446,947662,1362334,1685083,1957079,2199026,2417409,2615985,2800661,2971053,3129714,3279274,3420190,3552800,3677786,3792874,3901597,4002975,4097622,4184578,4264458
Trial 6,143025,947926,1362370,1685322,1957065,2199417,2417621,2616021,2800406,2970821,3129463,3279766,3420265,3552584,3677743,3792867,3901732,4002969,4097595,4184605,4264637
Trial 7,143731,947948,1362258,1685210,1957202,2199374,2417406,2616190,2800426,2970909,3129512,3279547,3420052,3552551,3677765,3793085,3901582,4002979,4097732,4184650,4264389
Trial 8,144244,948046,1362331,1685150,1957364,2199347,2417502,2616169,2800503,2970849,3129749,3279230,3420100,3552643,3677769,3793165,3901539,4003066,4097647,4184680,4264570
Trial 9,143714,947919,1361738,1685037,1957100,2199395,2417592,2616032,2800565,2970791,3129518,3279498,3420101,3552661,3677618,3793051,3901694,4002968,4097516,4184660,4264352
Trial 10,143855,947491,1362139,1684911,1957517,2199263,2417644,2616034,2800509,2971194,3129827,3279571,3420334,3552621,3677617,3792963,3901525,4003092,4097556,4184667,4264481
Trial 11,144303,948347,1362473,1685294,1957340,2199283,2417523,2615998,2800412,2970990,3129628,3279347,3420223,3552678,3677801,3792853,3901531,4003037,4097569,4184775,4264601
Trial 12,143123,948209,1362340,1685204,1957103,2199502,2417208,2616408,2800693,2971172,3129895,3279252,3420218,3552498,3677600,3793142,3901596,4002921,4097411,4184497,4264167
Trial 13,144179,948159,1362125,1685247,1957325,2199218,2417258,2616197,2800421,2971106,3129735,3279381,3420295,3552527,3677641,3793236,3901504,4003087,4097487,4184583,4264306
Trial 14,145107,947976,1362501,1685050,1957193,2199291,2417443,2616504,2800484,2970974,3129855,3279497,3420137,3552387,3677761,3792852,3901673,4003019,4097650,4184692,4264423
Trial 15,143977,947932,1362014,1685041,1957352,2199480,2417521,2616392,2800471,2970923,3129626,3279589,3420043,3552744,3677814,3792817,3901845,4003098,4097578,4184634,4264516
Trial 16,143199,947838,1362228,1685076,1957148,2199231,2417346,2616179,2800455,2971157,3129657,3279497,3420092,3552631,3677678,3793043,3901589,4003068,4097572,4184620,4264504
Trial 17,144290,947956,1362178,1685280,1957241,2199473,2417599,2616167,2800385,2970890,3129498,3279482,3420291,3552569,3677517,3793019,3901655,4003093,4097704,4184533,4264287
Trial 18,143670,947926,1362577,1685194,1957226,2199464,2417595,2616354,2800461,2971012,3129674,3279401,3420254,3552505,3677720,3792957,3901627,4002881,4097727,4184512,4264472
Trial 19,144005,947671,1362325,1685058,1957361,2199265,2417507,2616414,2800527,2971162,3129679,3279283,3420317,3552665,3677615,3793129,3901722,4002939,4097732,4184570,4264298
Trial 20,143470,948103,1362348,1684990,1957338,2199208,2417487,2616186,2800290,2970888,3129588,3279432,3420110,3552572,3677678,3792903,3901699,4003088,4097664,4184579,4264342
Trial 21,144045,948246,1362219,1685246,1957175,2199622,2417566,2616553,2800684,2970750,3129878,3279445,3420269,3552688,3677531,3792909,3901691,4003020,4097635,4184631,4264408
Trial 22,143860,947804,1361898,1685136,1957099,2199269,2417428,2616313,2800533,2970942,3129752,3279405,3420274,3552581,3677679,3792973,3901562,4003070,4097755,4184648,4264399
Trial 23,143790,947832,1362205,1685075,1957082,2199277,2417334,2616375,2800252,2970974,3129650,3279334,3420251,3552649,3677655,3792858,3901587,4003122,4097700,4184433,4264274
Trial 24,144024,947840,1362092,1685540,1957149,2199596,2417457,2616011,2800444,2971038,3129816,3279273,3420351,3552596,3677879,3792938,3901572,4003097,4097616,4184572,4264393
Overall,927349,1347367,1672983,1946602,2189861,2408884,2608318,2793143,2964221,3123309,3273441,3414570,3547288,3672778,3788342,3897297,3998969,4093897,4181148,4261286,4333731
