,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,1397799,29575777,51996858,71585352,89325830,105722404,121104072,135643284,149489698,162753913,175500714,187787158,199680792,211213541,222402479,233292584,243888404,254228256,264316190,274151043,283775382
Trial 1,1398155,29576572,51999450,71581649,89325196,105720112,121101356,135639463,149493253,162752417,175506766,187791167,199678410,211211398,222401859,233289856,243890205,254225073,264315980,274150923,283774073
Trial 2,1398438,29575326,52002473,71586464,89324347,105721734,121095946,135637627,149492057,162749932,175507042,187785455,199686306,211211714,222400621,233294794,243889898,254225455,264312438,274155263,283773668
Trial 3,1397013,29576058,51995725,71583846,89325445,105716478,121102557,135642036,149488831,162756727,175507862,187783555,199681162,211208076,222405089,233288756,243889935,254228128,264313393,274152522,283773200
Trial 4,1398341,29577538,51998301,71583699,89323955,105724678,121101954,135639430,149491601,162751600,175503938,187786248,199678985,211211159,222403095,233291604,243890536,254228676,264314828,274153850,283779960
Trial 5,1397401,29577874,51996420,71581172,89322689,105719666,121100080,135637764,149488200,162755355,175504679,187785325,199680441,211213254,222399995,233289872,243892780,254227862,264313447,274158428,283773028
Trial 6,1395553,29579132,52000523,71584529,89322822,105720314,121102412,135638819,149491748,162752084,175504364,187782176,199684690,211208319,222404905,233292633,243893136,254228600,264313522,274150694,283774070
Trial 7,1397475,29574957,51999905,71583863,89323452,105718648,121099805,135641462,149490468,162753049,175504682,187786981,199681858,211211561,222397985,233293330,243891695,254232376,264316276,274151076,283775891
Trial 8,1398886,29576400,51996629,71584235,89322958,105721476,121103920,135642157,149489249,162755030,175505142,187783660,199682122,211214564,222400615,233294756,243891220,254229000,264316260,274154739,283774730
Trial 9,1397164,29576618,51997928,71587544,89326866,105720638,121101012,135639676,149487323,162752605,175506220,187790138,199685347,211215407,222399800,233291782,243887872,254227643,264313444,274157481,283775271
Trial 10,1397406,29573977,51996823,71585835,89325792,105718497,121099102,135639440,149490110,162752319,175506430,187785467,199681478,211206526,222398538,233290288,243893807,254228664,264313769,274150690,283776937
Trial 11,1397626,29576969,51996574,71581056,89323138,105718628,121102824,135639045,149491894,162750406,175501681,187784432,199682682,211212789,222397102,233291248,243892016,254228662,264312390,274154138,283775919
Trial 12,1396228,29573428,52001269,71582687,89325996,105718608,121101913,135639029,149490575,162752908,175506089,187784827,199679260,211212959,222405488,233292316,243891693,254229456,264313432,274151709,283774923
Trial 13,1399958,29578372,52001814,71583715,89326551,105718617,121102783,135636953,149489834,162753842,175504418,187783753,199681709,211214130,222404592,233292133,243892197,254231180,264314301,274155149,283775743
Trial 14,1399731,29575194,51995973,71586207,89325671,105719764,121104510,135637185,149489406,162751287,175505534,187784095,199681798,211213331,222401524,233291878,243892199,254226471,264312082,274152617,283774726
Trial 15,1396276,29575365,51998307,71581952,89326700,105721641,121106683,135643233,149486666,162748557,175504674,187786959,199683606,211210917,222398885,233293314,243890148,254228558,264313516,274151854,283775567
Trial 16,1397928,29576179,51999948,71583661,89319874,105716611,121099611,135641199,149486997,162751227,175508005,187787518,199685176,211211199,222402468,233291508,243891460,254225796,264314034,274151809,283775644
Trial 17,1396053,29577841,51998946,71586056,89323776,105716511,121101392,135640582,149486361,162754089,175506267,187785706,199682353,211210515,222400166,233291561,243895882,254227763,264316516,274153023,283774066
Trial 18,1398087,29578095,51999719,71585082,89324460,105714092,121102898,135643426,149489213,162754490,175505480,187778706,199680972,211211420,222396050,233292014,243891357,254225842,264314741,274151630,283776912
Trial 19,1397708,29575606,52001763,71588581,89327838,105723184,121100793,135640705,149487674,162749082,175507241,187783217,199683565,211211948,222400040,233292339,243891609,254230889,264312879,274152730,283774647
Trial 20,1398090,29578524,52002729,71582849,89323636,105718510,121104358,135635777,149489821,162753089,175505301,187785913,199684425,211212342,222402398,233292455,243892782,254229152,264310723,274154032,283776721
Trial 21,1397252,29576054,51999488,71585428,89322887,105722272,121102846,135640548,149490350,162756421,175505634,187787676,199685469,211210940,222403599,233296779,243894258,254225965,264317464,274149520,283773796
Trial 22,1396509,29576842,51999452,71587363,89324143,105720541,121100695,135636757,149490207,162753970,175502966,187787751,199682036,211210001,222404859,233288361,243888875,254227758,264313892,274153929,283775968
Trial 23,1398488,29577626,52001143,71583911,89325801,105722552,121106715,135640369,149489651,162753153,175501927,187784384,199681629,211210312,222403729,233293618,243892815,254227885,264314275,274156042,283773065
Trial 24,1395679,29576894,51998926,71583895,89324713,105718448,121099705,135639907,149488801,162754039,175506907,187786250,199686140,211214507,222396635,233290260,243894882,254230174,264316487,274152333,283772931
Overall,28585465,51154118,70827994,88630336,105071574,120491398,135059671,148935095,162220499,174993170,187290098,199202772,210746489,221948707,232851720,243462465,253809552,263905996,273753814,283385341,292787269
