Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
347932.53,349610.66,342243.1,338774.06,337987.9,333962.62,332451.3,327255.5,327855.72,325961.94,327578.03,319972.25,322324.62,324049.25,320385.88,315487.72,321397.3,322700.75,313431.62,317869.25,313192.1,317095.44
350945.88,346817.7,340356.0,340344.06,337777.5,335009.7,326621.38,327012.44,333571.0,326252.94,326026.94,324716.66,316089.9,316577.88,315265.06,312421.44,317597.88,316750.06,318953.3,315293.3,319941.34,314819.88
349188.6,344880.0,343254.97,334473.2,341176.75,337177.62,332853.6,329756.5,329135.53,326063.56,316564.12,325395.53,321766.03,324975.5,318510.94,315792.75,317144.4,310507.97,318139.97,319488.1,314377.0,318144.53
348320.94,349847.94,342121.94,342226.3,339139.47,327580.38,331105.25,335457.72,329005.75,327219.06,326086.56,313285.28,322669.3,321463.75,320310.47,322741.06,317009.2,318975.34,316521.75,320003.56,317330.8,309550.34
347359.94,347163.34,346866.2,336116.75,338978.2,337042.06,337040.56,334457.94,326028.78,320630.75,331751.47,326482.78,322662.97,324580.2,316107.34,319732.3,324672.9,325246.97,317914.7,316667.16,316274.94,318943.5
349501.44,344026.9,343689.72,336547.44,334646.5,334537.06,330591.3,328910.38,328406.97,323097.94,326684.06,320389.38,326757.53,322156.8,320916.97,321015.34,318835.38,314778.06,314612.5,312916.7,317383.2,311644.44
339243.34,355490.16,337946.28,340530.62,341537.06,337310.25,328231.4,332466.38,322787.66,324977.75,323472.34,323258.94,321366.12,321775.62,319819.47,316447.1,318037.44,314507.56,318953.25,313494.88,317020.25,313048.22
344547.22,344327.62,346690.2,333538.1,338067.47,332287.0,328813.8,334244.34,325348.38,324847.25,322997.6,324835.6,326150.6,321932.5,318340.94,321200.34,322260.88,319403.97,316518.22,316849.2,316606.7,321050.0
350459.3,347185.03,344137.9,333823.16,335113.34,335353.5,330025.1,327803.6,322578.2,325528.12,317511.38,323891.94,319927.56,321386.75,321885.62,317212.97,323635.88,315575.7,315757.84,316403.25,314797.25,313290.72
347560.53,348347.7,343320.0,337657.47,336475.84,334945.72,331232.84,332818.38,323978.94,326287.22,320964.72,315270.72,323029.06,321323.03,318093.12,322456.97,320772.75,322528.12,319760.12,312747.75,316327.12,319862.8
350163.56,349178.53,344865.22,334492.8,335187.66,329121.75,326199.44,328337.2,329860.53,327297.38,322266.4,321314.12,318901.3,325518.9,323662.3,321273.88,315505.75,315320.8,317776.3,316451.25,316469.06,319025.03
347514.84,347441.6,342752.25,337872.72,334232.78,330424.56,332326.53,329694.62,326226.4,331085.6,321234.22,325538.2,323480.03,319737.06,317329.7,326170.62,322089.84,322794.8,316665.78,314156.03,316034.88,309116.34
348939.8,348435.3,339284.5,340201.3,332077.47,338631.84,330761.0,327602.94,326679.06,330913.47,323535.72,326717.12,318564.88,321965.9,323399.28,317452.4,316746.97,320987.94,313439.88,313860.2,312077.44,323093.75
345817.94,347198.5,341692.7,340662.62,340357.34,332148.12,329259.12,326944.9,328363.4,323949.06,323743.84,319263.25,325437.3,320327.53,326181.16,322152.53,321541.22,316482.5,313885.97,315796.88,315952.0,308433.78
348677.88,348482.8,338385.06,337428.06,338636.0,334518.38,335684.94,330931.0,326075.44,314368.25,330615.94,324822.84,321899.0,322753.44,321144.28,319690.3,317717.4,321197.28,317311.44,313077.2,314591.66,318968.0
349230.72,340476.4,341139.44,338609.16,334007.3,330063.44,331059.7,325330.66,330042.25,327426.88,319113.53,322753.75,319165.88,319558.44,318432.47,318813.7,319231.75,318932.0,319811.38,312113.5,311942.94,316412.94
344188.03,342541.22,342508.0,339218.38,336351.38,331150.88,334521.53,323086.38,319646.5,327345.72,325411.62,327206.2,318010.62,321845.44,319085.03,323333.16,314330.8,322697.06,322051.9,320131.5,310906.97,322312.12
348104.5,342499.0,347824.56,337405.06,338397.56,333987.2,340135.12,335492.75,326989.25,330569.7,325307.12,326577.12,315858.78,320372.66,322642.84,320001.6,319285.78,313009.8,317552.5,318085.75,315380.4,309174.38
348574.9,347070.25,342408.72,340674.06,336018.44,332168.28,333102.56,328927.47,327589.56,328126.5,323269.94,322273.03,318518.12,313836.97,323477.25,316544.3,319448.22,320140.62,317995.78,313995.44,314862.7,319294.8
347005.47,346791.03,345358.3,339350.7,334286.5,335133.3,332216.0,328927.1,326656.3,327587.28,324865.5,320864.06,316526.3,311157.3,319027.47,323442.62,316985.88,316763.06,315129.7,320619.0,316942.44,312999.66
346066.1,347707.8,343968.97,332324.88,331473.3,332190.8,329715.72,332077.3,328696.06,320337.44,321405.6,319341.28,321737.06,320357.25,313668.4,318403.44,312790.94,320305.3,318383.0,311936.97,317840.44,312609.3
349180.6,340782.16,346051.16,334790.72,338148.7,333463.06,330672.8,330907.28,334379.56,326232.03,325651.47,324549.8,322126.56,322650.06,322600.47,320004.97,323008.4,322721.47,318311.0,318540.9,314749.56,317156.62
349934.97,345538.2,345247.84,337925.38,336987.56,332201.56,332542.66,334101.94,325268.25,321835.7,326129.4,322629.3,324263.72,319645.44,318375.28,320702.56,320969.0,314870.9,314801.94,317190.12,312937.88,320240.94
343801.47,345544.25,349249.3,339722.0,337091.3,336393.8,328588.66,333590.47,330928.97,330347.38,324611.94,325108.5,326619.34,324666.2,326797.88,325668.84,316162.4,322581.62,318033.9,315577.97,316958.44,315078.1
348048.56,346727.84,342675.78,342149.25,338718.3,336948.22,331506.62,326260.12,328365.34,325252.72,322464.28,324335.06,322064.97,322026.16,322417.03,319187.53,319330.38,321637.53,315476.2,321799.38,317451.38,313651.0
347016.38,342742.8,344403.97,335310.38,338564.47,332698.25,327263.6,333156.75,332850.88,326873.8,325654.8,323118.5,327967.72,319091.56,321689.1,320814.3,317571.72,322694.12,323438.84,320430.94,318493.5,318825.38
347701.4,342486.0,344859.06,337078.75,337681.7,340492.47,327418.06,330358.4,326982.2,328861.38,325170.72,328556.7,329693.47,325158.72,318456.97,316296.84,318899.2,319004.53,319716.0,319657.88,314413.22,309541.75
349188.88,345990.7,344216.56,339591.97,335770.75,334242.6,327778.34,331721.2,324714.06,325912.28,324170.44,322070.44,323381.78,326632.47,323966.4,320329.7,315557.62,308418.6,319351.38,319400.94,319451.75,317511.7
347181.56,347639.5,342697.1,340733.12,341706.84,334574.84,330180.56,329408.47,330813.66,326488.6,323113.06,323512.66,324924.75,329819.5,321510.16,322932.3,312708.06,308422.88,314669.94,315989.97,318655.97,314494.62
341857.25,346400.34,347100.38,336052.5,338026.56,337957.47,334709.3,333237.2,332234.75,326078.56,324801.47,321416.62,322787.8,325916.16,317484.66,317396.72,317992.28,317501.06,323094.47,319823.97,319344.56,314757.06
345727.25,347419.4,338151.8,336521.94,332351.3,330152.8,334660.25,321033.1,321998.12,327961.4,321690.2,317828.66,326724.2,322327.44,319756.97,317959.44,319059.7,322456.7,312978.6,314238.25,315943.44,313442.06
344114.75,343287.16,340001.7,340810.7,339126.47,329212.3,330692.6,328596.1,330339.53,328223.9,323454.47,324755.62,321841.44,321081.22,321604.8,317354.25,317477.7,318497.2,310665.94,320000.75,313134.16,318378.5
348675.12,348112.1,341762.56,337029.53,342710.62,338964.16,326473.6,329446.2,325157.53,325367.44,319741.72,321750.88,320936.3,324424.5,319325.56,309849.47,314498.94,322767.78,323348.06,313415.28,315857.28,313480.84
346548.97,346925.03,338104.0,343116.75,331112.28,335635.88,336072.56,331171.22,327572.94,329472.12,320205.62,330580.66,322937.75,321578.44,321169.06,314672.5,316040.38,324231.72,321487.16,317235.94,320177.25,313574.38
347276.25,340843.3,337013.0,341101.1,340444.88,334592.03,331370.06,324679.8,328256.22,324449.16,323250.66,322295.66,324097.53,326535.12,320489.88,312774.06,326532.3,315667.0,316014.84,313251.16,319042.94,313881.84
351113.1,346521.8,342436.66,334267.5,335573.1,333540.22,330604.28,328922.06,329672.06,325515.44,319949.3,319246.44,325184.7,323363.03,320124.53,319632.5,316760.3,315331.66,318535.75,316394.1,316093.12,308454.94
351553.4,347343.1,342082.75,344286.22,332719.47,336156.03,330428.4,330220.6,323553.38,329322.88,323671.84,323063.0,325692.47,327058.25,318418.28,311413.6,317713.78,317325.75,316134.12,318183.84,318045.0,316794.16
348375.1,343873.53,337656.56,340307.75,334446.5,337056.75,329237.88,328406.2,323159.2,330549.2,320721.66,327052.06,321907.8,321130.0,319187.22,317592.3,314895.94,317657.1,317340.97,320161.38,312063.0,316475.38
344942.56,345353.44,344291.2,338852.75,335443.56,331986.25,339090.8,328572.25,327807.6,329468.8,328262.84,321715.97,321855.38,320992.84,317850.78,315554.5,319376.38,324614.38,319369.4,312725.88,314470.44,316137.53
347079.88,345825.97,335010.34,339968.66,338707.62,333953.44,330285.25,326697.75,327458.34,331808.97,323961.34,319823.22,321883.06,314750.0,323944.03,318774.88,312010.34,319778.5,319381.4,312003.88,315630.7,314330.44
345627.66,339732.9,346461.0,335986.56,328730.97,335833.2,329173.0,328308.5,329352.22,327174.75,323934.62,326390.53,322822.6,317399.3,320192.28,319417.47,320688.2,319714.88,316286.78,316989.94,316225.5,316778.44
348079.78,343210.94,342893.66,341201.75,316386.06,329381.72,328863.3,334640.3,327702.97,325890.0,324423.97,325555.62,319316.5,322587.4,317905.53,316432.3,318030.8,316253.6,320328.06,318756.1,317851.03,314492.38
345018.3,342499.44,345116.94,340139.12,334636.03,335483.94,335437.78,329813.84,326856.38,324056.06,324963.88,329110.3,323678.97,323122.97,323456.7,319280.78,316839.22,312005.2,319253.6,314312.66,312220.66,316688.88
347803.88,343538.28,346947.72,337260.28,337736.38,335051.88,332661.8,328218.34,327005.6,329001.2,323690.66,323392.44,322396.75,319523.75,312069.66,314780.44,317730.38,319872.7,317443.88,320685.6,309618.5,317546.8
347845.97,343106.66,343979.9,336940.56,335464.4,331272.2,329978.88,328851.53,332699.44,324327.5,325914.4,319605.5,324105.6,320746.75,319293.2,319824.72,322195.0,321835.84,321274.16,318520.16,319083.25,316026.44
348332.75,344872.03,340181.97,342991.12,342006.97,329220.88,338246.2,333410.25,329522.25,327169.16,322662.8,322513.62,324713.62,324051.75,327725.78,319307.03,317105.4,315323.75,319333.56,312289.4,313121.88,318477.94
346175.75,345997.66,345489.78,343291.56,332125.62,335030.88,335909.84,329170.06,328939.44,328821.5,325412.9,319873.3,319656.2,313203.25,318253.88,315718.0,318360.75,318727.75,321116.2,313393.62,314530.62,319596.6
341991.7,348889.75,343889.56,338144.66,338745.38,330730.03,331370.3,328780.88,328472.0,327875.6,328192.6,324621.62,320502.25,321292.5,323464.75,325388.28,316752.5,317735.72,315158.06,314682.72,316021.88,312217.6
345051.03,347590.8,340859.8,345262.9,337966.6,333251.4,334684.1,326238.25,328914.5,329953.1,325420.5,325760.53,323205.1,317508.84,315630.44,326624.56,323936.1,316567.06,320810.38,316135.94,313640.28,315719.3
345028.22,344419.84,341889.66,345435.75,336975.0,332791.1,331948.88,332974.66,326514.66,322820.12,327679.4,326128.06,327291.94,322084.03,321312.25,325118.44,323920.9,318611.12,325098.22,319131.06,309004.12,314514.0
