Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
202310.7,189899.83,177111.14,176484.52,179134.94,177668.81,177681.03,176144.4,175798.81,178236.12,178313.72,179862.88,178172.66,181435.16,182413.12,181752.4,179291.12,186075.84,180623.81,180348.6,183201.23,182920.8
202302.6,183942.56,178021.66,177057.2,178318.0,173942.1,174261.66,174847.4,177368.62,177239.69,179724.81,180617.1,180814.83,181276.56,181368.94,182822.03,181460.6,180329.94,179350.81,179339.38,179883.8,180819.27
203363.52,188130.6,178819.98,177902.12,178704.23,174762.97,175708.44,179179.86,178970.34,176222.72,178340.12,180763.7,178350.02,181415.83,179609.95,183015.86,182062.92,184272.56,183382.28,181198.53,186136.4,178406.31
200255.94,183550.28,180682.56,176242.5,180181.5,178415.44,178431.2,175878.17,178959.31,179185.22,178558.56,178317.5,179751.97,180342.98,183602.0,183425.52,183650.95,182412.06,180693.4,180183.28,185295.17,182160.08
201619.58,183527.16,181500.89,174007.53,179402.81,177415.77,174100.12,180689.98,177820.16,178600.06,179761.22,175722.66,181559.9,179871.66,182638.58,184979.1,183609.94,183976.44,183169.6,182242.88,183717.05,178255.22
200451.6,186604.5,179107.4,176460.25,181570.53,176570.94,179348.1,180438.14,177972.83,174900.77,181743.5,182345.72,180780.12,183390.9,182339.6,182375.05,180028.97,185411.75,184152.66,179805.78,182028.12,183599.56
205270.27,186312.38,180678.6,175715.16,182566.23,180362.06,177365.97,177724.67,176470.62,177299.31,179756.28,177356.62,178864.31,181876.0,185547.78,181501.12,180685.72,186031.56,182797.97,183525.03,181710.4,182393.44
199770.25,186230.81,178195.66,176401.27,176238.66,178270.81,176729.58,178111.44,179314.44,178661.16,182464.88,176918.4,181193.97,179082.31,181140.06,183458.98,182442.88,180203.33,180083.38,181834.31,185659.25,181714.11
202751.56,185182.78,181651.25,176554.16,178804.12,179540.6,175146.3,177648.83,179867.34,179894.88,176168.4,182175.38,179545.53,181946.75,181796.48,182339.78,182537.22,179886.62,183004.22,180520.48,181673.84,182808.44
201280.47,184773.34,180744.97,183699.06,178798.28,181450.42,177075.08,175898.42,175808.34,179651.75,177447.06,181791.9,178610.66,180580.88,180622.22,184437.9,183476.0,183793.5,181152.28,183029.58,182491.56,179936.81
204510.66,187650.27,181433.2,179409.12,177980.84,177114.1,181646.92,176345.31,178439.0,175643.69,177488.48,182171.25,180905.47,177873.4,184331.1,184527.73,182847.84,179215.48,181879.9,185316.62,182418.56,185816.75
204466.55,183807.16,181591.38,178274.78,178572.17,177591.67,175090.88,176069.1,178909.31,180198.19,181713.72,181488.61,179297.03,178713.88,180716.6,182838.7,182593.19,181031.19,182845.17,180617.3,182701.83,181286.61
205739.0,185962.22,181628.89,176863.19,174779.0,175559.78,175963.03,176792.03,179951.95,177183.62,177180.27,181782.95,181617.97,182010.42,182038.97,185044.22,180282.94,185426.19,181914.6,181310.19,180514.56,179475.9
199942.22,186254.84,177656.06,177290.08,177529.55,180976.47,175838.0,179353.34,177710.22,177455.31,181436.12,178599.7,180971.28,178944.97,183274.81,185160.16,182586.56,183952.66,181342.06,182690.16,185569.56,182212.92
200644.03,183235.11,184153.61,176921.22,177213.86,172572.31,179442.56,174579.22,178388.9,177182.44,180354.88,180688.88,182034.1,181436.38,180951.67,186244.19,182608.62,183913.77,179354.64,183514.78,184982.34,182748.53
202166.98,182318.78,183686.1,174179.61,175734.31,175404.22,175958.53,179668.38,177425.55,177414.42,178538.94,180868.22,179969.28,182033.61,183345.75,180763.53,182917.73,182640.97,179570.23,183545.42,182687.19,182389.4
205907.9,184126.47,181553.39,176533.38,175857.06,176872.2,179394.31,180463.12,178118.12,177770.66,181405.0,180061.03,179810.39,180779.28,186784.9,182111.97,180930.7,179934.55,182738.56,180646.47,178961.06,185144.28
204601.44,186764.83,179773.34,175972.62,181107.34,175642.25,178063.72,175550.83,177666.72,178207.89,180730.81,180120.97,181151.42,180039.31,181541.4,184801.6,181971.75,181311.31,181029.75,182082.22,183075.53,181034.97
197331.12,185217.9,180697.31,172220.25,174527.44,177626.34,178911.97,177803.56,178323.03,176444.81,180953.44,179309.56,182258.56,180297.78,180030.81,183702.5,180342.16,179592.81,182000.97,182499.4,183814.14,178187.72
202134.03,186242.7,180587.52,176890.03,178411.12,178196.03,172960.84,176526.38,178077.56,179202.66,178765.31,179598.38,175553.5,180710.12,183712.6,182493.62,182565.88,183271.58,182339.03,186551.19,179861.8,178073.78
204452.5,187786.78,181928.9,180207.94,176142.78,174233.62,178342.94,176584.97,178707.95,175594.16,180100.81,177598.92,179636.16,180361.12,184203.47,183750.05,183695.77,185111.89,180731.89,181321.4,181536.12,180334.73
203348.39,184239.6,183679.33,177952.38,176444.9,178216.94,177697.72,176201.69,177966.08,177932.4,179884.81,179826.69,179264.56,181303.9,183371.22,181418.0,182047.19,182218.66,178882.75,181430.22,183740.45,181718.67
201246.62,184460.84,178432.89,173913.56,177037.55,177424.12,179128.94,177155.67,179491.06,176797.81,179812.53,181599.88,177102.6,179547.02,183641.1,181221.03,180393.44,186027.38,183169.97,179400.06,179335.47,182442.69
204582.5,186488.62,183885.4,174342.2,176635.03,175680.5,181348.5,175840.67,178132.44,177829.66,182207.94,179246.44,179137.33,181857.16,183629.0,183121.64,183919.5,182202.19,183821.0,180494.31,182171.25,180416.36
