Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21,Stage 22,Stage 23,Stage 24,Stage 25,Stage 26,Stage 27,Stage 28,Stage 29,Stage 30,Stage 31,Stage 32,Stage 33,Stage 34,Stage 35,Stage 36,Stage 37,Stage 38,Stage 39,Stage 40,Stage 41
200644.03,196250.02,204961.52,214156.89,214624.4,216627.36,215307.14,216580.55,212530.94,209849.1,206615.55,201890.45,197552.98,195897.81,196769.97,193660.66,195279.25,189566.5,190183.44,192607.81,190662.12,189548.72,186620.97,185138.81,186400.1,182585.81,184230.98,181522.98,181142.84,179123.69,177204.83,174532.72,170840.4,172538.53,169614.94,170153.08,165315.92,165198.44,166053.12,164248.48,158755.39,157335.4
202166.98,198478.72,206116.16,217203.78,214712.97,214981.66,213517.78,213398.25,211977.16,210913.39,207758.66,207205.81,199304.94,198784.69,197199.48,195550.28,192400.97,193823.75,196417.9,190737.34,192745.95,183596.64,184462.4,188267.12,186924.39,186932.06,181053.31,179753.55,183890.19,177086.86,173857.8,174224.88,175724.88,172916.62,169524.94,167755.56,165450.6,166322.73,164886.16,160857.12,159848.8,161422.42
205907.9,195296.11,206877.31,217289.03,217828.31,218560.56,217559.42,214648.84,212311.97,210528.69,206434.22,204117.0,202243.64,199576.75,193972.83,197576.0,195393.28,194402.44,191130.66,189474.12,191310.03,188297.72,186005.22,188347.53,184153.06,184809.19,188295.4,178585.62,178851.78,176074.9,177414.75,173351.19,175370.08,170536.22,174805.38,169233.22,166254.47,170324.0,164178.23,161158.77,158702.88,156600.03
204601.44,198323.62,202839.89,213989.8,215379.69,219879.94,215380.31,210569.64,213363.03,210071.8,205549.5,202699.44,196937.2,195495.19,196639.22,196048.52,195717.72,187035.78,192593.12,191108.36,191003.06,190409.19,187192.66,187657.4,186422.16,185847.03,185100.9,181870.16,181726.81,178551.88,177656.56,172802.62,177687.1,173448.38,170441.14,167932.36,164661.69,166936.47,164408.06,164880.52,160815.78,162071.47
197331.12,194114.67,204288.16,214704.19,219526.5,217625.56,214759.48,214298.98,213378.34,210044.0,202989.94,205592.23,202132.84,194599.03,194724.27,195630.88,193954.66,189661.06,190418.03,188672.62,191711.88,189489.9,188210.92,188429.67,189245.55,185796.12,183266.6,181760.66,178654.16,181002.45,177947.34,173477.56,171996.97,175111.25,167383.16,166695.53,166945.56,170115.66,166380.56,167464.88,158522.27,160523.03
202134.03,194323.88,204122.89,209902.97,215735.5,217534.38,214118.97,217500.61,212462.5,207284.31,206622.95,203731.81,200078.25,199359.69,198498.9,201549.06,190893.06,191392.81,191075.48,193675.9,189508.12,187252.38,187601.31,186298.44,184587.5,183727.25,186516.34,181079.38,180034.02,178847.38,178111.88,175945.55,175507.9,171008.72,173442.81,170419.39,163708.5,164737.97,165486.31,162381.28,160634.34,158283.98
204452.5,198775.34,209957.44,216438.88,214721.84,218997.56,216674.27,213522.03,212447.2,212748.69,205785.88,202926.62,202824.0,197610.6,194687.34,195189.19,192245.56,192627.16,191785.0,190954.22,186659.17,190119.14,184106.06,185566.27,189219.5,186545.44,182117.08,184213.34,182313.67,177880.0,174957.52,174257.25,174021.28,169821.16,167612.56,170491.5,170076.66,168642.88,165813.53,161645.66,157526.44,162311.28
203348.39,198702.84,203965.64,213243.9,213205.84,214910.27,215875.81,214091.14,213602.4,211584.0,205541.1,202247.72,201548.11,196757.69,196199.11,193963.88,193908.34,192912.47,193817.98,186160.22,189279.44,188653.56,187546.12,183110.03,189089.94,182485.38,182614.6,180549.22,181637.22,179230.33,178006.38,174190.7,172719.9,174528.12,170534.1,167575.9,168324.08,163464.1,169670.95,165733.2,160349.34,159750.94
201246.62,196344.66,208209.06,215176.53,216152.84,217038.58,216952.86,219280.72,211905.72,209353.89,208094.0,205370.33,198781.52,195076.94,189184.95,195627.36,194711.4,192058.16,194126.84,192493.92,190548.7,187918.6,189464.19,187188.73,187292.9,185507.03,180222.12,181364.16,178343.88,180265.88,178706.06,173900.56,177680.17,171257.08,173735.86,169636.88,169067.62,167421.95,163381.03,162200.56,159135.22,158240.36
204582.5,196083.25,204776.72,211061.92,215880.45,218846.19,215401.47,216860.97,212174.88,210847.6,206426.66,205560.89,200898.78,196958.48,194239.48,197900.9,193181.36,193775.0,193430.02,188763.53,192417.31,191874.67,187361.45,188851.55,186068.06,181922.34,184655.16,181696.66,174674.5,180279.38,176978.11,175097.33,170454.53,171453.03,167548.9,168682.56,168472.6,163794.42,163437.23,160527.95,161207.42,158714.28
202672.62,197513.12,204121.75,215420.9,216155.75,216822.8,216148.38,212645.25,213048.58,209506.53,207499.0,202853.55,198256.23,196037.31,194757.5,196663.84,193184.19,195199.6,188264.06,193174.67,190043.9,187483.1,186823.56,186911.98,184947.44,185568.62,180993.88,180908.5,180862.31,178978.88,178090.94,174036.95,175211.1,174248.86,174145.31,169701.72,165667.4,163966.12,163627.44,159542.83,160577.6,158272.17
204330.19,196099.72,203839.88,212110.4,216002.6,217771.88,216886.31,215544.5,212693.75,210349.97,207168.5,206599.66,200961.45,199134.9,198704.88,196633.97,192562.9,191922.22,191393.78,193148.64,188965.97,188269.55,183414.44,184706.36,189874.31,183376.34,183397.47,181462.6,180755.03,177610.36,176868.47,174131.86,173140.6,173305.66,168204.0,166364.6,169090.12,166323.1,164396.1,161274.22,158862.95,162550.89
202825.28,196803.84,206028.25,213605.6,213481.56,219749.89,215425.5,215213.58,213215.06,207978.95,203736.34,205382.19,198460.53,199899.03,194996.75,194740.88,191462.9,193212.44,192512.66,189723.56,191434.19,188700.03,186156.62,187575.03,185945.08,186120.4,182963.75,180503.78,179905.19,182167.69,175517.75,171550.94,172438.17,171481.69,169036.03,169105.9,165627.38,172046.66,166136.53,160848.12,155797.34,159463.94
