Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
202310.7,182448.38,184014.64,184731.4,184509.36,183711.12,180183.53,182775.56,180035.97,180994.9,178327.77,180457.72,187203.78,187409.88,191537.56,192815.88,193418.94,190559.75,184293.0,189628.44,189527.4,191867.14
202302.6,184980.97,181763.66,186021.47,183263.75,183430.1,181680.5,182564.28,179010.72,179461.28,179387.69,179872.72,186391.19,190413.06,187082.5,189015.81,189489.44,190393.72,192856.53,189534.12,189464.4,189561.4
203363.52,183208.56,183412.75,183958.19,182970.62,180904.34,180627.53,177913.19,177815.97,180199.94,176213.27,184146.94,183515.25,187836.94,190661.17,190887.88,189534.69,191585.88,192859.81,190837.58,194335.19,192947.66
200255.94,184081.81,186220.98,184072.95,185574.84,183971.94,180370.62,178998.47,179513.39,176753.25,180571.22,184374.02,190354.16,183872.67,189136.48,191101.6,189406.8,190121.33,190687.6,188712.1,192998.94,192149.55
201619.58,180185.34,179231.1,183522.19,185221.77,179129.08,181336.03,181897.61,178948.33,180246.03,179119.47,181184.16,186857.2,188479.31,186774.47,186538.72,192257.89,192428.28,191349.27,191342.38,195595.88,189116.44
200451.6,184624.31,187399.1,183472.97,182795.53,182920.12,182192.39,178798.84,182095.62,176941.92,183522.38,183029.86,187549.81,185247.78,188166.47,188543.34,191621.39,190823.53,188539.83,193683.3,192032.5,193768.84
205270.27,185830.55,182792.98,182693.52,185136.05,179510.72,178605.12,178311.61,177992.8,177221.25,181648.6,184929.62,187480.06,183304.06,193824.88,191369.47,192968.02,189015.62,185947.48,187753.14,192437.75,191810.94
199770.25,183463.23,183453.45,183363.47,184415.83,183348.53,179092.53,182000.97,176895.53,181838.89,183008.56,183840.84,190508.62,187239.88,191313.22,189785.44,187437.16,188467.69,190852.66,191642.88,191262.47,189452.31
202751.56,184361.97,178546.47,181085.84,184130.81,184213.62,179464.38,179495.4,174638.08,179577.88,179234.27,181391.03,187693.78,184287.23,191700.56,192220.44,187893.92,194637.47,187642.25,189626.05,192990.1,186999.12
201280.47,181986.28,185044.0,183248.06,183499.64,183088.44,182100.89,176641.38,174917.47,180774.28,182598.0,185477.39,187010.66,187615.94,188110.38,189935.05,187771.78,190797.36,193633.66,190172.1,192273.08,192406.72
204510.66,185298.62,183050.8,186376.86,186025.1,182560.2,180868.98,179752.38,177376.94,177557.34,180192.56,182934.45,185973.66,185949.78,187870.38,190116.62,189627.53,186802.12,186903.06,189065.27,187160.28,189178.97
