Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
174886.28,174689.56,179420.0,174281.69,176408.62,172804.45,178311.34,179831.17,181421.12,178838.03,182939.28,181669.62,180350.28,185507.69,183938.9,181982.4,185489.28,192196.75,200293.55,203767.03
175784.9,180550.11,174826.47,175031.31,178529.0,175439.97,178791.4,178675.81,179722.19,181313.16,181466.5,182406.14,181382.47,185766.1,186628.12,184982.73,186995.66,193460.81,201249.25,202528.78
177776.1,177666.56,173470.94,178300.34,176709.05,175999.33,181620.2,179166.62,178569.25,180495.4,181023.14,181961.03,180720.1,182545.17,181093.4,182183.9,185858.78,193802.75,199191.11,201064.5
176877.5,176995.69,174847.56,176307.75,176398.2,180002.27,177705.72,177546.98,182597.39,178377.69,180228.97,178554.14,184835.77,181858.88,183030.67,185501.31,183582.84,190843.61,197391.0,199723.88
177373.4,178663.75,179067.88,176473.92,178766.81,176561.4,179966.78,179893.92,178436.62,177476.16,180133.06,182893.77,181357.88,180628.5,182128.23,186334.56,190310.0,196006.8,200416.11,204572.08
177333.8,175562.86,175314.36,176600.34,175418.31,177269.75,178683.25,181283.81,178484.4,180272.48,185142.4,175882.56,178592.0,182010.02,187872.53,187398.84,188639.83,193731.02,197155.25,201082.75
179781.78,174565.4,177121.48,174600.75,178081.33,177304.16,178985.55,172000.66,178530.38,179537.1,180463.45,178180.11,180427.84,184210.75,183322.22,183862.4,185595.75,194984.73,200689.9,203283.34
171244.72,176861.62,177777.9,175213.0,180817.94,176584.31,177666.75,178933.81,180607.83,181358.75,177858.78,179792.94,178837.56,183974.44,182613.88,181439.23,190647.97,195961.47,202206.84,201660.88
176760.83,180378.22,178059.19,178031.03,180873.44,178102.84,181990.44,177545.69,181785.19,177141.84,180657.9,178391.94,178858.9,181450.62,184663.86,185311.05,188474.25,194749.14,199469.94,206834.6
173317.34,178690.64,176215.34,178097.22,180517.03,175546.1,178968.64,174068.42,176849.88,181186.98,175330.31,179042.25,182720.12,180461.75,185982.62,185467.12,184314.44,193873.6,199379.25,204574.28
178142.12,175702.12,177388.86,181002.97,176697.0,180956.78,175125.75,180167.73,178976.81,178061.16,180173.69,180535.45,184583.89,182186.69,186558.66,185263.5,185656.94,191992.67,199135.9,203520.11
174401.34,175462.83,178233.6,177002.0,178813.5,175307.39,176405.97,175016.56,176538.84,177874.34,181769.78,181170.84,181966.22,187902.75,181462.25,185223.97,189340.39,191958.1,200736.06,203756.77
179063.4,174417.78,176287.3,177541.34,177320.19,180028.52,179516.1,177178.81,178491.12,178655.44,178357.22,181306.67,181085.44,183522.11,179390.6,185819.94,188051.11,198836.94,204138.84,201575.53
177646.06,175771.9,175792.31,177360.28,177230.98,177790.84,177704.7,179944.05,177592.7,180118.48,178762.31,180566.22,182507.9,189489.1,185369.78,185282.3,187402.62,193573.28,200511.75,200406.78
178709.08,175371.6,174781.98,177219.44,175496.9,176541.2,181641.1,176980.58,178865.38,181075.34,178362.89,184310.98,181657.66,182037.05,182623.4,184788.33,186873.75,199112.55,199629.69,204090.75
175013.34,174769.38,180518.06,176602.84,179082.1,177943.61,177431.31,177998.83,177062.34,182396.08,180360.28,181331.22,182868.73,183890.03,181175.62,186808.42,190534.69,192282.66,200840.16,203662.38
177072.19,174550.38,178129.72,178811.81,176983.22,177012.16,176605.19,181977.72,179823.4,181364.31,179377.12,178544.03,184746.94,184045.06,182731.1,181853.05,187169.27,193553.56,200590.0,207485.78
176097.47,175462.55,176283.83,178058.02,178966.9,178106.75,180309.44,178235.77,178518.64,181186.38,178680.23,180104.5,181174.78,183825.0,182877.22,185603.34,187062.62,192554.48,201969.97,204449.4
180242.67,181332.61,177179.86,175826.28,174912.06,176871.81,171934.16,179223.7,179852.47,177953.77,181922.19,180152.03,181314.12,180397.84,182326.75,186870.1,187093.02,195628.48,201672.17,204435.81
174299.1,174188.98,172411.72,174326.98,177886.38,176323.84,180713.44,176631.1,183006.78,181467.88,177795.44,182966.22,183658.94,182523.25,186677.94,187621.28,188932.77,194703.0,198661.73,203363.5
174790.39,174992.05,178335.31,176531.44,177580.36,176265.16,179933.62,179321.86,182108.97,181826.56,177971.39,184360.5,178697.97,185305.03,184715.34,185698.36,184711.28,195352.1,196380.72,204021.16
174103.28,171706.36,178125.38,175156.94,178169.88,181198.75,176690.94,180002.9,181209.5,182936.0,182763.25,179156.31,182735.0,184183.88,183156.34,184970.77,186166.69,194982.84,200406.66,202849.95
179437.94,180533.88,177956.7,175176.56,176761.44,179611.72,179703.66,180841.12,176483.98,178312.83,181731.33,178324.38,179419.47,179791.16,182184.28,186007.97,187522.66,195790.19,201687.23,202590.58
172514.66,172431.19,177915.22,173782.27,178228.61,172796.8,175692.3,177851.6,179168.53,179654.06,180269.9,177483.81,179945.06,184207.0,186028.62,186240.73,187764.84,194859.16,200742.78,203123.94
176852.22,175992.34,176953.5,178270.56,178760.22,178343.22,182594.88,177680.19,181123.53,181326.97,181146.03,175453.4,182616.31,184058.5,183716.69,183453.88,187548.31,195721.98,201424.53,203025.81
177627.81,174193.1,173537.3,176016.44,179436.47,174746.88,179356.47,176157.44,176746.06,174041.9,181341.83,182347.47,181327.34,183433.81,186284.81,184251.78,191008.78,195092.22,198518.9,203012.25
174701.5,175753.67,179523.44,175290.23,177397.98,174157.88,178940.5,183316.11,181559.44,181958.25,179511.75,180470.44,180217.56,183250.66,180001.22,187469.67,192065.5,194658.53,201022.62,203281.2
