Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
202310.7,182417.34,183058.97,184026.97,180013.31,180361.9,184901.92,180183.73,181100.38,182370.17,179587.39,177546.31,177498.69,175972.11,178882.75,178717.34,176443.88,172756.06,174793.98,180829.7,176748.33,174644.1
202302.6,183468.53,179804.45,184234.1,184297.98,181673.0,182326.36,178851.86,178708.72,180163.81,176236.4,179860.14,176701.1,178183.36,172866.75,179654.64,179822.19,175745.08,176073.66,177942.73,179245.52,177299.31
203363.52,183895.47,182332.97,179415.56,184538.23,179700.75,184780.44,180458.0,183072.03,183207.1,178681.31,179902.66,176659.22,178894.6,174982.31,182031.38,178365.66,177006.02,175869.38,179841.0,179379.5,172929.34
200255.94,181843.84,181394.03,181310.5,184188.11,181576.31,181063.31,178457.4,179456.52,179636.1,179449.0,178738.03,178850.27,177851.55,179659.7,176897.69,176383.58,176879.66,175443.38,178243.05,176744.78,172852.97
201619.58,183175.86,183029.12,184128.39,184073.0,184916.78,180317.19,182075.94,180909.28,179151.81,179199.67,183547.3,174168.95,179442.56,178070.36,176639.58,179739.16,173858.98,175886.39,178421.78,174871.98,175204.81
200451.6,182995.0,182138.08,183395.38,182946.44,182685.69,181695.28,181863.6,179816.61,179412.88,176388.47,180764.5,182703.8,177508.3,177458.69,174862.31,176922.16,176522.88,176344.19,177408.03,178111.34,175092.6
205270.27,184333.34,185599.16,186501.25,182039.03,185372.62,177979.1,181862.28,179051.03,179113.06,182308.25,176097.72,179720.12,179293.69,175743.9,181471.56,177242.5,175202.25,181502.62,178250.22,178857.1,175619.33
199770.25,183168.95,181733.25,186290.25,182028.47,177957.56,180893.52,178375.12,182874.7,181699.83,182286.16,177293.3,177666.25,176798.94,176813.28,182903.23,179634.6,175585.36,179649.72,178999.72,177873.9,179140.58
202751.56,180722.5,183326.0,184370.34,184495.4,183281.0,183182.6,183123.6,179302.0,176743.8,175856.36,181452.75,175549.34,180013.67,178971.53,178830.84,177756.52,177186.72,177960.45,180926.44,174606.16,174204.22
201280.47,183290.66,182029.38,181794.34,183006.55,183728.8,182409.62,181573.38,179378.78,178300.2,181760.53,181876.16,177355.5,176423.6,171797.64,176245.03,177604.84,176479.0,173102.94,174803.78,183309.1,179946.53
204510.66,186270.23,183300.84,183399.16,183359.17,182285.84,184524.97,181516.78,180937.28,178981.0,178201.23,181451.95,177525.22,176731.56,175206.39,176552.38,177706.81,171735.97,182053.0,180613.94,178140.47,176551.58
204466.55,184505.9,183827.38,183424.44,184108.77,183459.34,183111.6,178743.28,181207.1,178507.58,181703.83,178224.03,180315.5,178932.31,178979.38,178466.19,179453.25,176413.45,174480.84,180498.5,175922.53,176055.81
205739.0,186953.5,183394.12,183978.56,182610.0,179618.97,182239.0,180333.69,180283.9,184786.06,179937.19,178246.08,176559.27,174715.75,178392.84,177032.88,176814.72,175528.31,175659.62,177618.33,176364.16,177303.22
199942.22,187118.11,180451.5,184276.03,184386.53,183274.62,179825.88,180391.84,181975.66,181909.94,180434.95,180606.81,177365.5,176300.27,178817.89,178104.4,175379.06,177708.75,174766.47,177612.28,177934.83,174607.86
200644.03,182943.19,182914.4,183378.28,186397.1,179930.66,181783.52,182850.53,183997.55,180043.06,178372.28,180331.39,177388.4,177809.1,177900.0,178162.12,179064.6,179790.86,173464.31,177343.19,178534.4,178196.55
202166.98,182635.72,182694.12,184673.62,179975.97,182079.06,183345.38,181004.17,180812.12,182200.47,182083.06,176846.62,175785.5,178754.75,175284.81,177411.44,174630.06,174059.8,177794.06,178778.6,177382.52,178464.69
205907.9,186112.12,181933.16,181064.78,184535.84,178821.22,181664.12,185443.33,182779.08,183904.58,181438.02,179586.47,176763.66,181680.66,173966.95,175725.5,177638.22,174365.17,176766.22,177949.0,177918.97,178316.92
204601.44,184675.8,181963.7,185617.22,184370.44,181229.11,179288.44,179301.69,180543.12,179245.94,179224.16,180008.97,176315.9,178189.94,179749.73,176747.58,178194.25,176197.03,178272.62,179374.1,175554.17,178401.56
197331.12,186094.56,184773.66,183782.88,186422.58,184176.38,183673.28,183361.77,179907.5,178657.34,178305.31,179517.52,176654.34,176484.53,176448.6,178891.12,176096.06,177176.38,176372.97,177302.62,179445.22,172937.62
202134.03,183068.4,185496.78,182165.06,184270.34,183719.69,178352.1,180759.33,179406.34,177136.12,180290.28,178248.16,177431.31,179836.4,176307.6,173913.69,176036.28,178625.66,176678.31,180335.58,177454.97,176857.73
204452.5,188572.28,183499.69,184115.25,186013.22,182251.9,183667.98,183152.03,179089.94,181591.48,177690.1,177570.38,177037.1,176106.3,180477.38,176850.47,181031.67,175847.8,178465.19,178512.08,179655.1,176351.19
203348.39,183576.6,184080.4,183112.97,182898.56,183964.12,182859.95,179045.5,182157.06,180390.06,177044.47,180672.94,177235.8,178909.1,174038.28,174670.97,179583.0,176903.72,176758.75,182384.25,181306.97,180340.6
201246.62,182670.39,181929.1,184347.08,184734.56,185000.06,184286.61,180889.94,184673.94,180801.94,180745.61,181857.72,177752.22,179464.77,179765.34,178501.1,175383.03,177235.28,176819.22,177700.16,176625.2,178173.0
204582.5,183608.19,185007.66,182465.94,183463.4,182243.6,179710.75,180225.75,182458.0,182510.83,176079.56,182130.78,178059.81,176099.78,178233.75,175604.94,177617.53,178506.16,175424.0,177269.6,179972.19,175341.5
202672.62,187242.58,185907.72,184427.88,185175.78,179766.31,184852.56,183054.53,180535.12,182135.12,180013.44,177000.98,179555.17,179369.73,179666.0,179289.66,178669.53,176186.53,176475.34,179698.33,176903.81,177121.97
204330.19,182665.28,181157.19,184026.34,180284.83,184180.53,183696.02,180313.48,179826.14,177644.45,180738.75,181588.38,180546.9,182102.31,173849.06,182255.62,177976.66,175090.69,180753.06,180303.11,179022.33,178424.45
202825.28,182299.58,183978.03,178784.73,179782.31,180128.36,180725.39,180005.48,181778.72,182354.45,181683.1,177874.66,178017.06,175058.66,175784.34,179445.27,176649.45,177010.8,178392.03,183360.89,178571.31,177891.72
201684.52,183349.9,183102.31,182414.0,182914.4,187538.28,182046.55,185756.33,182148.75,179661.45,179203.12,179168.6,179447.83,176638.44,176542.52,175500.78,177330.02,177859.31,178233.78,178194.88,176712.22,180184.95
204431.56,184286.75,185703.9,185690.16,184893.6,182942.66,185168.84,183124.69,180668.81,182298.38,179996.06,181664.81,179850.48,176101.03,175766.62,180597.58,177963.81,177325.56,179271.2,179067.27,178896.25,175133.7
202023.0,185257.16,182836.44,183203.1,182863.28,184785.47,180918.33,180022.95,180942.78,182007.56,182704.8,175669.89,179076.72,180629.31,178517.58,175802.66,181869.7,178116.19,178215.03,181259.31,178677.62,175036.72
201964.72,186527.75,182025.88,185564.27,183154.84,183622.72,182262.72,180972.52,182155.97,179548.66,178334.44,180725.28,180114.28,177890.28,176702.22,176585.08,178691.03,175388.9,176036.2,177064.9,179022.19,176048.5
203601.6,183013.89,183332.08,180117.58,184113.28,179596.5,180954.88,179349.0,182608.3,184397.0,180752.6,176152.97,178476.25,176788.88,178833.22,177908.12,176386.66,179271.61,175938.16,183123.86,176808.06,176371.69
201353.67,185959.78,183265.81,181867.03,184659.7,183402.39,180621.53,182323.45,184668.14,179161.92,175912.94,181305.12,181411.53,178637.69,177352.12,179357.5,178306.25,176218.42,175084.16,175688.03,176816.38,180151.97
204649.5,185125.47,182714.84,181855.16,186189.47,182466.5,182600.25,183034.66,178224.05,180996.94,179716.6,173877.53,180317.31,178811.22,177382.38,177160.11,175676.1,177509.5,181325.3,179963.0,176946.75,174823.4
202919.86,182945.8,180972.05,182939.75,182315.12,180778.53,181373.7,181586.58,181923.38,180462.84,178301.64,178574.67,175115.81,176499.19,178950.53,178007.77,176877.22,177891.25,175891.56,178567.0,177859.77,174371.47
