Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
202310.7,185023.95,181379.1,184376.08,187473.72,185156.42,187981.72,185098.9,184766.9,184282.44,183539.36,185479.44,185322.4,183498.25,185954.48,181584.19,183728.22,183613.45,184195.44,186428.16,181166.03,182772.88
202302.6,184836.0,186162.36,184871.12,185023.78,179863.7,184233.47,183551.5,187397.45,187595.03,184318.56,182534.88,184162.5,184609.84,185805.38,185138.88,185549.34,186057.25,184012.52,183884.94,185576.92,183337.97
203363.52,185526.9,184787.56,184628.94,189157.4,183907.8,182254.72,184272.06,186502.97,185107.78,184764.69,187642.5,187802.14,185388.69,183577.5,183794.56,185117.47,183304.94,182896.17,182977.03,183871.58,182293.16
200255.94,184397.3,183324.17,184605.22,185996.86,184022.0,185254.78,183515.62,186340.61,185645.47,182230.64,184893.84,182030.5,185417.6,189244.47,182599.34,185460.17,181876.44,183752.81,182645.16,183217.5,178596.62
201619.58,183175.1,181761.44,187136.1,185584.88,182871.56,182888.31,184100.44,184321.73,185393.34,185663.58,182136.16,185382.0,186387.03,186586.47,186630.67,185696.03,180670.44,182190.28,185976.3,185321.7,185209.81
200451.6,182942.44,182166.03,180076.19,184762.16,185492.53,185374.78,183341.47,184869.5,183979.9,186991.1,183318.06,183967.84,183144.53,183936.4,185661.81,187379.22,184634.33,186904.33,182765.62,184297.56,181865.94
205270.27,184376.31,181332.05,182891.4,186955.66,184822.77,186844.72,181986.03,184484.84,184223.88,185425.22,185210.31,185932.56,186020.53,184499.12,186675.69,185011.61,181234.3,186126.55,184168.12,182102.25,183637.05
199770.25,187626.53,184318.1,181615.92,188346.23,184199.47,191814.9,183972.66,188282.6,183961.22,186673.06,182143.2,185668.39,184256.6,183168.28,184485.11,184778.38,183158.56,185513.78,182543.92,182696.62,186265.3
202751.56,184816.22,186283.22,184803.17,182967.98,185188.72,187349.06,184690.69,187146.75,184062.1,184065.6,182793.1,189226.44,183908.38,185834.1,183383.39,183723.8,184815.34,185225.66,182881.11,184712.78,184255.16
201280.47,182514.0,184112.69,184837.05,190734.06,183517.6,188920.12,186093.72,183459.69,187971.62,184310.23,185600.4,186312.4,184373.84,184996.31,182218.86,182651.9,185056.4,182173.12,185093.94,186707.6,182108.4
204510.66,187151.34,183940.36,181330.48,186137.83,182650.73,186840.97,183894.53,184755.56,186630.53,183721.75,185400.16,186138.95,184854.2,186631.9,182204.44,185716.14,178454.97,184805.84,186461.56,184322.58,184062.92
204466.55,185250.25,184495.0,183888.62,187625.48,183531.22,188964.12,187142.69,186466.72,185694.25,184582.97,184331.72,183407.78,188094.56,187326.62,182166.47,181618.19,185141.69,184098.36,184566.66,183109.28,182642.12
205739.0,184323.56,181563.44,184613.9,185951.16,185969.25,183842.9,186138.84,185979.28,187561.62,185881.53,182905.53,183308.86,182857.38,185727.98,184566.5,183345.28,188197.69,186238.12,188570.6,183386.22,183227.31
199942.22,185511.0,185393.0,184790.73,185996.2,188827.06,183152.81,186636.97,184432.16,187509.9,186869.03,184021.03,182249.78,183558.23,184504.0,183091.38,185333.81,185625.05,182765.1,184680.62,186534.69,182135.9
200644.03,183343.44,186959.81,187052.1,185885.75,183727.47,183979.56,181788.34,187010.84,186059.03,182782.53,187404.31,185002.6,185908.05,186108.25,183462.02,184960.97,186738.5,187134.38,184148.0,185735.34,183596.25
202166.98,185534.56,184225.72,183556.3,183827.1,181964.72,186648.28,185248.22,185132.69,187624.75,181435.12,187077.34,188890.56,190502.38,185371.86,185204.78,184176.08,183816.4,184375.28,181361.1,180061.31,184971.38
205907.9,186123.25,182333.05,183451.53,184995.78,183542.66,188761.55,186205.06,188335.53,186901.69,185548.95,184008.48,186096.0,185148.16,187422.94,183726.16,185267.9,182637.17,181742.75,185468.78,183989.84,184224.12
204601.44,182412.31,187014.69,183110.03,183613.66,181622.25,186234.84,185759.6,184348.03,183548.69,184891.92,184120.9,187548.64,184279.4,183747.72,184130.72,186849.69,185848.56,183046.06,181770.78,186531.34,182094.58
197331.12,182948.55,183822.4,183539.0,184464.78,183496.5,186957.28,184907.66,184313.69,187050.12,183757.22,183639.89,185952.38,187623.1,186478.56,184309.77,184835.77,182212.7,181954.53,183455.97,186906.92,180818.97
202134.03,183803.14,182449.12,184530.62,188683.56,183778.0,186354.89,180711.81,186115.28,185499.9,183391.48,184227.11,185927.3,185215.94,183807.97,184739.0,186787.11,183471.58,185412.47,184516.66,184057.61,182447.55
204452.5,184726.02,184487.72,186092.66,185284.12,182467.62,188974.27,186471.19,187894.38,185239.73,183877.97,183799.31,182433.03,187167.34,186628.66,187636.2,186293.25,183236.77,181267.94,184819.78,184972.4,182456.44
203348.39,184988.77,186033.31,185379.38,184943.81,184594.88,186596.31,185782.25,185074.3,184194.62,187311.34,188730.89,187537.56,185059.84,185568.03,183277.56,183399.4,181742.66,186338.7,183645.94,187117.47,183359.5
201246.62,182542.6,184444.73,185023.56,186977.9,183646.4,185591.31,183702.22,181734.19,186014.06,186768.0,181900.19,186928.9,188552.64,185910.47,186221.48,188561.38,183663.55,185331.27,181769.97,183439.53,181842.6
204582.5,182994.0,182966.1,185055.2,187709.38,186194.44,184529.4,188187.28,186989.22,188238.38,186911.1,183708.17,182521.72,188210.61,189517.1,180462.97,185486.58,182965.53,184487.55,183422.4,183441.31,181815.84
202672.62,186568.98,184313.33,181642.94,186117.56,182150.58,187674.06,186891.31,190105.61,187886.08,186274.88,188176.31,187925.14,186673.03,187991.66,185268.17,184962.94,182098.5,181216.16,185378.95,184240.19,182000.4
204330.19,183286.38,183446.58,178066.78,187460.75,187025.53,184979.56,186521.4,189690.9,183803.72,188141.78,182722.25,187442.25,186852.75,186503.5,184442.31,185618.53,183795.03,185840.98,183536.03,186380.75,183272.56
202825.28,188183.66,183028.97,180618.94,186284.0,184130.89,185007.78,182827.86,185300.9,185386.75,183476.42,183969.34,187418.4,185941.75,185742.39,183901.84,182205.48,180242.84,183828.0,185718.47,184010.72,182140.53
201684.52,182561.5,183866.06,184772.08,189009.47,185155.03,185691.47,183891.95,187452.78,182468.95,184913.56,186112.62,185005.06,185871.53,185334.47,184010.72,186511.3,183705.53,184234.28,181757.47,182873.92,181362.16
204431.56,186989.69,182565.11,183729.75,189050.5,182406.86,186507.12,183653.4,188786.6,186629.52,187650.78,184103.72,183561.78,186613.88,186175.94,185431.89,187095.1,182826.0,183744.44,183270.6,185564.66,180265.61
202023.0,187319.4,182636.12,183940.34,184747.12,187984.69,188405.1,186735.5,186468.72,188080.72,186018.25,185848.72,184464.67,186465.94,184626.19,187462.88,186336.61,184443.11,185766.2,184039.31,184058.62,186269.27
201964.72,186878.81,186212.42,183626.16,187098.78,188766.56,185820.81,184624.4,183652.03,187632.9,184317.28,185922.81,184315.69,188447.45,185595.19,183624.39,184005.39,184201.3,184368.83,184905.06,184689.12,183360.39
203601.6,183112.95,185646.5,181732.94,186986.31,185943.47,186136.45,183424.69,185698.06,185469.72,184355.45,185988.31,185015.69,185019.53,185450.69,180680.38,183036.8,185285.33,182679.28,188192.16,183831.64,180317.12
201353.67,188020.48,184838.39,183018.44,185386.6,183688.81,186856.94,183698.88,186014.98,185174.72,187507.31,182075.12,187446.06,182300.27,185247.22,182750.95,185795.33,183966.77,187117.55,184248.6,183306.58,183476.31
204649.5,185951.03,182865.22,182165.64,188318.12,181019.84,187897.7,182276.61,183888.47,186407.31,182777.88,183737.28,183368.61,185615.44,188515.78,185850.81,184522.25,184514.34,186776.1,182043.84,183802.6,184321.44
202919.86,186190.38,184694.47,185142.86,183814.0,184629.34,184832.86,186484.44,184257.06,186770.75,185498.69,184090.94,186536.6,186796.69,184845.47,185041.73,183404.31,183699.25,184655.11,182676.9,186051.12,182245.56
202795.88,183034.53,184157.84,185465.97,187497.77,185619.8,183462.9,186490.47,182363.81,186524.23,185584.62,183222.94,183454.56,188070.33,185348.56,184951.06,184957.55,182639.22,184738.75,184115.44,185954.44,182461.14
201807.38,183258.78,182889.47,182356.89,187584.9,185536.77,189606.78,186397.16,184120.8,184561.53,184331.92,185947.9,185114.03,188790.58,187463.47,186032.34,186737.94,183041.31,185430.5,186764.31,181403.25,184790.28
204989.81,182885.88,181987.47,183269.25,187594.05,185970.66,187969.31,183185.05,185387.31,187018.69,185202.0,181327.1,181027.78,184076.12,187134.94,185638.97,185639.53,183034.66,181125.38,183693.78,183151.25,184537.62
205360.78,183108.19,184003.95,180767.94,187249.56,184818.44,186584.25,187613.28,185398.78,185123.69,184932.52,184769.72,187619.84,185187.9,186955.9,188628.97,184052.16,182284.83,185615.22,182606.84,182343.44,185958.97
201036.84,184321.22,184097.36,181276.62,188161.88,178767.25,188805.08,186247.38,188066.77,188421.94,184858.36,182534.12,184049.23,184716.72,186258.9,185084.23,183440.92,183351.03,184461.8,183303.88,186054.69,181476.73
203179.38,181951.75,185185.2,182539.12,187080.28,181457.23,188647.28,188310.55,185896.53,183832.22,182163.12,184070.78,184936.44,186338.34,183789.45,183934.69,185117.66,186065.8,184247.14,184248.66,185648.25,179606.14
203818.5,183420.62,187491.72,183202.86,186024.19,186212.6,185942.38,184972.0,185135.66,183074.06,185064.97,181504.31,183082.39,186170.12,183271.55,183535.94,183530.38,182010.69,183491.72,183228.22,181743.06,183614.88
200918.56,187765.45,184200.11,184172.48,182893.94,182678.6,189473.53,185730.94,184660.48,187788.1,184187.9,186208.19,185393.6,186786.06,187030.12,182854.66,184395.17,184608.06,183238.16,184793.69,181342.4,182398.83
205410.03,184372.02,184235.14,182324.22,190517.72,183132.44,186566.08,185895.25,185227.06,186137.22,186753.03,183888.0,182546.19,184597.88,185803.25,181540.5,183297.22,183078.64,183185.42,185645.81,185684.81,180615.64
202269.62,181504.72,182413.06,185142.0,187084.53,181221.8,188079.69,182944.56,185826.31,186889.11,186534.4,185508.38,183670.84,186987.0,181263.78,186540.16,185135.62,182401.31,187697.4,184521.78,181836.1,183419.12
