,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12430688,21399547,29276556,36466382,43173185,49496227,55519776,61289154,66841268,72207158,77402654,82440108,87327702,92079117,96704742,101218624,105618323,109904997,114094792,118169118
Trial 1,888260,12430101,21396815,29275474,36469161,43171470,49499102,55521779,61292843,66842106,72205140,77403964,82438443,87329213,92077316,96702633,101221682,105617957,109905784,114096602,118170631
Trial 2,889363,12430361,21398613,29276767,36470184,43171891,49500163,55520966,61291389,66841661,72205721,77402642,82440806,87326956,92081427,96701109,101221936,105620058,109903823,114095526,118169635
Trial 3,889695,12427994,21394618,29276787,36466552,43174569,49499148,55522175,61291978,66843911,72205219,77400180,82437771,87327698,92079724,96703960,101219856,105620104,109903718,114097840,118169412
Trial 4,888597,12430680,21397567,29275422,36467238,43171817,49498856,55523074,61291920,66841761,72204732,77402184,82438311,87327327,92080244,96706514,101219708,105619309,109903756,114094594,118168990
Trial 5,889439,12428598,21394182,29273799,36469905,43167180,49499726,55520533,61289938,66841191,72206028,77402225,82442419,87328288,92079133,96706205,101217106,105618555,109904541,114091535,118168584
Trial 6,885252,12431514,21394467,29273453,36468759,43172038,49497305,55521731,61292281,66843106,72206941,77402029,82441080,87326494,92077814,96706291,101222202,105618487,109903964,114094268,118168115
Trial 7,889562,12431492,21396877,29277463,36467517,43174822,49499628,55520145,61289667,66842415,72206459,77402373,82439507,87326702,92079100,96704658,101220817,105618962,109903250,114094068,118165997
Trial 8,887401,12428751,21395699,29277750,36466084,43172087,49496232,55520144,61289448,66839815,72206239,77403327,82439091,87329543,92079161,96703660,101223509,105619813,109903282,114096823,118168161
Trial 9,887857,12431119,21396396,29276816,36467261,43172149,49498880,55521954,61290268,66839543,72205680,77402209,82440678,87329292,92078204,96705608,101219268,105622491,109903627,114094624,118168288
Trial 10,888525,12428899,21396389,29278375,36466661,43172057,49493283,55519423,61289048,66841336,72205706,77402124,82441726,87327468,92081851,96703430,101221282,105619835,109905495,114094021,118168941
Trial 11,888213,12430279,21396015,29277585,36468833,43173156,49498564,55520331,61291681,66841683,72209228,77401344,82438757,87328101,92078547,96707493,101217720,105618909,109904198,114096738,118170643
Trial 12,886462,12430987,21396587,29276750,36470664,43175697,49497010,55521410,61288700,66840750,72207435,77401794,82439635,87328453,92077081,96706180,101221965,105620788,109905001,114095671,118169232
Trial 13,889979,12431291,21395771,29278279,36467245,43174070,49497857,55519840,61289423,66843952,72207623,77402483,82438661,87329246,92080727,96705573,101220175,105620360,109905062,114095963,118169325
Trial 14,892274,12434228,21395323,29277615,36468317,43171918,49497382,55522586,61289029,66838881,72207818,77402514,82438519,87327894,92082622,96706651,101222488,105617053,109907312,114095441,118168541
Trial 15,886094,12428927,21395976,29279994,36467863,43168747,49498746,55519998,61288860,66842541,72205828,77401559,82440310,87327928,92076367,96705392,101223050,105621443,109904015,114095153,118168922
Trial 16,888461,12429532,21396687,29277205,36468724,43169335,49496863,55521280,61289895,66841485,72209138,77402481,82441383,87326294,92078296,96705449,101221275,105619563,109904784,114091463,118169879
Trial 17,888263,12429943,21396718,29275414,36470162,43171127,49499108,55521596,61292407,66843035,72205965,77403666,82440196,87327199,92080026,96705742,101220371,105617897,109905579,114093094,118172793
Overall,11876552,20923715,28851123,36074500,42802475,49147425,55186036,60968748,66531178,71906217,77111300,82157740,87053754,91812560,96444759,100967204,105372464,109662897,113859905,117939751,121921575
