,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12429512,21386351,29242953,36416895,43108684,49421419,55440944,61215322,66784349,72180952,77419954,82515106,87475770,92316254,97048264,101682017,106213542,110653928,115005099,119257139
Trial 1,888260,12429570,21384136,29242197,36420120,43106386,49423203,55443339,61218536,66786023,72178769,77420020,82512979,87477032,92313783,97045370,101684269,106212027,110654269,115006263,119258319
Trial 2,889363,12430024,21385788,29244214,36420826,43107712,49425376,55441141,61218011,66785603,72179171,77418099,82516132,87474879,92318664,97045466,101685030,106213420,110652944,115005659,119257816
Trial 3,889695,12426419,21381426,29243608,36416983,43108821,49423910,55443751,61218651,66787622,72177153,77416552,82512890,87476164,92317082,97047444,101682644,106214768,110652537,115008458,119257924
Trial 4,888597,12429717,21384245,29242883,36417697,43106726,49423441,55444151,61217895,66786729,72176962,77418562,82512981,87475945,92317014,97049974,101682771,106214369,110651433,115005062,119256015
Trial 5,889439,12428036,21381865,29239973,36420962,43102671,49425358,55441391,61216956,66784923,72178449,77418600,82517072,87476690,92315551,97049948,101680257,106213301,110653038,115002074,119256485
Trial 6,885252,12429750,21382012,29240692,36418885,43106923,49421928,55442126,61219089,66787254,72180022,77419229,82516332,87474963,92314132,97049852,101683921,106212919,110652861,115004819,119255861
Trial 7,889562,12431091,21383888,29244778,36418208,43109159,49424831,55441133,61216798,66785852,72179920,77418853,82514663,87474842,92315962,97048343,101683516,106213854,110651792,115004662,119254467
Trial 8,887401,12428175,21383460,29244614,36416354,43106332,49421838,55440661,61215575,66783646,72179591,77419772,82514534,87477513,92316468,97047068,101685883,106214659,110652691,115007072,119255509
Trial 9,887857,12429997,21383487,29244097,36417964,43107518,49424407,55442954,61216505,66783712,72178669,77419015,82515230,87477301,92314993,97048586,101682018,106216894,110652988,115004219,119256594
Trial 10,888525,12428560,21384183,29245552,36417246,43106586,49417847,55440509,61215103,66785346,72179047,77418371,82516263,87475403,92319246,97046313,101684093,106215140,110654906,115004886,119256464
Trial 11,888213,12430913,21383542,29244022,36419823,43108080,49423875,55441566,61218111,66785780,72181874,77418047,82513103,87475406,92315266,97050537,101681169,106214203,110652897,115006703,119258078
Trial 12,886462,12429825,21383708,29243935,36421675,43110242,49422688,55442691,61215525,66784701,72179916,77417699,82514510,87476245,92314065,97049805,101684414,106215346,110653503,115005599,119257531
Trial 13,889979,12430948,21382961,29245141,36417104,43109073,49422772,55441208,61216417,66787973,72180950,77418262,82513573,87477439,92317816,97048545,101682545,106214375,110654181,115006915,119257552
Trial 14,892274,12433374,21382762,29245628,36418413,43106935,49422227,55443880,61215674,66783133,72180375,77419678,82513529,87476116,92319314,97049399,101684757,106211383,110655994,115004667,119256785
Trial 15,886094,12428565,21382990,29246497,36418051,43103237,49423228,55440401,61215499,66786053,72178868,77417022,82514593,87476219,92314305,97048730,101685118,106215717,110652901,115005276,119256340
Trial 16,888461,12429171,21383774,29244332,36419325,43105097,49421155,55442274,61216209,66786374,72181433,77419178,82515291,87474770,92314945,97049670,101683814,106214342,110653855,115001971,119258375
Trial 17,888263,12429009,21384126,29242683,36420962,43106312,49423902,55442238,61217784,66786439,72178935,77420128,82515149,87476398,92317243,97048871,101682486,106212141,110654286,115003505,119260606
Overall,11876552,20912283,28819193,36025976,42738144,49072709,55106796,60894243,66473663,71876779,77124543,82228519,87196966,92043530,96781385,101422286,105958238,110402524,114760012,119017211,123182705
