,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12429008,21389357,29252727,36428649,43119942,49434488,55458266,61240947,66819989,72229382,77485360,82600837,87580751,92443574,97201491,101857308,106408080,110863095,115224592,119483175
Trial 1,888260,12429375,21387462,29251984,36432018,43117699,49435125,55459793,61244976,66821636,72229015,77486325,82599267,87581537,92441982,97198881,101860301,106407849,110863659,115226301,119484091
Trial 2,889363,12430820,21389425,29254173,36432532,43118695,49437767,55458745,61243673,66822186,72228831,77483981,82601948,87579507,92446496,97198159,101860792,106409368,110861778,115224648,119483006
Trial 3,889695,12427003,21384920,29253031,36428888,43121186,49436934,55460455,61243264,66823545,72227876,77482430,82598414,87580883,92444867,97199935,101858517,106409969,110861989,115227321,119484062
Trial 4,888597,12430465,21387362,29252436,36429241,43118073,49437131,55460795,61242949,66821590,72227581,77483575,82598347,87581156,92444457,97201955,101858314,106409449,110861401,115223475,119482513
Trial 5,889439,12428340,21385744,29249705,36432859,43112829,49437378,55458696,61241872,66820462,72228281,77484673,82602430,87582185,92444006,97202677,101855952,106408705,110861914,115221334,119482430
Trial 6,885252,12429910,21385284,29249910,36429879,43117819,49435353,55459097,61244996,66823121,72229762,77483933,82601368,87579339,92441795,97202543,101859848,106408199,110861154,115224513,119481276
Trial 7,889562,12430894,21388293,29254073,36429675,43120353,49437362,55458110,61242641,66822232,72229200,77484320,82600203,87580034,92443650,97200879,101859423,106408442,110860867,115223923,119480439
Trial 8,887401,12428698,21386786,29253865,36428072,43118978,49433576,55457920,61241370,66819729,72228487,77485529,82599994,87582102,92443861,97199341,101860890,106410130,110861665,115226033,119481624
Trial 9,887857,12429547,21387909,29252875,36428602,43119186,49437221,55459484,61242903,66820055,72227331,77484833,82600880,87582028,92442305,97201131,101857595,106411851,110862170,115223550,119482350
Trial 10,888525,12428172,21388311,29253941,36428941,43118894,49431629,55456496,61240485,66820597,72228516,77483776,82602080,87580779,92446687,97200079,101859456,106410348,110863249,115223471,119482204
Trial 11,888213,12430313,21386698,29253743,36430831,43119454,49436740,55458760,61243986,66821365,72230584,77483938,82599852,87581107,92442419,97203404,101856076,106409340,110861339,115226001,119484277
Trial 12,886462,12430317,21387405,29252730,36433617,43121808,49435207,55459128,61241538,66820211,72230120,77483293,82600730,87582010,92442004,97203148,101860042,106411092,110862731,115224038,119483619
Trial 13,889979,12430752,21386090,29255026,36429571,43120047,49435760,55457506,61241648,66824293,72230327,77483980,82599445,87582640,92445091,97201418,101858456,106410000,110862646,115225023,119483576
Trial 14,892274,12434696,21385956,29254448,36430108,43118217,49435346,55460825,61241645,66818813,72231026,77485154,82599064,87580363,92446457,97201908,101860101,106406265,110865088,115223585,119481904
Trial 15,886094,12428555,21386743,29256572,36430795,43115225,49436374,55458215,61241013,66822010,72227872,77483842,82601139,87580015,92441536,97201637,101860598,106411203,110862017,115223765,119482393
Trial 16,888461,12428728,21386893,29253752,36431275,43116514,49434637,55459032,61241904,66822288,72231565,77484054,82600914,87579015,92442163,97201942,101859236,106409755,110863002,115220898,119484039
Trial 17,888263,12429255,21387348,29252074,36432222,43118367,49437029,55459723,61244053,66822536,72228452,77485706,82602320,87580738,92444555,97202148,101858079,106407073,110864117,115222392,119485639
Overall,11876552,20915415,28828482,36037879,42749565,49085373,55123237,60919358,66508666,71925537,77188989,82313176,87300448,92169447,96932728,101596601,106152513,110610786,114978440,119242678,123409324
