,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12430424,21399474,29277920,36471102,43180969,49504039,55530687,61298716,66845915,72211093,77409870,82446674,87333476,92083732,96714459,101229478,105629858,109920820,114113355,118196811
Trial 1,888260,12429817,21397233,29276397,36474182,43179110,49505845,55532482,61301302,66847453,72210743,77409955,82445903,87334841,92082684,96712482,101231796,105628934,109921684,114115000,118197761
Trial 2,889363,12431090,21398033,29277953,36475085,43180074,49506909,55530303,61300791,66848138,72210375,77407083,82448251,87332452,92086493,96711755,101232348,105631625,109919414,114114275,118196818
Trial 3,889695,12427861,21393946,29277740,36470539,43181881,49506144,55532842,61301414,66849951,72209764,77405626,82444915,87333696,92085356,96714527,101230395,105631537,109920314,114116568,118197459
Trial 4,888597,12430922,21397947,29276626,36471458,43179150,49506147,55533050,61301676,66848154,72208281,77407494,82445794,87333145,92085044,96715997,101230192,105631134,109920005,114113392,118196427
Trial 5,889439,12429155,21394957,29275289,36474434,43175658,49506743,55530195,61300144,66846576,72210442,77407827,82449151,87334246,92083646,96716960,101227523,105629883,109919994,114110057,118195738
Trial 6,885252,12430453,21394260,29275444,36472675,43179423,49504373,55530813,61301973,66848373,72212311,77408056,82448388,87332366,92082902,96716586,101231990,105630409,109919903,114113348,118195839
Trial 7,889562,12432120,21396850,29279214,36471953,43182748,49506979,55530139,61300355,66848484,72211106,77407835,82446927,87332786,92084751,96714944,101230536,105630690,109919207,114113073,118193992
Trial 8,887401,12428329,21396095,29278708,36470188,43179253,49504250,55530029,61298485,66845401,72210578,77409572,82446196,87335027,92084764,96713095,101233550,105631439,109919920,114116045,118195923
Trial 9,887857,12430921,21396670,29278019,36471297,43180366,49507526,55531702,61299678,66845594,72209635,77408731,82448060,87334773,92082859,96715336,101229914,105633880,109920441,114113364,118196266
Trial 10,888525,12428932,21398515,29279125,36471241,43178950,49500662,55529908,61298426,66847094,72211516,77407823,82448482,87333671,92087026,96713747,101231878,105632050,109922389,114113006,118196117
Trial 11,888213,12430998,21395962,29278121,36472855,43180837,49506158,55530807,61300891,66847265,72213767,77407269,82445746,87334255,92083537,96717129,101228689,105631144,109920254,114115306,118198162
Trial 12,886462,12430417,21396832,29277766,36475959,43182577,49505919,55531617,61298304,66846201,72210938,77407203,82446692,87334843,92081948,96716329,101232893,105632375,109920903,114113158,118196700
Trial 13,889979,12431193,21394829,29279547,36471239,43181378,49504974,55529946,61298498,66849509,72212888,77407357,82445262,87335700,92085811,96714774,101230071,105632275,109920880,114114761,118196684
Trial 14,892274,12434946,21395612,29279390,36472390,43179694,49505026,55532877,61298828,66844859,72211655,77408693,82445562,87333622,92087382,96716180,101232765,105628527,109923224,114113248,118195754
Trial 15,886094,12428679,21396651,29280913,36472460,43177039,49506169,55530713,61298155,66847973,72211110,77406614,82447656,87334260,92081767,96715606,101233230,105633291,109919920,114113714,118196050
Trial 16,888461,12429470,21396843,29278200,36472676,43177627,49503901,55531614,61299986,66848054,72213870,77408361,82447570,87332115,92083222,96715891,101231326,105630807,109920884,114110400,118196312
Trial 17,888263,12430568,21397310,29276385,36474742,43179058,49506177,55531393,61301159,66848653,72210784,77409791,82447631,87332820,92085461,96715243,101230428,105628667,109922365,114111437,118199234
Overall,11876552,20923860,28852136,36078718,42810202,49154696,55196251,60978476,66537130,71910816,77117051,82164928,87059830,91817429,96454815,100977500,105383895,109679003,113878110,117966833,121955034
