Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
196120.88,187585.72,191410.44,186314.83,188089.78,187617.53,186978.16,187569.9,185420.25,181213.67,175969.28,186704.02,186541.94,180861.6,183396.6,185926.25,182737.25,185162.34,183116.84,185433.17,180395.34,185337.78
195992.28,189980.06,193221.84,186334.25,189742.28,187282.47,188758.28,185286.28,185516.62,184548.44,183687.94,183610.05,186994.66,182291.94,183081.16,185042.8,182681.94,186388.16,182349.38,182802.12,182619.5,184496.44
200248.6,187761.3,192932.19,188352.22,186591.4,183422.9,184233.0,186102.0,180779.27,183907.75,182163.12,184220.36,185101.53,188019.22,181432.58,183893.56,187063.5,186019.36,182919.22,183936.5,185159.25,184460.03
195904.06,190371.19,190699.1,187311.73,188243.66,186717.44,187484.66,185090.97,186135.7,182785.25,186629.47,183892.06,186569.81,182064.47,186603.19,185029.0,184629.17,185006.6,185674.94,183283.69,184168.81,184571.16
199331.75,189185.28,186144.16,188386.77,188498.27,186009.86,186679.73,184278.33,186157.56,185186.75,186546.56,185009.22,187211.62,182953.4,187158.83,184818.69,183816.34,184291.3,185120.5,187189.1,182456.69,184179.69
196726.78,188559.94,186285.31,185528.34,184661.39,183388.62,187891.22,184098.97,187004.75,183690.72,184068.4,186614.19,184580.25,182809.77,185122.12,183780.16,184462.88,186746.11,180876.1,185558.53,183449.69,185375.4
199449.72,189644.73,191953.16,190305.56,187924.2,187870.45,185841.94,186907.67,187227.45,181644.58,183682.19,183693.66,183601.66,187724.06,183344.4,182201.47,185408.53,183028.0,183269.38,184983.34,184110.95,181438.66
198708.4,191818.38,187968.84,187677.06,192740.64,186372.17,190074.31,182915.83,184833.97,188907.23,182704.1,185721.28,184954.5,185923.17,183061.97,182977.5,183459.97,182150.38,182539.97,186026.5,183510.66,183785.28
197850.16,188013.16,187051.47,190817.45,185546.23,186369.77,188141.84,186907.94,187382.9,183397.03,182706.5,187430.66,186736.0,182051.9,181662.34,185743.88,185026.66,185003.84,182568.94,183114.95,185507.06,182983.19
199514.94,185078.16,191751.83,188172.3,189866.77,186271.0,184093.25,187023.81,186107.88,184093.2,183720.75,181641.4,187307.28,184431.1,183677.97,184960.2,183334.98,185055.62,182549.1,184064.06,185601.14,182611.22
196157.75,189626.69,187459.03,189976.25,187810.22,185829.31,190333.94,181702.67,184975.58,184007.66,184617.58,183381.72,185250.19,184162.17,187724.12,181359.28,188382.08,184198.77,181765.33,187104.19,187947.72,183815.05
197398.88,190052.19,187389.05,190141.69,190724.45,184980.62,187274.64,185557.78,187233.66,184291.4,183813.4,183167.53,186048.84,182054.61,183932.03,186477.53,184427.22,184834.12,182651.33,182913.06,183918.61,184495.66
199384.28,189277.1,190304.73,190127.92,190967.9,183920.53,187506.31,184871.94,185543.2,183976.94,183974.12,186740.9,184464.39,181850.81,181196.55,183580.05,181221.22,184028.66,183824.19,184899.6,184754.95,185430.31
193738.81,187260.11,189181.16,185702.11,185909.56,185622.03,187265.55,185347.75,186152.72,185829.6,181706.1,186498.1,187946.22,182154.28,180367.05,183806.78,186547.06,185376.9,183947.39,185904.34,187187.47,182137.53
200216.1,190517.88,187451.9,191685.75,185400.88,186031.97,189280.0,187291.1,185957.78,183258.28,183616.56,182384.56,184838.31,184443.0,183808.88,186381.78,181011.77,185392.03,184938.25,186090.9,183668.38,181699.4
196314.11,189051.81,186619.28,188258.47,189245.31,184844.67,187008.1,183800.7,184589.27,183951.4,183393.16,185443.28,188948.8,185104.0,183869.05,184769.34,184539.81,186895.6,181999.44,183692.53,187562.86,184174.75
196658.12,188360.88,192681.03,189447.45,189544.72,187143.31,191655.03,187968.12,185049.75,186344.75,188922.0,185923.45,187684.62,180955.38,178938.3,182824.72,184648.75,184702.23,181840.06,184710.75,183747.1,189821.42
198610.81,189618.16,189549.69,186098.47,187765.17,185514.6,185036.42,186547.84,186075.75,186309.12,185388.97,187477.16,186670.16,181604.62,187749.6,182984.16,185493.38,183201.28,181796.53,180664.27,187644.53,186402.89
197694.19,188052.28,189991.11,187595.34,186967.05,187652.89,186896.73,185649.31,188304.4,186270.53,186349.23,182775.28,186788.19,185262.0,180983.66,183032.69,183557.81,185065.16,184698.5,183371.84,183400.5,182390.88
195073.94,187400.47,187696.36,187452.88,188615.34,184801.22,191739.08,187218.78,188539.9,182983.9,186067.94,186108.81,186237.66,188009.03,183967.23,184333.44,184797.47,185682.06,188678.31,155795.2,182035.31,183507.88
198118.6,190767.33,187607.47,184568.25,187337.8,186334.69,187008.0,184801.83,188695.84,184966.44,185146.38,184319.34,182944.62,183204.66,183532.31,182881.8,184881.86,185568.38,183185.1,182975.66,185054.1,182942.03
