,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,928794,14901896,26496072,36879058,46449380,55422585,63915644,72016322,79783493,87258669,94507191,101533783,108367184,115011671,121488022,127811572,133995344,140040540,145973554,151786704,157489965
Trial 1,928993,14901113,26494120,36876939,46451435,55422538,63917418,72016653,79784107,87262097,94504604,101535744,108367120,115012246,121487203,127808326,133996818,140041050,145973405,151787861,157489594
Trial 2,929391,14900305,26497072,36878716,46452719,55423093,63918765,72014620,79785184,87262987,94506836,101535166,108367788,115009080,121489085,127806149,133998487,140040828,145970062,151787388,157492504
Trial 3,929136,14899301,26492678,36879207,46449401,55423976,63918056,72016763,79784731,87264458,94505381,101533926,108363514,115011000,121488359,127808566,133995984,140045366,145970312,151789802,157492405
Trial 4,928504,14900166,26495704,36877460,46449236,55423119,63917760,72017465,79784970,87262541,94504617,101532930,108365626,115011175,121487630,127811582,133995618,140042798,145970520,151788437,157491067
Trial 5,929577,14900731,26493464,36875176,46452918,55418055,63918854,72017734,79783742,87260752,94507430,101533544,108367637,115011317,121487414,127810870,133992111,140042534,145970846,151784810,157487936
Trial 6,926095,14900631,26493704,36875597,46449079,55422150,63917112,72015260,79787504,87261581,94507525,101533653,108366386,115008538,121486231,127813215,133995680,140041541,145970590,151785518,157489877
Trial 7,929573,14901355,26494129,36878831,46450848,55424719,63919161,72014488,79781452,87262595,94505324,101533044,108367576,115008979,121488052,127810544,133996290,140042322,145970135,151786984,157488485
Trial 8,928318,14899245,26494358,36880106,46448366,55422950,63913234,72016757,79781438,87259995,94506359,101535034,108365244,115012947,121486532,127808539,133997681,140042895,145969507,151788183,157489141
Trial 9,927758,14902114,26496504,36879292,46448248,55423171,63916714,72015971,79783711,87260907,94506011,101534484,108367268,115013721,121486334,127810112,133995321,140045826,145972012,151786568,157489124
Trial 10,929454,14900219,26494874,36879317,46448559,55421604,63912756,72015054,79783901,87261315,94507042,101532166,108367318,115009864,121490866,127807542,133995934,140044249,145973406,151786953,157491891
Trial 11,928596,14901406,26495069,36879468,46449198,55423614,63918849,72014452,79785616,87262350,94508776,101532496,108366280,115011846,121487652,127808891,133995359,140043302,145970053,151788641,157492748
Trial 12,927630,14902099,26494860,36878563,46452128,55425042,63917172,72016196,79783945,87259986,94507740,101531446,108368305,115013661,121486758,127810785,133995970,140043134,145972475,151788605,157492695
Trial 13,930758,14903044,26493455,36881871,46449722,55423940,63916147,72015853,79783126,87264083,94508811,101535042,108364840,115010937,121489503,127811509,133995292,140043813,145971004,151786688,157493157
Trial 14,931678,14903112,26493708,36879818,46449333,55421169,63916414,72018284,79782897,87259694,94508115,101533736,108367341,115011085,121491148,127813344,134000763,140040503,145974618,151787598,157488624
Trial 15,927134,14898768,26495116,36880868,46449923,55419656,63917517,72014184,79783394,87262055,94505276,101532625,108366757,115011068,121486067,127810598,133997590,140043704,145971188,151786906,157491397
Trial 16,929113,14900253,26496133,36880738,46450132,55419451,63914869,72014529,79783022,87262975,94507025,101534376,108368009,115008413,121487772,127811933,133996802,140042503,145971299,151784623,157491420
Trial 17,928523,14900968,26494928,36876558,46452206,55421079,63918005,72013636,79785378,87262383,94506205,101534399,108367084,115010385,121488357,127810766,133994046,140040190,145972100,151785778,157493983
Overall,14200166,25879494,36316957,45926553,54928473,63447421,71566575,79352328,86844048,94101995,101140600,107984731,114638794,121124817,127455131,133649213,139702505,145637871,151459940,157170126,162768893
