,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,1353484,22945376,38527571,51821883,63722227,74666705,84891121,94507347,103653655,112371306,120716725,128732982,136460815,143919702,151122579,158067559,164793911,171308141,177613943,183703265,189584327
Trial 1,1354419,22943130,38532093,51820342,63723429,74663895,84890470,94504782,103652619,112370987,120718398,128731585,136460226,143916664,151123266,158064736,164795238,171304301,177615529,183702443,189584677
Trial 2,1354262,22946608,38530703,51824794,63725742,74669943,84887627,94506237,103654814,112367633,120720514,128729208,136462173,143918061,151121677,158070534,164796804,171309261,177614959,183704628,189584153
Trial 3,1355273,22942952,38530719,51822944,63724683,74664677,84888907,94505521,103653700,112370759,120718147,128728528,136462800,143915279,151123610,158065261,164797936,171307611,177611761,183702841,189583103
Trial 4,1354815,22945243,38531072,51819364,63720478,74667336,84887261,94505530,103655225,112369482,120720967,128732696,136459359,143916549,151121136,158067589,164794094,171308681,177610982,183704633,189585406
Trial 5,1354628,22943146,38528908,51819513,63718186,74667758,84891460,94505922,103656423,112368883,120719906,128729657,136460454,143916584,151122175,158066393,164797667,171306313,177610979,183706144,189583160
Trial 6,1349815,22944950,38531990,51822874,63720533,74665369,84888969,94503606,103656809,112371126,120720574,128730939,136460567,143915521,151122871,158069124,164794772,171307067,177613490,183703946,189583257
Trial 7,1353229,22949509,38530260,51820010,63722785,74665174,84887129,94504985,103653978,112370544,120718188,128731743,136459566,143916262,151123325,158066411,164793594,171310121,177612840,183702563,189583694
Trial 8,1355502,22941954,38529367,51823087,63718906,74665871,84889641,94503827,103653717,112369886,120719415,128733102,136461403,143917132,151120949,158068113,164794861,171308855,177613858,183704512,189583900
Trial 9,1353908,22943797,38528426,51824673,63724397,74664775,84887599,94502583,103654675,112369784,120719044,128732215,136461958,143917969,151121240,158067535,164795956,171307180,177611526,183707455,189585777
Trial 10,1353903,22942003,38530338,51820100,63722921,74663747,84888271,94503648,103654101,112371901,120718550,128729981,136459202,143916454,151122539,158065613,164796319,171307243,177613689,183700096,189587341
Trial 11,1352345,22944977,38531078,51825400,63724461,74664585,84892050,94505490,103653581,112368314,120718953,128730829,136461048,143917121,151125311,158063952,164797427,171306232,177612865,183703924,189585660
Trial 12,1351049,22944550,38531008,51822029,63722366,74666854,84887375,94503979,103655549,112370773,120721500,128732746,136458581,143917696,151123776,158068671,164795636,171306105,177612241,183705172,189582103
Trial 13,1355927,22944599,38530325,51823460,63722159,74665176,84889688,94505064,103654246,112370963,120719434,128728761,136459808,143919605,151122419,158066494,164795452,171308684,177611571,183705302,189584097
Trial 14,1358927,22942853,38531743,51824598,63722109,74664335,84890110,94503493,103654758,112370143,120717773,128732808,136461912,143915421,151121702,158068628,164797440,171306200,177610836,183700968,189584377
Trial 15,1350802,22945277,38531718,51822172,63722819,74666022,84892053,94506048,103655644,112367706,120720199,128732863,136462307,143917008,151121699,158065410,164796928,171308127,177613415,183700955,189586088
Trial 16,1353724,22944465,38530419,51822125,63720635,74664631,84890435,94508468,103654118,112368960,120721491,128729345,136462484,143919028,151121331,158068283,164797595,171305177,177611736,183702521,189584173
Trial 17,1354156,22942033,38531286,51823417,63722578,74664581,84888468,94505776,103650802,112372408,120717418,128729338,136460295,143914497,151118650,158068535,164799818,171308127,177614548,183704498,189585709
Trial 18,1354096,22947767,38534089,51823535,63718758,74666105,84892518,94507963,103655866,112370748,120716888,128725225,136459193,143917846,151121793,158065306,164794363,171306164,177612484,183704781,189583419
Trial 19,1355019,22942487,38533785,51822277,63723333,74666209,84888795,94508084,103652649,112368243,120719748,128731320,136460513,143917321,151120084,158070165,164795132,171308662,177612001,183702908,189584719
Trial 20,1354565,22945448,38532371,51818567,63720729,74665865,84889065,94504232,103655078,112368457,120717536,128730790,136459811,143918618,151122454,158066242,164793813,171309303,177611252,183703214,189586077
Trial 21,1349912,22945340,38529272,51821922,63723598,74668174,84888511,94508352,103657559,112369191,120718571,128732266,136461942,143915477,151123162,158065427,164798991,171308724,177613076,183705085,189586312
Trial 22,1353647,22942426,38527613,51825980,63721329,74666341,84888639,94506676,103654960,112372118,120718857,128731486,136460506,143913001,151124021,158065978,164796191,171308113,177614216,183705188,189586586
Trial 23,1354656,22945571,38532419,51823118,63722112,74669515,84888120,94506080,103652077,112370955,120716205,128729975,136457731,143915846,151122094,158066493,164795252,171307744,177613217,183705789,189583712
Trial 24,1351177,22944103,38531506,51823307,63721136,74667370,84887207,94505802,103655841,112370568,120720826,128729973,136461549,143916048,151120687,158062544,164799602,171307468,177611882,183701641,189581006
Overall,22234623,37947762,51309257,63254409,74231746,84482636,94119792,103287939,112019519,120383230,128407179,136148764,143615583,150832024,157785797,164524271,171044262,177358306,183458030,189347082,195033960
