,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,1060252,19646646,33903406,46351519,57649284,68131930,78002596,87375770,96321921,104947946,113263359,121320916,129148680,136789708,144222931,151491025,158623043,165609864,172463983,179178756,185778980
Trial 1,1061186,19646004,33905942,46347919,57650626,68128671,78000532,87374943,96325938,104945726,113267574,121324404,129146461,136791937,144221268,151493986,158621461,165607710,172460908,179178381,185775073
Trial 2,1060818,19646042,33907833,46351656,57647674,68127608,77997137,87374223,96323685,104945598,113266383,121321675,129151754,136792057,144222871,151493202,158622752,165607308,172459654,179181379,185775077
Trial 3,1058976,19649734,33903520,46346906,57648307,68127591,78001301,87374409,96321995,104948009,113269076,121320874,129147622,136786373,144222730,151489296,158622351,165606893,172460010,179178450,185775041
Trial 4,1060143,19647975,33903446,46350933,57648904,68130189,77998763,87375395,96321689,104946709,113263069,121321023,129146246,136793062,144224049,151493170,158624471,165610434,172461539,179178877,185776766
Trial 5,1060506,19648554,33902489,46348429,57647734,68126023,78000524,87371176,96320148,104950063,113265029,121322156,129147490,136792015,144218208,151489896,158625718,165606319,172460262,179183960,185774508
Trial 6,1060007,19648736,33906292,46348371,57651015,68128054,78001471,87372345,96321545,104946635,113262896,121317650,129151067,136789100,144223045,151492531,158626883,165606194,172461328,179176310,185775631
Trial 7,1061894,19645400,33902831,46350800,57648597,68131698,77997123,87374020,96318400,104945001,113265117,121322111,129149775,136788534,144219528,151491024,158626780,165612118,172462791,179178414,185776486
Trial 8,1062181,19648216,33903171,46347637,57647828,68130002,78003287,87375664,96322576,104947476,113265859,121320438,129149284,136790862,144221328,151493820,158622773,165610172,172464077,179182371,185777024
Trial 9,1059233,19647815,33907082,46350314,57650839,68128940,78001119,87374270,96317973,104946837,113265233,121323176,129152294,136792007,144219810,151491589,158620898,165607974,172459223,179181333,185775146
Trial 10,1059823,19645091,33905707,46351429,57652691,68128643,78000763,87373639,96320865,104946985,113265993,121320754,129148743,136787488,144221125,151491509,158623730,165609531,172461721,179180735,185775742
Trial 11,1061848,19646911,33902368,46343148,57645946,68125885,78002533,87373461,96324561,104945494,113261624,121321175,129150713,136790576,144217731,151492802,158623229,165609653,172461427,179181189,185774168
Trial 12,1058816,19645870,33906048,46346951,57647001,68126130,77999716,87372044,96321152,104948799,113266090,121319720,129147490,136791585,144223416,151489752,158623390,165608970,172461955,179178760,185773815
Trial 13,1063683,19649495,33909503,46350336,57653050,68128325,78002002,87372808,96322605,104945688,113264985,121321262,129150433,136792024,144222875,151491725,158624837,165609409,172461512,179180266,185777998
Trial 14,1058588,19648275,33903417,46351479,57651160,68128377,78003535,87373477,96321646,104944601,113266757,121319975,129149921,136794950,144222717,151492713,158624116,165608380,172459837,179180209,185773411
Trial 15,1060969,19648555,33904592,46347780,57650339,68131320,78001619,87373474,96318438,104943943,113265186,121322382,129149404,136787849,144220459,151492447,158623159,165608154,172461636,179179729,185774720
Trial 16,1059922,19647335,33904392,46350947,57646744,68127406,77998829,87372322,96318803,104945095,113266324,121322766,129152411,136788982,144220933,151490352,158625935,165609197,172460361,179180447,185775110
Trial 17,1058323,19649326,33906485,46347293,57646708,68125040,78000086,87373792,96320612,104945460,113266421,121321704,129151025,136790219,144220631,151492284,158625416,165610039,172464221,179180429,185773759
Trial 18,1060561,19648514,33902707,46347260,57651443,68122714,78000824,87375163,96319031,104946889,113264834,121317771,129149430,136791252,144217186,151495360,158625426,165607163,172459488,179178480,185778293
Trial 19,1059797,19649128,33907006,46352403,57651007,68130545,78000988,87371889,96321822,104943045,113266695,121319539,129149342,136790202,144220357,151489603,158623130,165606807,172461583,179180199,185771727
Trial 20,1059688,19648691,33908138,46350418,57645512,68128616,78001317,87370294,96320887,104946271,113264728,121323759,129149267,136789875,144224190,151493535,158625477,165609071,172458853,179177520,185775587
Trial 21,1062398,19646087,33903237,46351771,57648840,68129106,78000024,87370347,96320210,104951225,113265479,121321742,129149975,136792175,144224434,151496411,158624248,165606724,172462401,179176641,185771952
Trial 22,1059605,19648854,33906227,46351083,57647730,68128280,78000916,87369479,96320407,104948614,113264100,121321481,129150490,136790956,144221397,151490148,158621139,165608945,172462077,179182872,185774615
Trial 23,1062016,19646519,33906329,46344358,57651227,68129002,78006946,87372492,96324185,104946218,113260876,121320159,129149423,136794183,144221876,151494484,158624053,165607560,172461012,179183616,185770963
Trial 24,1060110,19644839,33903476,46348308,57648255,68128927,77999999,87374576,96319586,104948507,113265047,121321941,129152666,136791945,144218015,151493636,158625124,165612248,172464904,179181963,185774579
Overall,19016410,33371286,45871249,57209474,67716345,77611140,87002220,95964133,104602885,112932659,120998542,128834911,136484987,143922280,151199026,158336980,165327159,172185610,178909346,185508568,192006387
