Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
205270.27,185656.03,188678.0,188188.69,187149.69,184707.31,185908.1,181510.98,180345.69,181853.38,179031.55,183470.28,186386.58,187550.88,187665.9,186228.16,188091.67,186338.27,187758.84,189269.39,188308.06,182020.39
199770.25,186839.84,188307.83,187833.1,183509.9,183018.97,183792.72,180754.69,181381.19,181176.94,179423.6,184132.66,187412.81,184042.69,185462.34,185333.97,185027.34,189673.94,183467.97,186173.44,186556.39,184677.03
202751.56,185453.48,188180.7,187049.5,182939.9,184751.06,184146.12,177878.23,176548.78,181499.23,185512.9,182243.72,182501.38,182906.97,188997.42,187004.81,188532.94,188853.69,185782.47,189940.9,185186.66,190707.02
201280.47,187938.72,190841.81,188007.5,188233.64,182164.0,185424.73,178120.84,181515.53,180367.12,178630.75,181773.44,184826.2,181349.45,184289.66,185896.67,186352.12,190304.3,185041.42,188932.17,190916.11,186734.44
204510.66,190387.62,189051.33,189171.28,184162.44,183599.92,183146.7,181338.78,179161.42,180390.6,179535.16,179824.69,185998.69,186539.47,187747.06,187964.75,185767.56,187317.94,183805.88,188285.48,185953.78,183118.22
204466.55,189607.55,187883.1,189407.47,185718.97,183939.17,181314.66,179736.66,179897.64,178243.92,179795.02,182653.27,184335.28,186941.56,186127.48,186289.12,185679.9,188472.69,185887.1,187969.28,190237.81,182298.34
205739.0,189031.34,190978.19,187955.9,188556.95,181187.62,186212.39,179901.72,180082.34,179671.03,180116.56,179979.88,181315.69,183706.22,184339.88,186091.11,184647.22,187449.97,183165.83,189613.45,184379.28,186670.19
199942.22,187026.94,190896.88,189567.69,182620.33,185295.34,180443.47,176238.03,176805.34,176807.22,181824.05,184821.75,182634.88,182568.81,183465.94,188429.47,187183.95,186618.44,188680.6,186270.78,187235.02,185810.0
200644.03,186905.0,190758.47,188611.16,183437.28,185814.28,185057.06,182903.53,181147.72,177022.97,179323.4,182597.3,182362.62,186845.33,185279.66,187919.44,188886.12,189597.14,187830.75,187206.75,190458.67,183618.44
202166.98,187680.16,189826.62,187702.4,184942.75,183686.0,181525.47,177339.6,176469.02,178870.39,180211.83,183460.16,180876.0,185491.0,186607.4,182236.94,183159.94,186434.56,187053.66,189512.5,184331.94,184296.66
205907.9,187422.84,188404.03,189279.84,183940.81,185193.48,183084.5,183393.52,182621.33,181367.39,179377.19,180653.23,180764.9,182326.61,181652.4,186886.25,183200.03,183455.84,185538.3,186504.95,187275.5,182169.1
204601.44,186396.39,191019.81,189395.03,185688.62,189111.23,181813.16,179735.12,178873.94,179092.12,184024.75,184455.28,184567.25,187770.72,183631.66,190286.75,185693.06,185750.12,184041.6,190078.2,187679.38,186265.45
197331.12,187245.17,190900.19,188034.81,188077.94,179652.16,179840.53,179669.27,178373.53,179073.9,180318.39,180731.03,179378.34,184370.7,182607.94,189725.16,186546.97,189172.06,187559.22,186672.88,187971.22,184700.81
202134.03,187808.16,192620.56,191113.2,184587.12,181793.47,181378.03,182177.28,181263.28,181592.47,181380.34,185332.88,179097.47,184453.4,184245.19,188339.69,188909.75,188297.19,187314.62,188937.31,191388.58,184704.3
204452.5,190894.38,192739.27,188782.53,188047.34,184864.69,182513.98,181570.72,178207.94,180746.02,181103.88,183843.66,182205.75,184919.28,187233.5,190447.05,186994.2,190404.14,187454.6,188393.03,184353.44,184429.4
203348.39,190211.28,187776.94,192628.44,185446.69,182241.36,178272.72,182650.38,180764.66,183863.55,176376.5,183700.66,183947.84,185259.23,187266.8,190319.44,185509.53,186078.45,188910.97,187869.66,186937.55,185202.38
