,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,1257241,25359594,44451861,61214563,76456364,90602072,103912595,116535701,128595393,140185789,151357265,162161857,172636312,182837489,192752317,202437167,211892817,221143170,230201488,239063345,247755595
Trial 1,1257244,25360215,44452808,61212307,76456528,90597799,103911801,116532376,128597823,140183615,151363656,162163435,172631867,182840442,192751921,202436637,211893563,221141603,230199197,239063913,247752938
Trial 2,1257680,25358891,44459926,61213939,76456832,90598590,103907237,116531350,128595743,140187221,151362549,162161014,172641978,182838980,192751639,202438675,211893696,221141796,230198891,239067426,247752593
Trial 3,1255575,25363054,44453116,61209905,76458060,90596317,103912135,116536022,128593697,140189081,151364322,162161215,172633864,182834112,192752900,202434571,211894412,221143441,230198341,239062409,247752616
Trial 4,1257087,25361895,44453418,61217147,76459274,90599570,103909463,116535292,128595702,140184700,151360114,162161079,172634000,182840691,192753646,202435522,211895183,221143791,230199922,239064263,247757353
Trial 5,1254823,25362830,44451084,61210722,76457062,90599382,103909247,116531474,128592982,140190038,151360165,162161924,172633572,182839693,192747645,202434619,211898493,221141486,230199637,239068825,247751939
Trial 6,1255537,25362361,44455290,61211044,76458833,90596776,103911738,116532424,128592410,140185936,151360595,162156795,172638307,182835286,192752061,202437493,211896610,221142272,230201152,239060555,247754323
Trial 7,1258531,25357023,44456116,61213288,76457997,90598981,103908006,116532279,128590507,140185253,151360588,162163665,172635924,182838880,192745963,202436340,211897837,221147114,230201481,239062517,247757286
Trial 8,1258085,25361096,44453747,61212629,76456862,90600989,103914460,116533703,128593029,140189842,151359906,162158390,172637211,182839703,192749833,202438520,211893147,221144948,230203560,239066204,247754729
Trial 9,1256970,25361825,44456055,61215325,76460904,90600156,103910060,116531434,128590474,140186343,151360047,162166472,172641729,182841256,192750092,202438025,211891288,221145130,230199077,239067554,247753219
Trial 10,1256824,25358387,44455475,61216304,76458721,90596964,103909148,116533121,128593316,140186713,151363473,162163120,172637683,182835391,192749544,202434814,211895092,221143005,230197696,239064566,247755394
Trial 11,1256909,25359054,44452488,61207573,76455013,90595540,103911298,116532168,128594530,140184357,151355078,162160336,172636860,182840049,192746112,202436694,211893657,221145894,230200552,239065134,247752987
Trial 12,1256076,25358915,44455362,61210466,76457722,90596537,103909072,116530725,128592519,140187012,151360612,162159129,172633257,182839532,192753852,202434815,211892812,221144618,230201093,239062460,247754276
Trial 13,1259812,25362650,44459485,61214620,76460044,90598949,103912848,116530352,128593173,140187733,151361164,162158918,172636833,182840506,192754149,202436664,211896189,221147102,230201057,239065356,247755539
Trial 14,1256934,25359732,44453904,61212457,76457922,90600322,103914532,116530226,128593663,140184604,151361139,162160614,172634858,182842198,192751907,202437919,211894401,221143255,230197182,239066032,247751524
Trial 15,1257513,25360437,44456160,61210800,76459747,90602669,103912795,116534702,128589173,140182893,151362689,162161064,172636119,182834692,192748513,202437612,211892968,221144138,230199642,239064142,247755019
Trial 16,1256322,25360156,44453420,61213143,76454705,90594987,103907315,116532564,128589564,140184851,151362375,162164105,172638098,182836218,192752727,202436459,211896269,221143130,230198215,239064299,247754473
Trial 17,1255556,25364171,44455955,61212305,76456341,90593249,103909577,116534668,128589726,140185958,151364413,162161601,172635956,182837010,192753247,202437268,211898693,221145235,230203938,239066833,247751314
Trial 18,1257582,25361568,44453280,61211507,76458373,90592296,103912111,116535269,128591632,140187033,151361654,162157374,172634960,182839656,192744549,202438180,211896223,221142295,230200537,239063940,247755879
Trial 19,1257682,25362266,44460021,61216929,76459901,90599785,103910610,116532809,128591287,140183198,151364266,162159251,172637006,182840943,192748907,202436161,211895078,221146377,230199769,239065072,247752857
Trial 20,1256998,25362125,44457983,61211604,76456432,90596342,103912765,116527087,128592110,140185648,151362066,162161497,172635607,182840140,192752837,202436198,211897500,221145397,230198404,239063158,247754564
Trial 21,1258184,25360526,44452876,61214936,76456277,90600588,103910442,116531532,128592250,140190544,151360798,162161198,172638922,182842145,192755435,202440008,211897041,221140450,230201614,239061736,247751724
Trial 22,1256738,25360513,44455901,61214108,76456086,90599082,103910539,116527733,128592612,140187634,151358930,162161383,172636254,182839411,192752836,202433888,211892576,221143544,230197548,239066470,247754731
Trial 23,1257664,25360630,44456990,61211835,76459654,90599511,103917517,116531277,128593820,140188143,151358909,162160068,172636899,182840405,192752514,202436664,211897610,221143146,230200496,239067895,247750509
Trial 24,1256264,25359343,44454206,61214287,76456234,90598144,103908894,116534457,128592122,140188437,151360816,162162491,172640352,182841285,192745481,202436941,211899597,221147322,230201996,239066188,247751584
Overall,24520081,43736355,60566873,75862544,90040474,103384046,116030117,128110691,139722526,150913310,161727225,172214249,182429156,192350477,202045901,211513309,220770057,229834214,238706234,247401649,255943712
