Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
202310.7,185087.19,190072.19,186614.4,187705.56,189265.4,186400.28,186115.06,175371.06,175822.38,177726.03,176450.31,176845.44,179723.19,180784.75,178725.5,180292.58,185297.03,182491.56,187274.72,186584.9,183458.97
202302.6,184132.3,187471.53,189322.23,189568.9,187110.47,185440.75,184399.3,179819.0,176690.72,175046.25,177615.81,174723.4,179508.25,179108.25,178249.56,183243.81,183075.16,182057.19,184753.78,185060.45,180337.38
203363.52,185718.81,188229.2,191804.12,190504.0,189203.0,186750.66,180254.12,177817.39,180091.97,177171.31,176756.27,172300.28,176741.1,176463.16,178648.97,178311.62,181091.38,187276.75,187057.05,182994.22,181246.08
200255.94,189325.16,191599.4,191121.06,191438.8,185410.53,185096.31,180612.03,178247.53,180357.9,179010.97,174783.69,174516.8,173462.61,181334.06,179171.94,176382.25,183751.05,186982.56,184156.56,188696.33,184034.84
201619.58,187164.95,187927.56,190924.28,187756.53,185103.86,185339.22,183997.56,179783.5,181935.86,177616.28,176606.56,176417.53,175758.62,177025.28,175383.28,181279.34,183916.2,182216.03,182923.03,185730.27,187458.47
200451.6,184628.84,183401.5,188508.0,187218.6,189354.31,187703.73,181322.94,176801.16,176511.0,176006.34,178098.31,175716.75,176226.58,181373.19,174168.11,177254.22,184696.34,185748.08,186900.97,184423.84,182497.56
205270.27,185570.44,190454.55,186530.92,189530.38,187372.61,183877.3,183589.81,178712.69,176895.62,175688.03,180283.58,175765.28,174157.05,182392.62,180302.47,178714.66,183972.64,181172.92,181697.98,188068.7,185204.6
199770.25,184101.81,188068.12,190580.83,191225.66,186413.66,183695.5,185220.34,178497.8,178823.06,180911.39,177151.05,177316.88,181296.3,179570.28,180131.28,183247.19,182480.03,183311.56,184728.17,188543.66,182678.75
202751.56,182547.3,185896.03,188928.77,189696.36,186873.6,185557.66,180748.11,177551.12,175724.81,180335.9,177376.19,179588.38,181850.72,178692.34,179022.12,183965.88,183174.69,183091.25,182711.53,183171.39,181919.97
201280.47,183818.78,189104.19,187400.86,186423.97,189259.53,182758.84,182602.27,178899.14,176344.72,176846.53,178388.69,180770.84,175782.6,178886.19,178216.88,178163.06,184260.6,184646.66,183834.52,184892.47,181378.0
204510.66,184270.6,188529.9,187795.25,186886.97,186716.44,185640.56,182645.84,177393.88,179666.5,176937.97,179275.98,174933.0,177823.22,182347.84,179603.19,184189.1,182866.53,184221.06,182987.75,183939.64,180610.88
204466.55,187526.78,188144.25,188431.0,186533.75,185810.88,184005.03,181909.25,180054.66,180671.45,177650.88,179376.6,179502.75,176502.0,177215.2,179819.42,180008.31,181690.3,184631.05,184594.86,185985.38,180689.97
205739.0,188490.12,188629.06,189558.6,188648.22,187774.53,189072.97,180724.27,179852.16,182110.88,178413.66,177245.31,175058.28,174377.72,180613.27,181083.16,177312.27,181260.25,182386.64,181578.69,184872.62,182249.12
199942.22,182258.19,188537.12,190868.36,189340.6,187226.52,185946.66,184592.83,178726.97,173769.22,177426.6,175635.47,176964.34,178646.38,176248.72,179909.17,180214.78,182902.31,185843.06,185370.69,187528.16,181972.6
200644.03,185346.06,189215.56,186061.67,189375.69,190237.0,182472.84,181001.25,177570.97,179600.48,178954.03,177542.6,175453.52,172925.1,176674.88,179898.97,178554.03,180736.47,184151.78,182050.62,181373.6,182379.97
202166.98,183409.56,187629.12,191097.61,188987.4,185214.66,182836.72,181088.05,180519.16,180311.36,175879.81,172170.25,178119.08,172937.4,179377.95,176000.28,180941.16,182584.9,181812.25,186985.6,188081.89,181150.28
205907.9,184776.56,184020.12,186021.16,190484.56,187352.83,182666.16,180186.62,180654.22,177820.4,176244.16,177652.81,176261.83,173418.23,179276.5,179457.25,178083.45,182984.0,182467.81,182090.25,187372.5,183283.6
204601.44,186822.36,189525.1,188650.34,190003.78,187317.66,185732.88,185057.48,180162.5,178467.44,178371.97,176700.48,178963.47,176700.19,177479.56,179348.12,179207.4,184514.5,181528.12,184285.14,183794.4,184809.44
197331.12,185188.84,188272.97,187963.58,187559.72,187243.31,184931.12,182861.9,180048.31,182259.53,175798.6,175134.16,172455.31,175337.44,177462.25,178626.3,180674.0,181506.62,183860.1,186132.86,185635.27,182559.88
202134.03,182225.67,189760.5,190618.53,186089.69,188059.77,183866.97,183088.75,177204.0,180891.25,177883.39,175670.12,178411.22,175444.28,177879.2,179753.38,180397.17,185875.38,183805.97,184740.38,184231.45,182696.38
204452.5,186694.62,188002.86,191011.81,189591.77,187167.75,183719.78,184156.06,177487.4,176688.75,179739.03,174885.78,178710.94,176496.1,176767.48,179012.78,178286.28,182050.12,182223.31,187649.0,185356.4,182249.58
203348.39,183260.42,188201.8,188148.44,188724.22,183831.1,184812.12,180805.5,180716.06,179724.94,175608.84,176830.72,178067.16,179980.4,176233.7,178709.03,183424.5,177844.19,182657.97,185927.34,186552.31,184774.98
201246.62,185724.45,187553.94,188953.31,192321.77,189110.44,186198.34,182558.2,178343.12,179590.06,175156.4,177498.5,177492.75,178567.12,184648.78,182860.7,182616.64,179070.88,183351.55,181137.31,187558.69,183828.03
204582.5,185801.4,187186.47,189964.38,189457.19,186084.31,186029.94,182918.05,179176.19,179123.6,178259.62,176321.95,175825.44,176618.12,176183.34,175179.34,182382.97,184527.34,186677.94,187206.28,187956.03,184249.08
202672.62,184860.78,185691.92,187268.34,189109.92,187648.44,186997.72,182339.12,179748.47,178131.7,178392.03,176326.1,172979.47,177000.23,181279.95,179533.31,184056.72,180306.77,183304.52,182658.1,188696.78,182690.19
204330.19,186275.69,191308.52,188095.5,186973.47,186555.03,189012.16,181566.25,177804.72,180430.16,177935.69,174916.4,177827.92,180477.52,175585.84,176208.53,181822.16,182150.47,185551.47,186256.19,188562.28,183720.66
202825.28,187185.56,186827.06,186924.61,189027.36,186392.58,183993.3,179579.84,178685.62,180797.94,177580.56,177822.02,176545.66,177707.12,177986.9,180420.0,181673.95,182602.0,184787.34,185432.3,181662.47,180488.88
201684.52,185644.5,191060.31,190649.06,188169.47,189418.22,184946.6,182011.53,175520.81,176580.84,176995.66,176960.55,177467.1,178086.11,175816.44,179218.45,178375.69,181909.56,184601.2,184162.44,183606.4,182965.69
204431.56,183599.66,185177.52,189433.83,188015.53,187360.19,185394.02,182216.14,178925.6,178368.05,181487.81,182168.84,175544.53,176639.19,179280.53,181716.53,175876.56,178446.92,181583.31,183917.16,185507.52,184099.5
202023.0,188109.02,190420.72,188593.66,189942.1,185245.31,184478.9,180114.55,177777.42,183626.19,178274.34,178495.8,174571.56,172426.56,175886.31,179437.3,177960.88,183468.78,182522.03,184198.4,184392.88,184694.75
201964.72,186235.83,189753.86,189634.14,188047.69,188497.36,186587.1,181270.66,180560.83,181302.47,180525.88,178915.31,175357.19,176671.69,179796.84,180889.81,180613.8,185088.19,183728.44,183764.38,185984.9,183854.16
203601.6,184567.6,189963.22,189006.88,187414.05,187104.89,187532.5,181378.89,183632.97,183521.25,176787.19,178565.66,176740.5,176443.27,180083.69,177170.97,178941.67,182386.03,185384.84,184486.03,183000.94,182959.25
201353.67,180498.64,186840.27,190296.19,186110.9,188373.2,184234.7,180080.66,180406.34,178840.19,179472.0,177054.25,177574.31,175136.25,179242.0,178977.78,182381.38,180127.16,184362.19,184225.5,186359.98,181231.56
204649.5,183008.4,190550.5,187370.14,186657.78,187616.34,185493.1,182525.86,180784.73,178355.38,179073.62,175355.6,178776.5,173821.98,176486.25,177044.56,182253.28,180825.0,181749.62,183578.19,185102.34,180895.72
202919.86,185982.2,186580.97,191834.72,186611.78,188193.19,186630.17,181796.38,182093.2,180032.88,177807.69,170991.94,176269.89,180077.28,184431.31,175535.66,180721.53,181599.66,182676.31,184916.28,184280.66,184031.4
202795.88,183929.9,188344.5,189134.02,188943.38,188217.62,186574.42,183680.5,176332.53,180419.28,177171.06,177069.75,176423.53,174629.06,176105.88,182263.06,182973.47,178957.25,181478.38,184816.73,190699.39,182579.81
201807.38,186434.9,187375.81,188996.53,187477.17,188724.9,183406.84,180490.06,176859.53,182638.69,176705.38,176606.4,174069.55,173033.97,177693.6,177302.53,179180.42,182926.77,182051.75,186089.47,186082.47,180842.69
204989.81,187837.6,189435.56,191235.9,190481.94,189758.6,183146.47,183823.1,179370.83,175949.84,177640.34,175675.77,178257.03,175545.27,178667.56,178075.1,179894.38,182587.6,182714.27,182844.03,183576.1,179653.84
205360.78,183574.98,186867.97,190535.14,187935.92,186578.4,186232.84,181173.47,179030.4,180534.1,179131.14,176289.88,180482.19,176353.88,174444.47,176093.55,178171.12,177319.28,185715.28,184036.17,185402.14,180938.75
201036.84,184868.84,191073.66,188352.89,191927.38,185681.66,190182.34,179713.75,182844.73,179761.53,177278.12,176975.5,176090.88,175388.06,177154.73,179148.88,180859.94,184710.75,179659.58,187109.66,186964.4,183085.77
203179.38,186538.28,189412.06,187082.53,188597.31,189872.88,183630.03,182100.75,179929.19,177513.31,176386.28,177718.78,177774.1,177325.95,177306.55,178444.31,181873.6,180850.56,184644.88,184587.23,185727.47,180304.19
203818.5,187669.58,190940.03,189455.44,189986.5,190857.88,185047.69,182068.75,178724.62,177371.16,176492.23,172998.72,175358.75,177105.81,178666.11,177754.34,179600.28,181347.73,184969.16,184167.81,185943.02,181785.47
200918.56,187698.92,187671.67,193394.75,188773.72,187755.4,185412.97,182696.44,175923.78,174972.97,178830.69,176771.31,178354.4,176117.31,178423.5,179723.75,179975.72,184341.36,184426.47,185380.6,186007.14,182415.19
205410.03,185876.78,185095.78,189775.88,188560.88,185098.34,187028.38,182435.47,179505.31,181595.94,175179.38,179232.53,176461.36,177605.47,180836.08,180115.28,180926.77,181129.47,184054.31,187557.38,186832.31,185518.16
202269.62,184131.19,188299.47,189702.6,188787.12,186828.56,181163.75,185892.97,176796.22,177226.98,176772.83,177136.64,178955.75,176258.61,179691.53,180660.14,177504.28,178967.1,184600.5,181864.48,183993.72,180443.92
207008.12,183429.62,187011.03,188295.81,188670.28,185599.78,185959.06,185717.1,176218.25,178819.31,175977.98,182006.69,177786.19,178994.84,177671.28,176973.31,179544.94,182054.02,185922.03,184177.53,188044.77,183536.44
204858.25,185706.97,188206.16,189888.7,188070.84,185168.08,184562.25,178831.72,179635.38,180055.06,176120.66,176400.12,180276.42,179859.34,182596.34,178952.22,180587.64,182558.66,178830.12,182355.38,185963.34,185655.75
206864.6,184515.89,186806.4,190465.23,187299.94,185935.48,185162.6,183614.84,179712.47,179899.28,177640.75,172481.1,177102.53,183066.5,179547.73,179109.47,181243.53,179258.66,183560.12,187598.88,186895.22,183462.83
203750.31,185221.25,187836.88,189278.3,190344.72,185180.16,185611.38,182988.25,177758.06,174641.22,174090.81,174720.98,177504.45,176108.31,176323.34,174235.81,177784.94,181830.06,182088.06,186814.36,187875.66,184316.98
203921.28,183839.28,188600.44,190588.53,186961.5,186881.28,186271.38,179059.94,181823.34,179208.8,178273.47,178790.12,177174.9,178495.44,178409.47,182115.89,179530.56,183366.83,188462.97,184765.58,184112.73,182397.78
