,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12430481,21388200,29245291,36410225,43086087,49378322,55379317,61124021,66658463,72014800,77215296,82268124,87177847,91968138,96651763,101231311,105713011,110102894,114408694,118616594
Trial 1,888260,12429290,21386024,29244047,36413556,43083791,49380934,55381326,61127702,66659282,72013842,77215350,82266730,87178813,91966043,96650021,101233625,105711660,110104148,114410543,118617857
Trial 2,889363,12429785,21387688,29246433,36414627,43084480,49382556,55379499,61125975,66659515,72013665,77213289,82270128,87176137,91970384,96649263,101235252,105714166,110101278,114408668,118617069
Trial 3,889695,12427164,21383884,29245049,36410468,43087045,49380922,55381900,61126703,66661611,72013093,77212457,82266206,87178256,91968783,96650691,101232270,105714917,110102290,114411025,118617556
Trial 4,888597,12429723,21385684,29243870,36411833,43083842,49380509,55381129,61127046,66659315,72012707,77213179,82267341,87177737,91968615,96653724,101232440,105714110,110101107,114407740,118616229
Trial 5,889439,12428438,21383740,29242034,36414853,43079250,49381648,55379575,61124749,66657636,72013397,77213644,82271433,87178637,91967579,96653978,101230342,105712608,110102844,114405189,118616585
Trial 6,885252,12429652,21383717,29242371,36412003,43084551,49379231,55380695,61128744,66660962,72015120,77213481,82269635,87176912,91965674,96653509,101233966,105712931,110101903,114407667,118615180
Trial 7,889562,12431728,21386553,29245972,36411929,43086834,49382227,55378843,61125671,66659606,72014283,77213272,82268344,87176574,91967617,96651722,101233246,105712846,110101282,114406991,118614163
Trial 8,887401,12427824,21385575,29246392,36409802,43084581,49379182,55378754,61124786,66656343,72014204,77215120,82267896,87179611,91967608,96651510,101235324,105714742,110100634,114410444,118615981
Trial 9,887857,12430255,21385848,29245205,36411213,43085087,49381545,55380905,61125439,66657226,72012496,77214896,82268533,87178648,91966833,96653141,101232060,105716207,110103041,114408258,118616017
Trial 10,888525,12428834,21387380,29246819,36410350,43084532,49375790,55378353,61124195,66658715,72014332,77213568,82270725,87177140,91971245,96650361,101233861,105714601,110104698,114408945,118615920
Trial 11,888213,12430078,21384993,29246177,36412649,43085461,49380483,55379517,61126174,66658630,72016724,77213708,82266979,87177995,91967127,96654215,101230333,105713497,110102737,114410427,118618202
Trial 12,886462,12428948,21386222,29244695,36414899,43087218,49379977,55379421,61124262,66657820,72014593,77213476,82268097,87178504,91965409,96653570,101233489,105715417,110102335,114408589,118617765
Trial 13,889979,12430527,21385327,29247687,36410918,43085566,49380204,55378919,61125262,66661814,72015856,77214114,82267308,87179031,91969600,96651987,101232391,105714367,110103159,114409412,118616481
Trial 14,892274,12433560,21384595,29245995,36412397,43082965,49379110,55380701,61124412,66656340,72015372,77214952,82267009,87177477,91970894,96653200,101234776,105710762,110105314,114407688,118615725
Trial 15,886094,12428775,21384713,29248016,36412263,43080287,49380568,55379164,61124414,66659737,72013776,77212646,82269272,87177482,91965232,96652124,101235347,105715662,110101709,114407776,118616417
Trial 16,888461,12429177,21385933,29246092,36413023,43081889,49379116,55379643,61124926,66658950,72016540,77214668,82269997,87176533,91965938,96654063,101233771,105714168,110102521,114404757,118617009
Trial 17,888263,12429326,21385412,29243887,36414497,43084474,49380937,55379986,61126833,66660241,72014202,77215677,82269181,87178146,91968976,96652938,101232629,105712315,110103815,114406348,118619290
Overall,11876552,20914339,28821161,36020624,42716606,49031115,55046397,60805179,66349315,71714070,76922272,81985353,86901745,91698027,96388492,100975121,105461081,109854662,114165936,118378949,122510817
