,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12430042,21392706,29256188,36434801,43126835,49445312,55472713,61259673,66841822,72253680,77510359,82625776,87610205,92471153,97226396,101880067,106432442,110888402,115253561,119515732
Trial 1,888260,12429566,21391097,29254950,36438055,43124670,49448269,55476316,61262508,66842762,72252159,77510693,82624810,87611834,92469529,97224443,101882507,106431783,110888396,115255283,119517433
Trial 2,889363,12430635,21392631,29257331,36439082,43125717,49449240,55473535,61262046,66843858,72252096,77508864,82628184,87609252,92474070,97224141,101883677,106433466,110886666,115253111,119516524
Trial 3,889695,12427673,21389074,29256907,36434978,43127884,49448210,55476391,61262366,66844730,72251902,77506819,82624249,87610305,92471372,97225661,101880830,106434248,110886853,115255896,119517246
Trial 4,888597,12430518,21390818,29255725,36435858,43125471,49448424,55476354,61262185,66842980,72251236,77508946,82624750,87608599,92472175,97228436,101880887,106434292,110886643,115252364,119516143
Trial 5,889439,12428776,21388146,29253196,36438700,43121241,49448608,55473336,61260526,66842016,72252077,77509161,82629324,87610887,92471153,97228274,101878558,106432507,110887764,115250152,119515521
Trial 6,885252,12430067,21388557,29253953,36436912,43125737,49446239,55474732,61262396,66844128,72253859,77508476,82627630,87608526,92468931,97228136,101883011,106431807,110887256,115252545,119515472
Trial 7,889562,12431347,21390866,29257973,36436187,43128687,49448742,55474128,61260872,66842223,72253595,77508685,82625075,87608598,92471166,97226589,101881980,106433586,110886233,115252697,119513575
Trial 8,887401,12427895,21389409,29257682,36435012,43124894,49445319,55473262,61259160,66840519,72252602,77510675,82625702,87612025,92470988,97224728,101884004,106434303,110886875,115254916,119514831
Trial 9,887857,12431160,21390852,29256977,36435387,43126005,49448079,55474962,61260241,66840628,72251449,77508698,82627342,87610928,92470532,97226828,101881472,106437107,110887432,115252762,119515614
Trial 10,888525,12429098,21390618,29257840,36434797,43124275,49443358,55472492,61259094,66841634,72252775,77508859,82628397,87609712,92474426,97225592,101882654,106434409,110888809,115252508,119515625
Trial 11,888213,12430293,21389723,29257006,36437189,43126887,49446531,55473493,61261038,66842952,72254807,77508654,82625620,87610643,92469110,97229436,101879091,106433832,110886732,115254989,119517578
Trial 12,886462,12429307,21390492,29256643,36440305,43128948,49446693,55474742,61258973,66841115,72253621,77507866,82627132,87611318,92468969,97228663,101882980,106435497,110887651,115253031,119516800
Trial 13,889979,12431440,21388990,29258492,36435953,43127230,49446972,55473781,61260073,66845539,72254585,77508071,82624583,87611879,92472655,97226865,101881196,106434252,110888297,115254808,119516584
Trial 14,892274,12433174,21389423,29257185,36437552,43125894,49447158,55476315,61259538,66840760,72254457,77509239,82624530,87609517,92474777,97228287,101882997,106430546,110890464,115252768,119515083
Trial 15,886094,12428801,21389746,29259417,36436899,43122668,49447646,55474110,61259026,66842536,72251953,77507489,82626679,87610508,92468764,97226681,101883959,106435557,110886290,115252969,119515640
Trial 16,888461,12428823,21390741,29257745,36437711,43123323,49445639,55475637,61260429,66842576,72254683,77509666,82627546,87608746,92469588,97227717,101882892,106433227,110888287,115249767,119516624
Trial 17,888263,12429512,21390948,29255648,36438390,43124781,49448016,55474889,61262278,66844077,72252314,77509839,82626735,87610972,92471873,97227663,101880944,106430908,110889469,115251285,119519115
Overall,11876552,20918551,28831799,36044137,42756383,49096377,55138714,60937294,66529592,71949292,77213476,82338739,87329905,92197046,96958600,101619455,106176788,110635942,115007176,119275670,123448377
