Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
169908.16,172333.34,172126.44,168555.19,168974.31,174244.9,173458.06,170950.19,173161.66,173410.03,176870.22,174903.16,176704.5,178065.03,179654.56,182962.75,185572.36,195492.16,197490.62,200792.38
167738.81,168753.78,170520.97,170764.4,168945.28,172632.84,171503.03,169894.52,173427.73,175507.64,172959.6,174848.19,175801.6,176388.11,181597.44,177514.14,181212.34,192564.42,197909.08,202116.1
168497.03,168021.72,168233.38,171846.8,171027.77,169196.27,175611.19,172701.95,173155.88,173710.28,175774.28,176184.94,178205.69,177187.16,179178.28,183232.19,184539.64,192762.34,197366.06,200217.53
170501.66,170813.84,168406.4,167538.3,170155.33,173046.56,171976.81,175678.25,171118.62,174439.78,172320.56,174881.6,179819.4,177638.38,173225.08,180102.06,181696.06,190586.67,199268.22,204218.25
168098.27,171146.38,172205.47,169480.28,170516.88,168660.56,172655.45,170951.81,175347.0,174152.45,176570.31,173910.17,177610.69,177596.38,174775.78,177419.55,183174.94,193794.67,199817.86,202764.5
170334.6,166982.66,169642.9,167879.34,170718.81,172573.38,171737.2,171461.7,172145.34,174346.06,173201.66,177871.77,179628.12,177486.25,174542.25,179442.48,183810.38,195373.56,201146.66,202740.88
169482.7,167706.73,168979.6,168459.5,170444.4,171012.28,171379.97,170788.22,172204.19,175935.88,173591.84,176835.03,177204.16,178070.38,179577.62,180299.3,181592.36,191966.95,201487.38,202174.83
166153.56,165502.38,166754.98,169012.1,172105.48,172193.67,172354.12,170190.34,175588.69,174353.83,172140.55,177141.38,175156.39,181016.16,182032.66,182805.78,180809.45,193589.39,198030.5,203826.97
167599.6,169407.8,169288.1,168622.28,169104.12,167573.44,173241.89,171769.44,172950.25,174097.42,175627.4,172578.42,176410.19,180426.39,181269.78,180432.47,181360.61,192069.53,199184.98,205946.0
168997.84,166947.28,170686.45,169347.9,170818.84,171490.16,173284.36,175888.66,172682.14,170790.38,171447.19,174372.5,176589.45,178678.95,179093.42,179624.22,182041.42,189672.64,198017.92,202952.72
168121.28,168414.94,170791.81,172568.72,172913.69,166917.39,173100.42,175800.08,176008.94,170737.52,172259.5,174935.9,177769.98,180977.48,180643.88,179852.75,178396.33,191473.98,197722.8,202647.08
170695.31,167314.0,170049.3,170240.25,171709.12,170119.38,172210.0,168972.06,174607.77,172344.34,177586.45,172488.12,178160.77,179008.28,180051.34,182009.44,184116.69,194796.23,198682.72,205242.12
168550.16,166996.22,170585.66,173612.58,171960.38,173867.67,173965.61,171198.53,174409.08,172582.6,175865.6,177237.67,174850.22,181021.25,179160.94,179656.61,181220.88,195782.25,195209.97,202398.1
167080.7,165973.03,172204.62,165928.11,169584.16,172361.4,173681.3,172950.95,173679.9,173769.77,175819.89,175276.4,177652.97,175610.81,177314.94,181169.58,187281.66,191780.12,200628.88,202623.36
169365.9,169691.14,169110.62,168590.28,172081.34,172930.03,171645.38,175765.31,172480.61,176152.7,176248.75,177536.75,177881.05,178268.0,178961.22,178930.56,182954.55,191496.86,198111.8,204620.75
169855.22,168134.4,170950.6,169422.5,170819.53,169561.45,173099.06,173315.94,174718.1,177164.62,176399.66,177087.34,174596.03,178311.27,175550.31,180083.12,180894.84,192066.66,198317.25,204099.95
168073.25,169506.16,167325.73,169818.56,172495.44,174707.98,169660.36,171967.28,173255.62,172474.44,173004.55,170297.92,174583.66,178014.16,176206.16,183341.97,180444.9,195126.9,200485.89,203386.34
168426.23,168095.38,168387.0,167157.23,165677.48,169353.94,173058.84,170513.62,174066.16,171181.0,172228.78,176791.66,178392.84,179047.05,178458.53,181199.9,184560.5,187631.6,200436.28,206370.92
167056.88,173022.97,165833.22,171294.42,170555.66,169966.19,171392.66,172878.7,175667.78,175088.31,173790.06,174429.62,176023.58,179186.45,178985.27,180388.78,179806.25,194469.0,196092.5,201181.08
167305.16,169752.88,168900.77,169419.34,167897.22,174763.0,173102.95,171440.0,172994.72,171417.62,172448.53,174514.88,180250.7,180680.19,178942.53,182265.28,180570.94,192779.81,196274.97,203792.8
169816.0,166882.66,171179.53,167881.6,169921.88,170567.77,171197.31,172187.16,176135.2,175360.75,173448.22,175562.5,175296.33,180870.31,178869.64,180084.9,182057.75,189686.16,197657.1,203074.22
169843.94,168951.4,169784.81,171830.9,167361.42,170199.58,172457.89,172059.75,176395.36,174986.03,173716.28,173403.44,174187.31,176785.1,176504.69,178321.08,184669.72,190881.4,201046.78,202084.1
166495.64,169057.78,168093.14,170645.22,171166.45,174268.2,172055.4,172261.56,175565.75,173503.56,175080.12,171410.95,177886.66,175180.97,179941.17,178497.9,181029.61,189755.03,197232.48,202006.31
172489.58,169233.81,169055.16,172586.89,171348.4,170495.06,174332.97,173529.31,169693.78,173621.03,172470.62,175987.06,178754.81,175019.22,182445.88,181901.66,181446.5,195187.62,199283.28,204014.11
170077.94,170738.1,170350.6,170087.78,172052.47,171167.14,171795.6,175626.67,172756.34,170392.61,172107.19,172284.06,177622.28,179854.52,182460.1,178605.14,178867.53,190122.72,198157.53,204585.22
167697.0,168713.7,167213.72,170261.47,169358.42,173443.44,172286.39,170937.53,172274.03,173064.56,174968.44,175544.16,175810.25,177077.9,176476.88,180267.9,182776.5,194247.75,204873.72,203177.98
170128.66,168793.47,168019.06,168898.97,166569.05,172674.84,173525.16,174071.66,176466.25,172582.83,173438.3,173136.1,176356.53,180806.12,178940.12,180559.84,184224.84,192251.56,199312.22,203642.34
169595.58,172421.72,172049.02,169908.22,169489.69,172277.84,171918.78,174344.16,172546.0,171924.0,172505.67,172870.38,175191.08,178890.78,175694.92,179201.78,180988.38,191224.31,199528.38,203987.19
171430.22,168784.33,171813.6,170805.73,170573.42,165643.6,171428.47,169681.92,171469.61,178158.53,173784.66,175192.16,176749.72,177480.42,179395.38,176594.4,182420.38,192405.16,199510.88,203545.31
166728.03,173253.98,169492.64,171550.38,169418.25,173217.06,173019.6,171999.4,172455.27,174385.28,174579.69,173469.66,175841.84,177309.36,181110.2,183305.97,181571.02,189798.0,199643.19,204574.28
168216.62,170154.81,170973.27,170377.9,172013.69,172205.95,174286.14,174613.64,173210.58,176653.23,174176.31,173591.16,177961.81,175425.5,182150.89,178108.31,181472.53,193287.75,200264.1,201946.17
166355.2,166995.14,169649.1,169079.36,171921.19,169468.5,172558.34,171932.66,171575.98,175613.47,175105.33,173402.11,175538.5,177408.47,180895.38,178389.69,182111.64,188970.5,196604.62,203767.03
170644.05,169261.94,167916.22,169965.52,166457.44,172250.81,172560.84,170271.97,175397.39,172835.52,174304.78,171997.36,177750.06,177374.06,177865.03,181487.1,182836.1,190303.75,199340.44,202528.78
168669.28,165583.84,165944.31,173424.72,171537.14,169498.0,169103.62,171104.19,174293.11,171744.16,171752.97,173754.34,175938.81,174355.45,181181.47,178823.75,183199.94,189812.56,199778.03,201064.5
169783.0,169483.73,170836.17,172896.28,170420.83,169888.44,170665.31,168893.28,172791.75,175490.69,171256.22,174244.1,172206.62,183445.55,177281.62,178967.03,183287.47,192830.31,198733.84,199723.88
166044.6,167540.1,169071.62,171379.31,171833.95,169203.0,172489.1,174073.17,173129.84,171571.94,172840.1,175359.44,176797.0,179649.95,179809.6,178276.92,183305.53,191659.44,199918.75,204572.08
168629.81,168872.4,165957.66,169690.81,168164.47,173771.75,168422.92,172071.12,172448.2,172040.27,176153.5,174239.62,176158.47,179243.66,178972.4,182921.53,181443.38,193148.69,199780.16,201082.75
166038.23,169483.06,168276.66,169359.95,171431.56,166157.03,171933.44,171033.06,170459.58,173272.48,175990.66,177033.19,175245.72,178727.22,179561.11,181524.31,183033.38,190047.38,200989.58,203283.34
169096.6,169293.78,165601.56,170677.84,172956.03,172963.36,167737.95,175312.73,177810.62,174923.84,178381.92,174042.78,178513.66,177628.31,180698.34,181238.6,181355.97,190228.1,195839.92,201660.88
170542.94,168332.84,172267.62,170405.75,171989.44,171409.1,167362.75,170413.94,174822.56,172660.47,176596.72,176404.56,176556.38,178210.81,175662.66,184256.6,184390.03,194866.45,198890.88,206834.6
167557.19,170312.36,168480.19,170957.2,171747.9,171265.66,170833.33,173924.69,170827.69,171972.19,172032.38,173382.03,176273.0,176829.9,179310.3,179297.58,185572.03,191292.03,197749.55,203520.11
171287.14,169080.19,168244.81,167586.7,172996.88,170213.69,171020.53,172004.3,176490.34,174765.78,175154.03,176615.25,178606.88,179011.81,178015.03,178347.94,183075.66,190210.17,197918.11,203756.77
169119.69,169559.44,168116.83,169411.81,172936.16,171439.22,173013.31,170646.06,172979.02,171018.75,173995.6,176617.28,178168.92,177164.66,176688.39,181319.8,179552.83,190789.11,199437.81,201575.53
171952.03,163995.2,171869.75,171780.11,168790.06,170842.78,171913.47,171620.5,172511.28,175926.81,173994.16,176837.5,176609.17,176547.53,180041.9,183042.72,179965.94,192629.34,198793.25,200406.78
172156.0,168556.22,173965.23,171730.31,170145.1,172342.53,172291.67,172715.3,172319.88,174588.97,174191.53,177024.14,181803.16,178399.03,179437.9,180346.25,182459.88,193644.0,196265.06,204090.75
170104.47,166713.31,172969.25,170481.84,172392.22,170368.8,170793.12,170024.19,172168.34,174533.17,175727.16,176090.19,176289.69,179195.44,180396.94,182090.61,182989.16,188693.08,196808.22,203662.38
168574.16,170082.6,173288.66,167656.03,167555.72,171513.94,174191.25,170249.6,175619.78,171277.92,174175.95,172224.3,177366.97,179652.14,178842.48,179377.47,182775.34,188357.0,197138.2,207485.78
169245.03,169105.97,168354.22,171200.62,175121.27,173171.16,170264.53,173023.58,172884.36,171409.6,172575.53,173928.62,177365.47,177036.1,177925.78,181061.62,182909.88,195842.33,198386.62,204449.4
169036.89,168780.66,169692.67,170289.94,170813.28,171216.22,174635.03,170380.1,173470.9,172802.22,172661.03,171768.44,177672.3,175159.12,178926.19,178861.81,178222.9,187966.53,198641.62,204435.81
170114.4,169057.22,169153.06,170011.84,172206.94,170318.88,172141.0,172976.56,172347.62,172397.0,172461.62,171550.17,174672.66,178589.66,178377.56,185011.31,179978.52,193265.56,199412.84,203363.5
170819.62,171250.08,168514.81,169820.66,172971.67,171954.31,170750.6,171887.84,171123.28,171227.55,171382.72,174837.28,173874.69,179304.17,181530.06,182355.92,183255.78,191904.03,198089.38,204021.16
170665.0,167701.84,170253.33,167700.62,171151.03,171542.75,172449.11,171319.03,174602.11,174595.66,176175.27,173607.56,175997.3,177967.28,182277.44,179637.03,182890.56,192957.7,200087.61,202849.95
169291.44,172653.36,165990.12,170443.39,169913.38,169459.19,173006.69,170770.25,176091.28,174647.36,172377.9,176349.36,173838.06,178986.8,179156.38,179770.1,185976.19,191293.34,201912.6,202590.58
169837.61,167597.67,167818.1,169573.14,172474.53,167468.78,172172.42,172550.22,172827.03,171410.22,174182.86,176375.53,179280.19,177343.72,176190.77,181738.4,182784.88,192490.53,199524.53,203123.94
171334.4,169273.75,170073.06,171565.94,171127.1,170470.9,175249.97,173357.4,172762.53,176626.69,175678.69,171419.23,175737.58,178073.56,182733.34,180318.94,181536.69,194088.9,201897.53,203025.81
170906.2,170466.56,168027.42,169384.6,169782.22,171301.47,174644.0,173004.34,171448.1,170160.9,175909.55,174036.06,177940.06,180859.86,175580.67,178094.11,183234.81,194842.22,199069.03,203012.25
170317.53,170155.05,171085.77,170060.47,170773.55,173445.4,172768.0,173106.62,174714.22,172675.66,176543.12,177346.62,174172.03,179157.44,179984.14,179111.69,184260.02,192256.31,196981.34,203281.2
170272.0,169657.47,172318.81,168446.33,172275.03,172159.47,173338.22,171354.4,173742.25,173664.47,173816.53,174506.25,174482.9,173189.83,180042.08,179468.4,182057.4,189742.53,198801.06,203814.06
165199.75,169113.25,167904.44,173175.33,170564.22,170205.0,172722.3,172257.16,174587.22,174337.89,177583.78,175288.94,179060.97,176965.5,178198.47,182664.34,182582.72,191665.16,199149.2,202008.36
171905.05,165881.66,170748.98,170527.78,169938.86,168430.94,170475.06,173275.66,174678.03,173768.72,176516.6,175877.3,175319.31,173432.88,177595.83,177491.36,182734.36,191588.31,200638.6,203871.33
163914.6,169808.22,169320.56,171648.9,170038.34,170618.98,171637.86,172960.0,172901.12,172758.42,176981.4,170991.56,170851.28,176853.88,181708.22,179874.77,181152.28,193278.62,198519.69,202494.19
167264.6,169264.27,164704.03,170902.16,170183.16,168065.77,171591.58,170726.05,168611.33,175491.44,173248.16,174079.84,174270.6,173752.89,179176.69,179446.25,182135.9,193317.97,201390.22,204273.33
168427.27,166631.72,168925.02,170109.52,167938.77,175251.94,177534.88,173087.67,172557.84,174858.62,171868.6,175648.31,175305.97,178577.05,178645.97,181619.19,181816.5,189428.25,198702.28,201734.8
165435.12,168675.5,165942.6,170352.5,169207.64,170129.28,170227.66,173427.5,175069.69,174474.95,175475.12,177799.1,175457.58,177873.89,178894.4,180476.88,182286.05,192275.52,195855.3,200299.33
166556.03,169914.9,171226.9,173154.81,170212.12,170984.03,171446.69,173774.4,174274.97,172991.05,173077.25,176906.16,175651.56,176868.39,182022.9,182772.78,179152.66,194227.19,197649.22,203898.95
170163.19,169977.03,168748.12,169547.84,168660.64,174186.69,172632.44,166893.5,171066.97,171100.62,174196.5,174826.16,177604.78,174724.47,179687.56,183303.75,183258.2,194212.5,199194.44,203345.36
168145.95,170669.47,168995.88,172002.06,171847.97,169773.25,170787.72,172267.47,171413.05,173884.55,176919.47,172414.69,173629.38,180034.45,180088.19,180678.36,181611.42,192710.27,200921.17,202826.62
167322.9,166113.31,170602.03,167633.23,170035.06,172051.8,172988.6,173485.75,175245.16,172033.31,176526.6,174381.06,176741.81,179379.16,178369.31,177490.55,183188.47,190757.1,197088.81,205201.4
169372.25,172937.97,171138.64,170378.77,172514.4,173095.5,169742.28,169321.72,175443.75,176315.12,176245.22,174314.19,173780.94,180435.78,179750.62,182490.66,182075.34,193280.53,196572.67,205677.52
165111.06,169456.1,169483.77,168564.69,170795.53,171926.56,171145.38,171004.42,175318.22,173260.84,177994.6,175328.22,179196.69,179951.6,180035.23,177540.05,184850.58,195061.66,203295.28,203623.12
166470.75,170096.56,170750.44,172052.33,170125.95,171791.64,172800.34,171691.61,172499.62,176169.92,173201.28,173802.48,177972.0,178432.31,179253.31,181110.08,184629.66,190343.52,199934.6,207663.25
171688.02,168951.25,170097.39,171135.1,171787.94,172157.17,174016.16,171996.5,173290.4,171559.06,174672.88,176539.88,177101.81,178675.31,178714.94,179224.06,184831.16,193238.38,199365.8,203621.25
165388.47,169231.44,170666.31,167982.08,169120.14,171743.48,171848.05,175530.19,175320.92,176669.72,175466.36,173626.72,173770.4,178317.78,181606.75,180323.78,185674.92,189932.38,197595.62,198069.19
167566.47,167547.03,166921.8,170356.62,172368.14,173008.5,173451.72,172219.55,174038.97,173528.31,175203.28,172566.98,176829.0,179652.34,177144.06,176561.72,183393.55,189945.47,197056.73,199985.28
167872.66,166985.97,170262.19,171897.73,169051.61,168468.06,170013.88,171486.67,172932.48,174448.94,174222.75,176412.73,175317.56,176158.47,174514.22,178728.84,185942.62,192897.28,198827.1,201595.16
171387.16,171999.22,169381.06,168920.56,170138.34,170888.47,167390.48,173707.77,172758.6,172008.84,175524.7,173428.52,175392.19,181275.75,179948.38,178440.56,182802.66,195834.11,202829.88,203591.28
169802.53,171029.69,170575.94,173284.22,166708.66,168750.12,169885.94,169458.28,173114.47,174225.97,176888.6,173792.06,175277.06,179396.56,180737.06,182099.5,180835.44,192262.25,198609.42,201594.36
167510.53,171710.56,165482.53,167946.38,170889.56,170075.0,172101.81,173100.67,175373.89,171375.3,174266.66,174375.16,177992.19,173978.39,180941.06,179443.81,184262.28,193673.69,199640.45,201943.08
168850.38,168157.75,169954.36,167257.39,167123.16,172603.97,173280.17,171020.03,176058.77,173982.28,173503.84,175246.0,174981.12,175740.06,176562.06,182158.16,184230.81,189503.83,199365.61,204616.22
168352.12,170084.7,173039.58,170486.69,170791.23,171348.61,173187.81,169651.94,172093.17,172068.97,178720.08,175152.36,174305.95,177750.89,177922.44,179626.06,182914.48,194383.5,198513.81,201723.86
168090.98,172556.72,168682.7,168411.81,172648.0,170983.72,173519.97,174847.03,173946.19,173870.47,175592.47,174287.5,175833.97,178527.66,178588.12,180386.97,184262.83,194443.14,201793.0,200791.3
