Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19
186170.45,185290.84,182758.56,183594.56,186497.44,182351.28,184157.84,186714.53,185866.1,188227.58,185075.62,187744.1,186499.61,191098.34,185311.6,188313.22,191194.62,198074.5,202047.69,201946.17
183202.53,182431.64,179636.6,184390.88,185366.38,185380.2,184157.44,187785.53,183542.69,185377.0,187004.34,187030.06,183860.44,188770.95,189445.88,188738.19,191109.28,200011.22,199353.25,203767.03
180540.3,183437.64,182035.84,182665.22,182646.12,187829.78,185129.58,184367.25,187153.78,181391.64,187976.88,190367.05,190367.78,187249.9,187196.88,193930.97,191229.22,197333.16,201550.48,202528.78
181939.9,178857.06,181886.5,182275.8,184497.16,185353.66,184562.5,184906.75,189085.62,186183.28,186978.42,183251.03,188966.17,188174.56,193883.69,190650.0,188182.69,197421.67,201328.33,201064.5
181594.03,187189.14,182545.6,184340.9,186005.03,183553.31,186439.5,184306.84,185024.52,187745.5,183968.3,184791.94,185279.73,188245.1,190720.44,189796.75,191885.98,194530.53,202330.58,199723.88
182315.9,182652.95,183941.28,185376.16,185863.0,187153.2,186550.4,186626.9,185981.72,186266.0,187515.66,189336.4,185825.12,187533.75,187063.6,187183.28,192273.98,198476.47,200640.05,204572.08
182008.36,180708.19,181935.17,184261.69,181243.92,187335.17,181615.4,184473.84,186761.81,190705.78,187867.16,186873.97,186387.7,186955.16,188731.25,189394.69,192706.12,195450.69,201983.56,201082.75
180618.81,184763.16,181655.05,184713.12,182752.44,188371.88,184740.48,184789.39,182745.47,186053.81,184461.16,183733.97,187755.34,186525.72,189277.1,195377.31,192973.14,194062.38,198397.6,203283.34
181094.94,184828.53,182891.86,182944.52,183544.4,187347.97,184489.64,186448.1,183954.56,185873.12,187061.38,187284.69,189508.34,190155.08,187608.44,190361.31,192067.22,196518.53,200690.75,201660.88
180452.98,184925.12,184432.39,184364.56,183279.81,180916.03,188303.1,188567.4,189196.89,184313.8,184949.81,189226.44,186861.23,186985.98,188468.23,187934.62,192036.17,197362.44,203277.84,206834.6
182210.56,182484.84,180795.42,181699.0,185704.03,179523.58,183411.75,186695.44,187766.62,188529.56,184223.38,183402.44,187498.11,187348.2,186623.84,184794.66,189471.5,196497.97,200136.88,203520.11
181537.53,183671.47,181414.86,183278.72,184035.45,184493.95,183914.22,185337.66,187767.88,189432.34,185996.12,186301.92,184761.97,187627.23,189435.9,189399.33,192093.88,197783.66,200671.42,203756.77
186528.1,181372.2,185496.27,182856.97,184596.39,181419.9,183019.78,185988.72,187669.5,186103.81,185406.56,185070.88,187619.27,191124.53,188307.2,193771.72,187839.22,197293.78,199017.33,201575.53
182560.72,184527.19,182646.19,183410.5,185840.45,185788.42,185405.14,187389.3,186859.8,182967.47,185164.97,187386.75,188590.17,185640.28,189591.95,192718.06,191219.78,197840.22,202129.53,200406.78
183090.56,180230.42,181015.97,181088.3,182728.56,184583.4,184783.72,186903.12,185218.4,185777.75,188395.94,186506.92,192519.33,189468.53,188489.62,187118.4,190936.98,197947.75,201901.1,204090.75
186291.56,185986.23,185483.5,184965.38,184303.44,185619.27,185665.81,184060.9,187997.69,187608.16,188109.42,189977.86,189709.61,190064.47,192222.8,192390.06,196017.81,198269.28,200122.5,203662.38
184028.7,181855.12,183459.88,178366.67,183473.95,180968.34,182574.22,185598.03,184952.9,184655.81,189347.72,187216.97,186092.52,188553.4,186449.72,189266.06,193756.3,197573.5,202480.75,207485.78
183077.02,181779.2,182527.36,182510.66,186786.02,181225.28,185565.81,185111.92,186013.9,183595.84,186384.84,183862.25,186764.69,188476.6,191089.98,187282.94,188586.62,193092.16,203286.67,204449.4
182161.33,187548.58,182529.58,183182.81,186638.19,184792.34,184051.81,186834.72,186088.06,188224.16,181215.66,188274.69,187781.14,189362.47,185346.45,190190.84,190881.5,195739.23,201523.97,204435.81
177945.1,181808.81,184461.11,184678.47,183932.75,182972.31,184441.83,185100.6,181561.19,186168.5,187968.9,186070.03,188674.97,186900.27,187506.6,191475.95,192207.17,201496.52,200867.94,203363.5
185548.81,184435.97,180423.38,181277.44,183958.94,182674.33,182014.83,184139.16,185645.0,187952.78,187884.16,183850.56,185387.9,186004.97,188967.77,192565.42,190083.34,199444.23,200796.11,204021.16
181998.72,180392.47,184694.28,184793.28,183723.05,184983.56,183009.34,184991.38,184749.19,186851.44,185982.12,182412.75,190760.16,192190.19,190728.38,188663.72,190461.75,196087.3,200974.47,202849.95
182344.66,181837.69,181371.06,180392.05,185305.72,182809.38,183749.66,186502.31,187037.81,182884.0,186355.16,183915.22,188047.34,186035.62,189944.2,190908.66,192069.36,195425.22,199342.1,202590.58
182279.78,184224.2,179750.8,184604.72,183585.53,185176.75,181582.72,185263.9,185108.84,185580.53,186795.72,185704.78,185220.38,188447.62,189832.55,193986.88,189488.72,194837.1,200077.23,203123.94
183724.31,182063.44,184554.12,185439.1,184526.31,179657.6,183850.88,186990.16,186064.94,186036.31,184228.94,182758.81,185548.62,186763.28,190430.8,191777.81,191544.53,196162.98,201822.53,203025.81
182813.75,181272.27,182738.33,180515.5,182204.78,182882.31,183913.66,183112.47,184202.62,189487.9,186523.53,187305.6,187613.84,189602.66,189097.69,193118.0,194989.72,194448.16,201675.14,203012.25
184825.77,180445.03,183675.88,185284.6,184381.94,185255.16,186508.53,185611.34,182866.56,186915.34,183777.47,186347.06,188404.31,190536.88,190760.6,188749.06,192363.33,198541.5,199583.48,203281.2
186273.62,183077.0,176766.12,185266.22,182322.62,186174.62,186324.39,182041.58,189765.5,190937.78,186205.44,185006.75,187282.03,187533.25,190234.23,193588.03,189857.0,195361.61,203981.1,203814.06
182210.0,179736.34,182291.38,182514.53,182031.66,185669.16,186870.88,187648.8,187453.4,186816.75,182846.84,187534.69,188238.69,186334.11,187745.7,189222.58,189890.67,194269.47,201304.19,202008.36
183998.56,185392.5,183647.47,187942.16,184368.31,182386.12,182962.78,184698.19,186530.25,184979.48,185859.81,187512.17,185371.9,188235.12,189373.38,188827.61,191547.66,194277.36,203251.8,203871.33
184093.8,183401.56,181950.97,184363.69,185042.0,183289.8,187140.62,186183.34,186165.28,182047.19,185413.77,183875.16,184662.67,188118.84,187408.22,188614.56,192039.05,194344.03,201331.19,202494.19
182845.7,180822.47,183355.84,180227.78,185517.97,185571.69,184279.6,187018.22,182398.42,188556.94,187250.19,187277.52,188638.19,184677.4,191621.86,188126.4,194258.0,195966.19,202077.22,204273.33
182192.45,181915.94,184840.62,183596.22,183718.56,185662.52,183935.98,183440.53,186443.45,185641.27,185761.81,185315.25,187404.12,186883.72,189879.38,192439.34,191740.72,194810.25,199112.69,201734.8
185693.73,182658.94,183210.83,183180.69,182937.0,185223.0,187030.78,185974.1,189284.31,186490.38,185436.75,185640.72,189720.25,188924.23,188896.38,187558.03,192346.53,195280.6,200039.53,200299.33
181852.81,180166.9,182787.06,183542.3,186240.8,184492.03,189313.5,186038.11,187295.1,186494.94,189343.19,186502.89,184377.58,188282.84,189218.78,192768.34,186907.94,193564.19,200781.97,203898.95
182289.67,183888.3,182044.4,187319.86,184891.6,183485.12,183770.44,180978.97,183669.81,187181.88,186391.06,187758.25,190566.06,185666.67,191399.31,190247.7,189500.22,195664.42,199019.86,203345.36
178952.31,183411.88,186229.62,183709.8,182854.56,183234.39,184724.03,186924.12,187776.5,183992.34,185526.25,185169.06,186470.44,189445.9,188325.16,191730.2,191413.34,197274.9,202185.5,202826.62
181010.7,186118.64,180149.4,181761.56,183000.94,184416.84,184129.6,181319.88,186172.92,185377.02,184896.9,185775.06,188174.0,188204.69,188027.84,189322.16,189099.0,198274.47,199382.34,205201.4
186564.7,183384.47,182574.27,183278.9,183091.28,180472.75,185218.75,186039.62,187957.7,184809.31,189574.28,184881.03,184378.33,188110.8,189420.0,189118.16,191488.84,197892.69,198126.19,205677.52
184444.4,187186.0,186664.0,183161.25,182814.5,183022.53,184115.08,181966.42,182858.5,187300.03,186250.98,183738.22,186900.88,187116.44,187993.0,192881.03,193613.06,198538.19,201816.2,203623.12
179604.31,184955.53,183535.36,183914.19,180495.22,185339.9,186405.6,185723.61,186427.84,184860.7,185888.97,188393.25,189201.92,187391.31,186255.56,188937.14,196141.0,195963.28,198680.44,207663.25
181775.03,185335.62,179188.84,186869.9,186454.94,183183.52,185193.44,185621.34,189208.16,182992.9,185641.88,185655.42,187026.53,188551.38,190046.36,190146.03,194722.64,195637.0,201361.25,203621.25
180003.61,182251.12,183591.23,182358.75,186357.78,183517.92,187668.22,184155.69,185908.16,190780.19,186989.97,186182.33,188429.38,184732.88,193537.8,189199.0,189119.75,199841.64,197223.23,198069.19
182446.7,182443.22,179784.92,182343.33,183457.2,185090.27,181975.62,186397.77,182514.34,187095.7,183223.45,189248.62,184935.12,193527.44,191772.25,187826.5,192175.19,194762.5,200931.75,199985.28
180714.44,184144.19,186789.06,180230.03,184735.12,181943.75,186111.92,182145.61,188127.22,187490.81,187862.66,186363.56,186162.38,185858.12,185364.48,190393.44,193668.6,196121.4,201113.22,201595.16
182864.44,181502.75,183323.33,185158.23,182956.81,185404.12,183897.25,184653.72,182988.06,185723.27,184933.45,184344.53,187918.38,187239.03,187489.45,191397.39,189063.38,195513.03,198600.1,203591.28
182436.5,185930.42,184708.25,183555.25,181831.17,184732.34,183727.75,182444.5,185254.31,182775.94,188380.38,187302.0,187313.53,188270.0,185864.72,189455.94,190740.73,198235.56,202644.8,201594.36
187282.34,180600.77,184291.78,183554.95,187243.58,185161.78,184755.6,183380.81,185798.47,183949.16,183830.1,187551.94,187360.3,189118.8,190241.97,189990.55,193955.69,196169.48,200557.53,201943.08
182344.56,181453.89,179606.06,187222.5,183657.48,180157.53,184846.77,184960.47,186965.64,186141.75,188905.66,188187.38,189239.22,188193.6,191977.3,188656.84,192235.38,197845.8,199909.75,204616.22
183771.52,184481.9,182558.75,182233.11,184808.78,184921.16,186426.64,186695.92,187415.23,184564.22,187530.8,189572.7,188880.34,190347.0,189506.44,191748.5,190683.42,197076.75,199459.48,201723.86
180828.98,181827.22,182575.0,183235.72,182017.78,182010.78,185498.75,185680.44,186436.78,184113.94,184132.84,188912.53,187382.28,190400.69,189529.83,188010.1,193807.48,199406.69,201643.06,200791.3
181361.53,184647.78,184416.94,182824.6,182749.84,186041.97,185522.0,184870.75,188642.56,189741.75,185907.66,188104.7,184894.81,188296.28,186979.9,189529.03,192151.4,197370.52,201329.45,203671.81
181469.95,181286.88,183877.6,181355.53,184085.38,182469.61,186402.66,185042.62,186289.88,184754.38,189923.72,187710.5,184971.78,187768.88,187942.5,189177.72,191244.28,199024.5,199420.97,204159.1
185879.94,180561.38,181703.53,186113.72,183069.36,186066.92,183628.28,186276.9,185809.33,180595.28,185886.61,186642.34,187217.16,185432.12,185900.5,187464.34,192519.0,195875.08,200452.67,203376.06
181050.19,181982.3,185423.31,183554.69,183417.62,188799.55,186962.89,185693.12,186047.31,185240.75,187314.45,187191.3,184029.7,190075.86,188290.89,190515.25,188465.06,196281.62,199375.44,201463.0
183743.53,183365.75,181679.28,185252.39,184413.6,185426.17,181875.02,188069.78,179541.56,185105.28,186687.53,184499.53,183202.8,189155.38,190165.56,188155.34,189401.16,198350.72,200025.78,202358.62
184420.34,182619.52,182870.12,184616.38,185392.75,186036.97,183982.19,184904.28,186759.92,186172.39,189091.56,187645.45,186750.19,189064.78,185364.4,192082.47,191741.84,197474.47,202833.22,204554.98
181502.81,184852.6,182167.31,182528.89,184718.4,185828.84,184337.7,184077.94,189421.5,186619.5,186865.06,185817.94,184464.8,187808.28,189200.25,195157.66,190163.62,195440.22,200507.16,206679.78
185360.81,181197.6,183028.03,182401.97,186576.55,185177.44,183719.42,184784.6,183329.8,183590.25,186170.84,186091.77,188459.12,188425.11,191382.86,190428.16,187471.66,194654.39,200696.25,201509.83
182263.83,181854.47,181702.92,181553.81,180062.98,184300.83,183896.75,182753.62,184983.69,187120.0,184316.19,184384.98,187802.02,186749.84,188558.03,191123.6,192075.56,195317.44,197015.81,204491.48
180404.81,184809.31,186192.61,182218.77,183727.75,184614.81,180882.28,182823.4,187504.4,188031.06,187694.31,188495.88,185730.38,186519.97,185151.25,189361.0,193324.03,196101.1,199200.36,205378.44
179732.53,182987.38,182769.75,181753.73,186257.58,181128.03,185681.92,184035.2,185052.42,187040.11,183929.03,187257.5,187914.88,186681.03,188301.34,189233.06,189972.11,197789.36,202273.56,203732.31
181923.78,182793.34,182711.62,183328.69,182598.45,183853.0,185873.2,182300.84,185044.47,184247.16,185269.12,186082.73,188398.97,188219.72,189264.5,191064.12,189522.3,197644.28,200465.6,204126.75
