,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,1430253,27758945,47757939,64995549,80494138,94768947,108127352,120721080,132708581,144147343,155111262,165648462,175824046,185665741,195184572,204396442,213337380,222011691,230441919,238614753,246557737
Trial 1,1431833,27758537,47760423,64991512,80495069,94766954,108126858,120717303,132707576,144145915,155114225,165648984,175821862,185662910,195185783,204391840,213338542,222007711,230443533,238614711,246557656
Trial 2,1431142,27761405,47761235,64996498,80496335,94772709,108122594,120720038,132710098,144145889,155113620,165644925,175826293,185665666,195184292,204398636,213341039,222011916,230442467,238617962,246557251
Trial 3,1432348,27757382,47759908,64993695,80497569,94764890,108125461,120719832,132707300,144146748,155113676,165643360,175824420,185661587,195185425,204392574,213341921,222012228,230441089,238615210,246557134
Trial 4,1431986,27760681,47758844,64990967,80493465,94768843,108125882,120719209,132710196,144145299,155113280,165646504,175821998,185663158,195184208,204396237,213339245,222011824,230439751,238615734,246562511
Trial 5,1431889,27759094,47757204,64990612,80489792,94768423,108127243,120720050,132709226,144146688,155113977,165643688,175821881,185664841,195183412,204394729,213342013,222010124,230438565,238619973,246554495
Trial 6,1427901,27761849,47761287,64994427,80492541,94768022,108127639,120717973,132711905,144147307,155113648,165644025,175823546,185661177,195185869,204398918,213340639,222010633,230440127,238615587,246555923
Trial 7,1430360,27762160,47757873,64992598,80494073,94766430,108125725,120719193,132709027,144147059,155112110,165647247,175822342,185663491,195183970,204395760,213338274,222014034,230443247,238615306,246556650
Trial 8,1432755,27757581,47756625,64994599,80491324,94766051,108126707,120718252,132707850,144147464,155113018,165646812,175822396,185664440,195181691,204398273,213340188,222011602,230442856,238617624,246555865
Trial 9,1430945,27758400,47756425,64996828,80496705,94765963,108124092,120716267,132707877,144145870,155113760,165648847,175825437,185666829,195182257,204397906,213338445,222010236,230441126,238619196,246559544
Trial 10,1431613,27756398,47757735,64991933,80495872,94765356,108125480,120718627,132708651,144145784,155112536,165645696,175822465,185662042,195182079,204393870,213340615,222009828,230441294,238612757,246560460
Trial 11,1429801,27760928,47759133,64995076,80494635,94766187,108127791,120719048,132711102,144145396,155111528,165645768,175823819,185665359,195184214,204392807,213341555,222010531,230441333,238617025,246559376
Trial 12,1429503,27758524,47761111,64992988,80495009,94769433,108124222,120717510,132710331,144147480,155116018,165645476,175821336,185664292,195185650,204397566,213340303,222009486,230441397,238615965,246557166
Trial 13,1433354,27760655,47760514,64995275,80494838,94767366,108126296,120717839,132710447,144146613,155113115,165644240,175821110,185665702,195183210,204395958,213339217,222012397,230442260,238617878,246558364
Trial 14,1435296,27758364,47759214,64995887,80494034,94764972,108127353,120716642,132710217,144145343,155112025,165646929,175823360,185663536,195183595,204398284,213341510,222009443,230440580,238613632,246559051
Trial 15,1428998,27759161,47759906,64992517,80493432,94768118,108130749,120720366,132709950,144143898,155113494,165647878,175826288,185664440,195180022,204394367,213341873,222011486,230440899,238613146,246560112
Trial 16,1431733,27759624,47760677,64994597,80490779,94765527,108126835,120721805,132706224,144144075,155115994,165645634,175825661,185665195,195183569,204396048,213341179,222007899,230439120,238614940,246557442
Trial 17,1431162,27758063,47759949,64996193,80494179,94766491,108124750,120720084,132706306,144150371,155112321,165645449,175822289,185661442,195181393,204396985,213345207,222011917,230443636,238615677,246559429
Trial 18,1431323,27761599,47761656,64994948,80488849,94765799,108129854,120723133,132710083,144148005,155112966,165640471,175821829,185664342,195181216,204395146,213339223,222008978,230441550,238615554,246558029
Trial 19,1431211,27757399,47762871,64995113,80496018,94766834,108127916,120721669,132705940,144144495,155113255,165645261,175824159,185663674,195181384,204397735,213338750,222012735,230440515,238615463,246558062
Trial 20,1431858,27760021,47762067,64988788,80493970,94766381,108128281,120717676,132709768,144145598,155112980,165646510,175823098,185665995,195184486,204395064,213339701,222012418,230438928,238615145,246559283
Trial 21,1428059,27759705,47758869,64994067,80493980,94768995,108126680,120722966,132711916,144146052,155113472,165648945,175824386,185662494,195185108,204395589,213344352,222009986,230441893,238615342,246560290
Trial 22,1430311,27758544,47757662,64997937,80492738,94770161,108126006,120718676,132708653,144147308,155111413,165646925,175822623,185661759,195187131,204394402,213340159,222010941,230441634,238616757,246561783
Trial 23,1431997,27760599,47761775,64994351,80493721,94769629,108127237,120720076,132707237,144146328,155109879,165644270,175819922,185662513,195184771,204394992,213341193,222010650,230440416,238618019,246556392
Trial 24,1428339,27759544,47761373,64994912,80492472,94768157,108125616,120720436,132710077,144146281,155115606,165646089,175825702,185664288,195179853,204392236,213345462,222013994,230441278,238614242,246554704
Overall,26861006,47008511,64328082,79885710,94201426,107595056,120214799,132228721,143686496,154672212,165220329,175412137,185266363,194799190,204022579,212979133,221659599,230100488,238284745,246236729,253953872
