,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12429949,21390988,29251642,36423157,43111034,49417557,55436118,61208682,66778975,72175866,77421211,82526651,87496206,92349737,97099909,101751370,106299954,110750664,115112807,119370795
Trial 1,888260,12429752,21389089,29250087,36427147,43109079,49419583,55438829,61212032,66780404,72174102,77421561,82525478,87499070,92347241,97098176,101753618,106299219,110751706,115113511,119371516
Trial 2,889363,12430024,21390877,29251846,36428307,43110424,49421541,55436819,61210840,66780553,72174657,77418909,82528532,87496252,92352188,97098268,101755080,106300672,110749531,115113326,119370824
Trial 3,889695,12427680,21385796,29251791,36425526,43111971,49420416,55438835,61211456,66782263,72173187,77417571,82524660,87496725,92350575,97098874,101751965,106300820,110750601,115115101,119371791
Trial 4,888597,12430290,21388937,29250295,36424761,43109524,49419792,55439359,61211148,66780664,72172638,77418690,82525459,87497564,92349889,97101721,101752053,106300413,110749725,115111959,119370357
Trial 5,889439,12427994,21386478,29248172,36427907,43105017,49419966,55436408,61210018,66778753,72173896,77419553,82528288,87498127,92348857,97101222,101749862,106299796,110750552,115109767,119370159
Trial 6,885252,12429776,21386718,29248501,36426245,43109605,49418032,55437665,61212308,66781745,72175498,77419257,82527588,87496048,92347522,97101190,101753449,106299715,110749692,115111820,119369438
Trial 7,889562,12431459,21389433,29251697,36426078,43112375,49420809,55435304,61209838,66779445,72175279,77419690,82526393,87496718,92349604,97099774,101752602,106300501,110749299,115112242,119368065
Trial 8,887401,12427703,21387856,29252476,36423757,43109458,49417893,55435093,61208264,66778773,72174758,77421449,82526016,87498846,92349356,97098660,101754950,106300965,110749303,115114474,119369362
Trial 9,887857,12430912,21389137,29251597,36424994,43110434,49419976,55438089,61210022,66777885,72173928,77420468,82526710,87498768,92348781,97100852,101751855,106303114,110750334,115111828,119368988
Trial 10,888525,12428593,21388900,29252684,36423845,43109399,49414275,55434969,61207971,66779723,72175486,77419752,82528272,87497747,92352857,97099582,101753197,106300878,110752279,115112152,119369760
Trial 11,888213,12430168,21388148,29252073,36426833,43109987,49420769,55436215,61211099,66780482,72176841,77418253,82525212,87497367,92349375,97102680,101750325,106300253,110749774,115113645,119371244
Trial 12,886462,12430042,21388494,29251087,36429172,43113462,49418927,55436747,61209011,66778928,72175617,77418638,82526306,87498322,92346860,97102335,101753689,106302095,110750951,115112558,119371328
Trial 13,889979,12431251,21387984,29253303,36425390,43111290,49418826,55435897,61209189,66781703,72176378,77419701,82524382,87499166,92351588,97100474,101751876,106301369,110750739,115113707,119370537
Trial 14,892274,12433600,21387943,29252573,36426622,43109876,49418444,55437809,61209437,66777790,72176008,77420300,82524695,87497799,92352580,97101695,101754029,106297164,110753279,115111396,119369830
Trial 15,886094,12428574,21388346,29254093,36425979,43106058,49418704,55436550,61208334,66780619,72174021,77418301,82526952,87498044,92347300,97100473,101754389,106302151,110749787,115112218,119369831
Trial 16,888461,12428985,21388402,29251672,36426075,43106528,49417383,55437218,61209681,66780083,72177262,77419976,82526825,87495983,92348527,97101636,101753528,106301305,110751012,115108663,119371261
Trial 17,888263,12429367,21389096,29250004,36427910,43109492,49420268,55437378,61212006,66781632,72174254,77421550,82527182,87496985,92350040,97101354,101751192,106297369,110751919,115110630,119373807
Overall,11876552,20916962,28826907,36033756,42741311,49068952,55101920,60887464,66467971,71871938,77124923,82239653,87217739,92075742,96832334,101490461,106043794,110498925,114866579,119130436,123292305
