Stage 0,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
196120.88,184913.6,186986.16,186248.44,182372.4,182185.28,176170.48,177998.84,179266.78,176687.81,178552.06,182611.5,182458.95,182461.4,183000.88,181335.83,180902.42,182008.89,180017.1,184775.34,181042.33,182065.33
195992.28,186492.48,184944.9,186746.0,182646.88,178301.9,177264.53,174253.38,180391.98,176663.84,182586.8,178289.4,182200.86,182051.12,180864.08,179479.88,182910.66,184719.34,182364.25,181328.98,183408.6,181464.36
200248.6,183628.39,186570.67,183136.47,179793.94,179747.81,177994.6,177529.47,174821.53,180151.16,182221.08,177969.28,179404.88,184421.53,182067.78,180304.06,186442.12,185109.19,181025.97,183769.81,183341.81,181320.06
195904.06,187363.78,187001.19,185086.75,179284.73,180990.06,180023.88,175556.97,175633.36,181559.42,180897.83,181453.64,179780.16,181547.81,181312.69,179832.86,179853.55,185028.44,181766.61,183740.02,182096.69,180863.62
199331.75,184046.06,184090.47,186351.0,185416.0,182249.78,180637.1,176176.38,177215.94,179812.66,179962.72,181669.92,178249.75,178011.94,179838.44,181419.92,180867.81,184643.31,183714.22,179202.14,182071.72,179489.16
196726.78,187694.72,188250.84,184594.53,183175.66,179587.31,175565.62,178938.66,177270.72,178325.84,178194.84,177912.17,180997.0,183036.47,178902.94,181663.05,181541.78,185443.14,181331.31,184729.92,184104.28,182271.08
199449.72,181035.0,186342.02,184010.1,183510.78,181443.22,180391.0,175807.25,177187.39,176429.38,178690.12,180665.69,182135.9,179243.88,178817.84,179971.5,183552.69,187024.83,184817.44,180191.72,181754.12,181203.0
198708.4,187619.42,188210.56,185232.23,180335.05,178798.95,179263.64,175155.28,179580.75,177766.28,179229.16,179947.77,179494.2,182120.34,185229.94,183550.84,182040.44,184932.5,183902.25,184237.0,184354.61,179361.94
197850.16,182092.94,185007.06,183778.56,182367.17,181424.42,176581.5,175161.39,177341.98,176807.94,177422.84,178714.62,177631.72,181683.9,179402.69,183636.55,188980.03,183818.56,182507.58,181466.47,180225.38,178562.5
199514.94,186847.75,187406.19,180241.06,182007.88,179659.88,177257.28,176200.88,178390.5,178671.56,179118.56,180471.78,179197.19,183605.39,180931.0,177558.6,183556.53,184036.39,185529.2,180456.86,181131.17,181622.97
196157.75,186509.9,187207.89,184403.22,177888.62,181988.8,176667.53,179085.25,175622.16,178342.66,177990.98,181921.34,184098.78,183452.62,182564.0,181859.34,184244.28,182731.34,180948.14,184975.03,182092.1,180592.19
197398.88,184887.62,186067.3,187313.53,178298.5,183384.92,178660.47,177255.47,175690.8,180504.84,182699.38,180362.81,180083.4,182197.02,181341.05,182595.81,184431.47,184789.81,181618.69,182895.56,185099.5,182648.86
199384.28,180525.78,187093.8,182966.22,182575.25,181062.08,178449.1,175000.56,179872.58,177312.9,180570.02,179379.81,182717.03,178790.48,184668.03,185750.03,183388.84,182561.98,181840.28,182453.31,180667.5,181422.28
193738.81,187548.81,187984.34,179984.44,183738.38,179500.38,173899.97,176061.03,178025.6,179510.5,180243.53,180222.84,180262.45,182094.97,180449.44,182435.81,184282.4,182830.4,180679.4,186234.88,180627.53,181291.19
200216.1,185489.81,185998.38,185708.34,181635.1,181176.67,176721.34,173623.67,179095.16,180413.12,179225.4,178668.12,182709.72,185137.06,181493.86,185544.34,182419.81,183370.16,182145.8,183989.08,182129.1,183747.06
196314.11,186566.31,185353.19,183943.78,179211.27,180453.5,178831.1,177306.5,175066.78,179053.34,176525.44,179912.64,180713.69,182850.6,180129.47,181896.64,184989.33,184890.75,183925.02,181941.61,182756.78,182163.97
