,Stage 1,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Trial 0,888082,12429377,21387209,29240163,36400913,43068280,49351074,55330548,61058137,66565319,71893769,77056865,82071286,86943128,91688979,96326212,100859955,105293833,109636024,113894756,118062091
Trial 1,888260,12429808,21385382,29238808,36403358,43066224,49353128,55333733,61060939,66567001,71892435,77057310,82070556,86944406,91687539,96323583,100862877,105293084,109636727,113895537,118063704
Trial 2,889363,12430089,21386881,29241467,36403352,43067351,49355203,55331335,61059907,66567373,71891552,77055155,82072568,86941870,91691659,96323767,100863569,105295088,109634985,113894584,118063606
Trial 3,889695,12427785,21382836,29240672,36400207,43070054,49353872,55333055,61060345,66569219,71891391,77053238,82069003,86943076,91690074,96324588,100861385,105295146,109634933,113896366,118064301
Trial 4,888597,12429850,21386112,29240256,36400533,43067173,49353460,55333128,61060349,66567235,71891221,77055239,82069756,86943136,91689377,96327628,100860629,105295276,109634652,113893993,118061989
Trial 5,889439,12428335,21382634,29237865,36404654,43062537,49354340,55331067,61058876,66566268,71891184,77055926,82073678,86944289,91689280,96327474,100859844,105293215,109635653,113891388,118061697
Trial 6,885252,12429699,21382655,29237200,36402330,43067267,49352172,55331471,61061219,66568664,71893263,77054700,82072062,86942446,91687662,96328035,100862976,105294047,109634968,113893208,118062154
Trial 7,889562,12431495,21384679,29241650,36401477,43069143,49354794,55330771,61059264,66567339,71892031,77055463,82071101,86941556,91688888,96325665,100861812,105294315,109634486,113892991,118060149
Trial 8,887401,12427930,21384245,29241097,36400348,43067380,49351251,55330185,61057813,66565105,71892962,77056739,82071095,86944778,91688996,96324837,100864174,105295444,109634504,113896311,118061577
Trial 9,887857,12430059,21384941,29241153,36400585,43068014,49354543,55332008,61060016,66565013,71891882,77055902,82071377,86944400,91687628,96327364,100860694,105297486,109635234,113893157,118061863
Trial 10,888525,12427857,21385692,29242080,36401028,43066805,49347734,55329965,61056920,66566109,71892441,77055363,82073225,86942955,91692305,96324752,100862225,105294316,109636853,113893869,118062845
Trial 11,888213,12430714,21384314,29242347,36403128,43068126,49352925,55331138,61060214,66567150,71894296,77055140,82070407,86943379,91687764,96328729,100859241,105294459,109635471,113895702,118063957
Trial 12,886462,12429416,21384641,29240331,36405206,43070861,49353436,55331745,61057838,66565558,71893146,77054809,82071597,86944210,91687177,96327660,100863150,105295809,109635308,113893925,118063404
Trial 13,889979,12431100,21383786,29242626,36400604,43068579,49353059,55330766,61058133,66569285,71894302,77055555,82069884,86944064,91690652,96326110,100861155,105295393,109636781,113895403,118063219
Trial 14,892274,12433281,21384015,29241262,36402493,43067381,49352233,55333808,61058320,66564544,71893866,77056024,82069566,86943304,91692257,96327161,100863326,105291975,109639106,113893664,118061381
Trial 15,886094,12427958,21384143,29242979,36401815,43063548,49352626,55331164,61058158,66566893,71891446,77053967,82072093,86943636,91687215,96326368,100863536,105296185,109634751,113894022,118061891
Trial 16,888461,12428997,21384856,29241507,36402332,43065276,49351572,55332750,61059017,66567038,71894276,77055915,82072299,86941805,91687779,96327435,100862328,105294097,109635504,113891023,118063106
Trial 17,888263,12428760,21385350,29239287,36404192,43067098,49353964,55331640,61060837,66568531,71892428,77056688,82072392,86942918,91690010,96327110,100861083,105292791,109636649,113892276,118065849
Overall,11876552,20913603,28816898,36010894,42700180,49004995,54999309,60740319,66258951,71594435,76766160,81790385,86669877,91422138,96065257,100606755,105044711,109390616,113654107,117827421,121919214
